ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac encrypt(byte[],com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer8713, $r5, $r0)
TypestateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac encrypt(byte[],com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.Cipher (on Object #a3235915499d8f400b0a35e910701832b4331c97ab9ade16e4223e6367f70a3);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1)
TypestateError;com.tozny.crypto.android.AesCbcWithIntegrity;byte[] generateMac(byte[],javax.crypto.SecretKey);violating CrySL rule for javax.crypto.Mac (on Object #4306bf91d9548de813f2b15fe6ab2741720f6df54079465ee36e0127e0649f77);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: void update(byte),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte[],int,int);$r1 = virtualinvoke $r2.<javax.crypto.Mac: byte[] doFinal(byte[])>($r1)
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;byte[] decrypt(com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac,com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer8768, $r5, $r0)
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;byte[] decrypt(com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac,com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
TypestateError;com.tozny.crypto.android.AesCbcWithIntegrity;byte[] decrypt(com.tozny.crypto.android.AesCbcWithIntegrity$CipherTextIvMac,com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys);violating CrySL rule for javax.crypto.Cipher (on Object #84bfa19be9d51d3395e6cca2ec943744816e2ff309ac142af0680c2afcf98d6a);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
ConstraintError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys generateKeyFromPassword(java.lang.String,byte[],int);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #fbaffb98336a6781aa4ac26198e3cfc778f15de1ef5d45c7184a920ee07a794);First parameter (with value "PBKDF2WithHmacSHA1") should be any of {PBKDF2WithHmacSHA512, PBKDF2WithHmacSHA384, PBKDF2WithHmacSHA256, PBKDF2WithHmacSHA224, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r4 = staticinvoke <javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>(varReplacer54540)
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys generateKeyFromPassword(java.lang.String,byte[],int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r7.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer54536)
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys generateKeyFromPassword(java.lang.String,byte[],int);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r5 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r2)
NeverTypeOfError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys generateKeyFromPassword(java.lang.String,byte[],int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #944f8b750d5a7b428a237df59ccb2734ea071785733a17f586e3e7d369c5662c);First parameter should never be of type java.lang.String.;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i0, varReplacer54539)
HardCodedError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys generateKeyFromPassword(java.lang.String,byte[],int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #944f8b750d5a7b428a237df59ccb2734ea071785733a17f586e3e7d369c5662c);First parameter should never be hardcoded.;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i0, varReplacer54539)
IncompleteOperationError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys generateKeyFromPassword(java.lang.String,byte[],int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #944f8b750d5a7b428a237df59ccb2734ea071785733a17f586e3e7d369c5662c);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r5 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r2)
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys generateKeyFromPassword(java.lang.String,byte[],int);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i0, varReplacer54539)
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys keys(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],int,int,java.lang.String)>($r2, varReplacer54544, $i0, varReplacer54545)
RequiredPredicateError;com.tozny.crypto.android.AesCbcWithIntegrity;com.tozny.crypto.android.AesCbcWithIntegrity$SecretKeys keys(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r6.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r3, varReplacer54542)
