ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;h.a.a.a.a.w.r;void start();violating CrySL rule for javax.net.ssl.SSLParameters (on Object #508d064c02135bf0f5bccc567c806095785c83bad14e27490692a5fa974751d1);Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites;virtualinvoke $r9.<javax.net.ssl.SSLSocket: void setSSLParameters(javax.net.ssl.SSLParameters)>($r6)
IncompleteOperationError;h.a.a.a.a.w.r;void start();violating CrySL rule for javax.net.ssl.SSLParameters (on Object #508d064c02135bf0f5bccc567c806095785c83bad14e27490692a5fa974751d1);Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites;virtualinvoke $r9.<javax.net.ssl.SSLSocket: void setSSLParameters(javax.net.ssl.SSLParameters)>($r6)
IncompleteOperationError;h.a.a.a.a.w.r;void start();violating CrySL rule for javax.net.ssl.SSLParameters (on Object #508d064c02135bf0f5bccc567c806095785c83bad14e27490692a5fa974751d1);Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites;virtualinvoke $r9.<javax.net.ssl.SSLSocket: void setSSLParameters(javax.net.ssl.SSLParameters)>($r6)
IncompleteOperationError;h.a.a.a.a.w.r;void start();violating CrySL rule for javax.net.ssl.SSLParameters (on Object #508d064c02135bf0f5bccc567c806095785c83bad14e27490692a5fa974751d1);Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites;virtualinvoke $r9.<javax.net.ssl.SSLSocket: void setSSLParameters(javax.net.ssl.SSLParameters)>($r6)
IncompleteOperationError;com.blackbox.plog.utils.Encrypter;java.lang.String readFileDecrypted(java.lang.String);violating CrySL rule for javax.crypto.CipherInputStream (on Object #c8cf156a5e20096072308e9de35e682746a28d9d3fa1dbc8a37b53aa8bfb110f);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;specialinvoke $r23.<javax.crypto.CipherInputStream: void <init>(java.io.InputStream,javax.crypto.Cipher)>($r8, $r6)
IncompleteOperationError;com.blackbox.plog.utils.Encrypter;void appendToFileEncrypted(java.lang.String,javax.crypto.SecretKey,java.lang.String);violating CrySL rule for javax.crypto.CipherOutputStream (on Object #a37b9b7c5051dcef6135e4cbdfc60b02b2bfa9ab49efb1301157378530baccb);Operation on object of type javax.crypto.CipherOutputStream object not completed. Expected call to write;specialinvoke $r25.<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.nio.charset.Charset)>($r24, $r8)
ConstraintError;com.blackbox.plog.utils.Encrypter;void <init>();violating CrySL rule for javax.crypto.Cipher (on Object #e25117422ee7487baf54a28d83df94f127a7cada11006e822bbf3b1b4af468c2);First parameter (with value "AES") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer11857)
IncompleteOperationError;com.blackbox.plog.utils.Encrypter;void writeToFileEncrypted(java.lang.String,javax.crypto.SecretKey,java.lang.String);violating CrySL rule for javax.crypto.CipherOutputStream (on Object #5f4c001e7fcfb7f2712bf4d9486dc5d4b09f1df29637c6e130c41fd01d1b211d);Operation on object of type javax.crypto.CipherOutputStream object not completed. Expected call to write;specialinvoke $r23.<java.io.OutputStreamWriter: void <init>(java.io.OutputStream,java.nio.charset.Charset)>($r22, $r7)
IncompleteOperationError;com.blackbox.plog.dataLogs.DataLogWriter;void writeDataLog(java.lang.String,java.lang.String,boolean);violating CrySL rule for javax.crypto.Cipher (on Object #e25117422ee7487baf54a28d83df94f127a7cada11006e822bbf3b1b4af468c2);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;virtualinvoke $r12.<com.blackbox.plog.utils.Encrypter: void appendToFileEncrypted(java.lang.String,javax.crypto.SecretKey,java.lang.String)>($r2, $r9, $r3)
IncompleteOperationError;com.blackbox.plog.dataLogs.DataLogWriter;void writeDataLog(java.lang.String,java.lang.String,boolean);violating CrySL rule for javax.crypto.Cipher (on Object #e25117422ee7487baf54a28d83df94f127a7cada11006e822bbf3b1b4af468c2);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;virtualinvoke $r12.<com.blackbox.plog.utils.Encrypter: void writeToFileEncrypted(java.lang.String,javax.crypto.SecretKey,java.lang.String)>($r2, $r9, $r3)
ConstraintError;h.a.a.a.a.w.x.e;byte[] e(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b20420898c3a29e87acbf810d2514be7cf4f22e0110bcb3451d86555a54efa5e);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer12406)
RequiredPredicateError;h.a.a.a.a.w.w.a;javax.net.ssl.SSLContext m(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
RequiredPredicateError;h.a.a.a.a.w.w.a;javax.net.ssl.SSLContext m(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer14469)
RequiredPredicateError;h.a.a.a.a.w.w.a;javax.net.ssl.SSLContext m(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer14469)
ConstraintError;h.a.a.a.a.w.w.a;javax.net.ssl.SSLContext m(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext (on Object #b86a0ea90f3547987ad1f567e1418fc46c5f408a3f43c8329195b1d9d8546d7);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r7 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>($r4, $r3)
RequiredPredicateError;h.a.a.a.a.w.w.a;javax.net.ssl.SSLContext m(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r17, $r25, varReplacer14469)
NeverTypeOfError;h.a.a.a.a.w.w.a;javax.net.ssl.SSLContext m(java.lang.String);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #e0030e453eeb47e41e334c8edfbfe2d4ecfc8456e7a5af293a37168f6c0bdb7c);Second parameter should never be of type java.lang.String.;virtualinvoke $r16.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r14, $r10)
