ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;v3.c;byte[] a(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r2.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer8692, $r3, $r4)
RequiredPredicateError;v3.c;byte[] a(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r2.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer8692, $r3, $r4)
RequiredPredicateError;v3.c;byte[] a(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],int,int,java.lang.String)>($r1, varReplacer8693, $i0, varReplacer8694)
TypestateError;v3.c;byte[] a(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #b63fd8bbda8fd8468440f1953c37148afb0c13a4bda18b506f8a4c529dee9ee1);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r0 = virtualinvoke $r2.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r0)
RequiredPredicateError;v3.c;byte[] a(byte[],byte[]);violating CrySL rule for javax.crypto.spec.GCMParameterSpec ;Second parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.GCMParameterSpec: void <init>(int,byte[])>(varReplacer8689, $r1)
RequiredPredicateError;v3.c;byte[] c(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],int,int,java.lang.String)>($r2, varReplacer11036, $i0, varReplacer11037)
RequiredPredicateError;v3.c;byte[] c(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer11038, $r0, $r4)
RequiredPredicateError;v3.c;byte[] c(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer11038, $r0, $r4)
RequiredPredicateError;v3.c;byte[] c(byte[],byte[]);violating CrySL rule for javax.crypto.spec.GCMParameterSpec ;Second parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.GCMParameterSpec: void <init>(int,byte[])>(varReplacer11032, $r2)
TypestateError;v3.c;byte[] c(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #45664d9d0cb11e5636d6aff2e1354b23136222f681723c0b9b4a67f186a5d77f);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1)
