ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;org.apache.hc.core5.ssl.SSLContexts;javax.net.ssl.SSLContext createDefault();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer31727, varReplacer31727, varReplacer31727)
RequiredPredicateError;org.apache.hc.core5.ssl.SSLContexts;javax.net.ssl.SSLContext createDefault();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer31727, varReplacer31727, varReplacer31727)
RequiredPredicateError;org.apache.hc.core5.ssl.SSLContexts;javax.net.ssl.SSLContext createDefault();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer31727, varReplacer31727, varReplacer31727)
ConstraintError;org.apache.hc.core5.ssl.SSLContexts;javax.net.ssl.SSLContext createDefault();violating CrySL rule for javax.net.ssl.SSLContext (on Object #f6d8de13e1d9726a951b8f6d7c88606a52c9a7386a37f31556c37bbea2ec9e94);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r0 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer31730)
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;org.apache.hc.client5.http.impl.auth.DigestScheme;java.security.MessageDigest createMessageDigest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #bafd683999767fa653a59f6561b5fb73a4ec80f20b87a366e3f277c0d9c77bd);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r3)
TypestateError;org.apache.hc.client5.http.impl.auth.HttpEntityDigester;void close();violating CrySL rule for java.security.MessageDigest (on Object #bafd683999767fa653a59f6561b5fb73a4ec80f20b87a366e3f277c0d9c77bd);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r1 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
NeverTypeOfError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #e1cf56d5a22faa3d0322fef554cc7c7acc6c7990341bf507fd91772792fca0e);First parameter should never be of type java.lang.String.;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer61318)
ConstraintError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #e1cf56d5a22faa3d0322fef554cc7c7acc6c7990341bf507fd91772792fca0e);Second parameter (with value "RC4") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer61318)
NeverTypeOfError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #e1cf56d5a22faa3d0322fef554cc7c7acc6c7990341bf507fd91772792fca0e);First parameter should never be of type java.lang.String.;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer61318)
TypestateError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #d3141a3f48c78fc5d093d4a9621f5ab544aaa751496b4964ec9ce1a6621e8d62);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1)
ConstraintError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #d3141a3f48c78fc5d093d4a9621f5ab544aaa751496b4964ec9ce1a6621e8d62);First parameter (with value "RC4") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer61317)
NeverTypeOfError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #e1cf56d5a22faa3d0322fef554cc7c7acc6c7990341bf507fd91772792fca0e);First parameter should never be of type java.lang.String.;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer61318)
RequiredPredicateError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer61319, $r0)
RequiredPredicateError;org.apache.hc.client5.http.impl.auth.NTLMEngineImpl;byte[] RC4(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer61318)
