ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #65d2a2162192f9c6dfbe4cbc9584528e2eb34ed82b3b5622de3d01fc484163f3);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer37899)
ConstraintError;okhttp3.internal.platform.AndroidPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #31283fee7e1963243cea50330975b09257ab2d2966c40a618007c45edb85d0d6);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer37903)
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #b0989783004e8d39acc29e57362c475d85ea0c9b1faaaf14d40f78dd1529a8ba);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer37907, $r2)
IncompleteOperationError;net.i2p.crypto.eddsa.spec.EdDSAParameterSpec;void <init>(net.i2p.crypto.eddsa.math.Curve,java.lang.String,net.i2p.crypto.eddsa.math.ScalarOps,net.i2p.crypto.eddsa.math.GroupElement);violating CrySL rule for java.security.MessageDigest (on Object #e2a7fde5e14223557a76ad0c1c621daab6834282af96171dab264b22557dc255);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$i1 = virtualinvoke $r7.<java.security.MessageDigest: int getDigestLength()>()
ConstraintError;org.briarproject.bramble.crypto.EdSignature;void <init>();violating CrySL rule for java.security.Signature (on Object #bb2f0c07d167bf35e5af42135e7f883422432a4fe20818bf733e6f11c172b324);First parameter (with value "NONEwithEdDSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r1 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String,java.security.Provider)>(varReplacer40774, $r2)
RequiredPredicateError;org.briarproject.bramble.crypto.EdSignature;void initVerify(org.briarproject.bramble.api.crypto.PublicKey);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Pubkey;virtualinvoke $r7.<java.security.Signature: void initVerify(java.security.PublicKey)>($r4)
RequiredPredicateError;org.briarproject.bramble.crypto.EdSignature;void initSign(org.briarproject.bramble.api.crypto.PrivateKey);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Privkey;virtualinvoke $r7.<java.security.Signature: void initSign(java.security.PrivateKey)>($r4)
TypestateError;org.h2.security.CipherFactory;java.security.KeyStore getKeyStore(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ce0707c76be59a3c4770b9e9643f9d4a7c415a8d662b2e9c306dd6956abd931);Unexpected call to method load on object of type java.security.KeyStore. Expect a call to one of the following methods getKey,getEntry,setEntry;virtualinvoke $r3.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer42484, $r4)
HardCodedError;org.h2.security.CipherFactory;java.security.KeyStore getKeyStore(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ce0707c76be59a3c4770b9e9643f9d4a7c415a8d662b2e9c306dd6956abd931);Second parameter should never be hardcoded.;virtualinvoke $r3.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer42486, $r4)
NeverTypeOfError;org.h2.security.CipherFactory;java.security.KeyStore getKeyStore(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ce0707c76be59a3c4770b9e9643f9d4a7c415a8d662b2e9c306dd6956abd931);Second parameter should never be of type java.lang.String.;virtualinvoke $r3.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer42484, $r4)
HardCodedError;org.h2.security.CipherFactory;java.security.KeyStore getKeyStore(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ce0707c76be59a3c4770b9e9643f9d4a7c415a8d662b2e9c306dd6956abd931);Second parameter should never be hardcoded.;virtualinvoke $r3.<java.security.KeyStore: void load(java.io.InputStream,char[])>(varReplacer42484, $r4)
RequiredPredicateError;org.h2.security.CipherFactory;java.security.KeyStore getKeyStore(java.lang.String);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r5.<java.security.KeyFactory: java.security.PrivateKey generatePrivate(java.security.spec.KeySpec)>($r6)
TypestateError;org.briarproject.briar.android.AndroidKeyStrengthener;org.briarproject.bramble.api.crypto.SecretKey strengthenKey(org.briarproject.bramble.api.crypto.SecretKey);violating CrySL rule for javax.crypto.Mac (on Object #2089870a2febdb4d16ec371032d5958f61bd731b4342d5961ccf339f04918f92);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: void update(byte),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte[],int,int);$r5 = virtualinvoke $r2.<javax.crypto.Mac: byte[] doFinal(byte[])>($r5)
IncompleteOperationError;org.briarproject.briar.android.AndroidKeyStrengthener;boolean isInitialised();violating CrySL rule for java.security.KeyStore (on Object #61d3ae890173de968d7f204b04c9340adfcc8c64a6de4e005d1eccfd28aa7f2c);Operation on object of type java.security.KeyStore object not completed. Expected call to getKey;$r3 = virtualinvoke $r2.<java.security.KeyStore: java.security.KeyStore$Entry getEntry(java.lang.String,java.security.KeyStore$ProtectionParameter)>(varReplacer43556, varReplacer43557)
ConstraintError;org.briarproject.briar.android.AndroidKeyStrengthener;boolean isInitialised();violating CrySL rule for java.security.KeyStore (on Object #61d3ae890173de968d7f204b04c9340adfcc8c64a6de4e005d1eccfd28aa7f2c);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r2 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer43553)
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
RequiredPredicateError;net.i2p.crypto.eddsa.KeyPairGenerator;java.security.KeyPair generateKeyPair();violating CrySL rule for java.security.KeyPair ;First parameter was not properly generated as generated Pubkey;specialinvoke $r9.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r10, $r11)
RequiredPredicateError;net.i2p.crypto.eddsa.KeyPairGenerator;java.security.KeyPair generateKeyPair();violating CrySL rule for java.security.KeyPair ;Second parameter was not properly generated as generated Privkey;specialinvoke $r9.<java.security.KeyPair: void <init>(java.security.PublicKey,java.security.PrivateKey)>($r10, $r11)
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer30606, $r7, varReplacer30606)
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer30606, $r7, varReplacer30606)
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer30606, $r7, varReplacer30606)
RequiredPredicateError;okhttp3.internal.Util;javax.net.ssl.X509TrustManager platformTrustManager();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer30609)
