ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;z0.b;boolean b();violating CrySL rule for java.security.KeyStore (on Object #72de50917cececc4d5f00edbe277077c0d4d477d49eecb5e084b533ce8f1d070);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r5 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer2514)
IncompleteOperationError;org.eclipse.paho.client.mqttv3.internal.h;void start();violating CrySL rule for javax.net.ssl.SSLParameters (on Object #138dee18e72ef537258ec9e3d7f0ec8dc58903255a986ade321cb1b1f2ef37a4);Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites;virtualinvoke $r9.<javax.net.ssl.SSLSocket: void setSSLParameters(javax.net.ssl.SSLParameters)>($r6)
IncompleteOperationError;org.eclipse.paho.client.mqttv3.internal.h;void start();violating CrySL rule for javax.net.ssl.SSLParameters (on Object #138dee18e72ef537258ec9e3d7f0ec8dc58903255a986ade321cb1b1f2ef37a4);Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites;virtualinvoke $r9.<javax.net.ssl.SSLSocket: void setSSLParameters(javax.net.ssl.SSLParameters)>($r6)
IncompleteOperationError;org.eclipse.paho.client.mqttv3.internal.h;void start();violating CrySL rule for javax.net.ssl.SSLParameters (on Object #138dee18e72ef537258ec9e3d7f0ec8dc58903255a986ade321cb1b1f2ef37a4);Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites;virtualinvoke $r9.<javax.net.ssl.SSLSocket: void setSSLParameters(javax.net.ssl.SSLParameters)>($r6)
IncompleteOperationError;org.eclipse.paho.client.mqttv3.internal.h;void start();violating CrySL rule for javax.net.ssl.SSLParameters (on Object #138dee18e72ef537258ec9e3d7f0ec8dc58903255a986ade321cb1b1f2ef37a4);Operation on object of type javax.net.ssl.SSLParameters object not completed. Expected call to setProtocols, setCipherSuites;virtualinvoke $r9.<javax.net.ssl.SSLSocket: void setSSLParameters(javax.net.ssl.SSLParameters)>($r6)
RequiredPredicateError;y3.a;javax.net.ssl.SSLSocketFactory b(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r6, $r7, varReplacer6395)
IncompleteOperationError;y3.a;javax.net.ssl.SSLSocketFactory b(java.lang.String);violating CrySL rule for javax.net.ssl.TrustManagerFactory (on Object #fee89f360dd5de3a337793db25fd4d19957a07f13f233eebbb271136a60514bd);Operation on object of type javax.net.ssl.TrustManagerFactory object not completed. Expected call to init;$r4 = staticinvoke <javax.net.ssl.TrustManagerFactory: javax.net.ssl.TrustManagerFactory getInstance(java.lang.String)>($r3)
ConstraintError;y3.a;javax.net.ssl.SSLSocketFactory b(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #971f16c3dced7a56c982e09c67d53d240a345ce8e069d6c045a9c82836bb4a1f);First parameter (with value "AndroidCAStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r5 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer6398)
RequiredPredicateError;y3.a;javax.net.ssl.SSLSocketFactory b(java.lang.String);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r4.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r5)
RequiredPredicateError;y3.a;javax.net.ssl.SSLSocketFactory b(java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r6, $r7, varReplacer6395)
