ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;io.ktor.util.NonceKt$nonceGeneratorJob$1;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for java.security.SecureRandom (on Object #a4ebaeb3261d9cfc9f390418069d1120efd906771a0d78e852907e68ae4f131b);Unexpected call to method setSeed on object of type java.security.SecureRandom. Expect a call to one of the following methods generateSeed,nextInt,nextBytes;virtualinvoke $r7.<java.security.SecureRandom: void setSeed(byte[])>($r15)
ConstraintError;io.ktor.util.CryptoKt__CryptoJvmKt;io.ktor.util.Digest Digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #42ca34c85e7d7e7659a10e0214b35b4d5fe369318b2c1780c167ea15509a33b7);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r0)
TypestateError;io.ktor.util.DigestImpl;java.lang.Object build-impl(java.security.MessageDigest,kotlin.coroutines.Continuation);violating CrySL rule for java.security.MessageDigest (on Object #42ca34c85e7d7e7659a10e0214b35b4d5fe369318b2c1780c167ea15509a33b7);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r0 = virtualinvoke $r1.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;io.ktor.util.CryptoKt__CryptoJvmKt$sha1$1;java.lang.Object invokeSuspend(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #42ca34c85e7d7e7659a10e0214b35b4d5fe369318b2c1780c167ea15509a33b7);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = interfaceinvoke $r4.<io.ktor.util.Digest: java.lang.Object build(kotlin.coroutines.Continuation)>($r6)
NeverTypeOfError;io.ktor.server.engine.CommandLineKt$commandLineEnvironment$environment$1;void invoke(io.ktor.server.engine.ApplicationEngineEnvironmentBuilder);violating CrySL rule for java.security.KeyStore (on Object #49515e092a908b7bbe6c3b0461f4b9ea6875b2cc0a72b296c0b6ef4a12751aba);Second parameter should never be of type java.lang.String.;virtualinvoke $r31.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r34, $r35)
HardCodedError;io.ktor.server.engine.CommandLineKt$commandLineEnvironment$environment$1;void invoke(io.ktor.server.engine.ApplicationEngineEnvironmentBuilder);violating CrySL rule for java.security.KeyStore (on Object #49515e092a908b7bbe6c3b0461f4b9ea6875b2cc0a72b296c0b6ef4a12751aba);Second parameter should never be hardcoded.;virtualinvoke $r31.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r34, $r35)
ConstraintError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext (on Object #609e9eeb81ebc677c6e235ae50c3a4ed9f660c6e9faa07e9bb40497da1d7a31d);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer21714, $r0)
RequiredPredicateError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21711, $r2, varReplacer21711)
RequiredPredicateError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21711, $r2, varReplacer21711)
ConstraintError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext (on Object #5a89845f5807aeee7bba09687996aa945229003843b717b9afb3c41eda5ad96d);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer21713)
RequiredPredicateError;io.netty.handler.ssl.SslUtils;javax.net.ssl.SSLContext newInitContext(java.security.Provider);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21711, $r2, varReplacer21711)
TypestateError;io.ktor.sessions.SessionTransportTransformerEncrypt;byte[] mac(byte[]);violating CrySL rule for javax.crypto.Mac (on Object #187d13670acc2f8179b1788543296a9f37dac5e7fc05959d9d4034128fe5759a);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte),javax.crypto.Mac: void update(byte[],int,int);$r1 = virtualinvoke $r3.<javax.crypto.Mac: byte[] doFinal(byte[])>($r1)
