ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;ba.w5;java.security.MessageDigest g();violating CrySL rule for java.security.MessageDigest (on Object #bc5d9442a4c7f5eecbaaa2bcfc24f5bf46590859e2a02dfafd515f52862bed78);First parameter (with value "SHA") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer12513)
IncompleteOperationError;ua.h2;pa.n U(ga.f);violating CrySL rule for java.security.MessageDigest (on Object #bc5d9442a4c7f5eecbaaa2bcfc24f5bf46590859e2a02dfafd515f52862bed78);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r6 = specialinvoke r0.<ua.h2: ua.b s()>()
IncompleteOperationError;ua.h2;pa.n U(ga.f);violating CrySL rule for java.security.MessageDigest (on Object #bc5d9442a4c7f5eecbaaa2bcfc24f5bf46590859e2a02dfafd515f52862bed78);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$i0 = virtualinvoke $r6.<ua.b: int c()>()
IncompleteOperationError;ua.h2;pa.n U(ga.f);violating CrySL rule for java.security.MessageDigest (on Object #bc5d9442a4c7f5eecbaaa2bcfc24f5bf46590859e2a02dfafd515f52862bed78);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = specialinvoke r0.<ua.h2: boolean W(ua.b)>($r6)
IncompleteOperationError;ua.h2;pa.n U(ga.f);violating CrySL rule for java.security.MessageDigest (on Object #bc5d9442a4c7f5eecbaaa2bcfc24f5bf46590859e2a02dfafd515f52862bed78);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke r0.<ua.h2: void Y(ua.b)>($r6)
TypestateError;x9.c;byte[] f(w9.p);violating CrySL rule for java.security.MessageDigest (on Object #2da2376093185712827e35e383143e33ccc1a9f179039037be0675baef6025b);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r4 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>()
TypestateError;x9.c;byte[] e(y9.d);violating CrySL rule for java.security.MessageDigest (on Object #2da2376093185712827e35e383143e33ccc1a9f179039037be0675baef6025b);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r3 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
TypestateError;x9.c;byte[] d(w9.p);violating CrySL rule for java.security.MessageDigest (on Object #2da2376093185712827e35e383143e33ccc1a9f179039037be0675baef6025b);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r4 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;x9.c;void h(java.security.MessageDigest,w9.t,long,long);violating CrySL rule for java.security.MessageDigest (on Object #2da2376093185712827e35e383143e33ccc1a9f179039037be0675baef6025b);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, java.security.MessageDigest: void update(byte[],int,int), java.security.MessageDigest: void update(java.nio.ByteBuffer), java.security.MessageDigest: void update(byte[]), java.security.MessageDigest: void update(byte);virtualinvoke $r1.<java.security.MessageDigest: void update(byte[])>($r3)
IncompleteOperationError;o9.j;java.lang.String[] c(android.content.Context,j9.e,java.lang.String,java.security.KeyPair,java.security.SecureRandom,java.util.Date,java.util.Date);violating CrySL rule for java.security.Signature (on Object #e797936116740ca56894f3371bb335a71d4b643cfbdf9f9d98e95b3f8ea33d31);Operation on object of type java.security.Signature object not completed. Expected call to sign, update;$r27 = virtualinvoke $r12.<p7.c: p7.b b(j8.a)>($r26)
RequiredPredicateError;z7.a;java.security.AlgorithmParameters b(java.lang.String);violating CrySL rule for java.security.AlgorithmParameters ;First parameter was not properly generated as prepared Alg;$r1 = staticinvoke <java.security.AlgorithmParameters: java.security.AlgorithmParameters getInstance(java.lang.String)>($r2)
