ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;org.apache.commons.io.FileUtils;void copyInputStreamToFile(java.io.InputStream,java.io.File);violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Unexpected call to method close on object of type java.security.DigestInputStream. Expect a call to one of the following methods read;virtualinvoke $r1.<java.io.InputStream: void close()>()
TypestateError;org.apache.commons.io.FileUtils;void copyInputStreamToFile(java.io.InputStream,java.io.File);violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Unexpected call to method close on object of type java.security.DigestInputStream. Expect a call to one of the following methods read;virtualinvoke $r1.<java.io.InputStream: void close()>()
IncompleteOperationError;org.apache.commons.io.FileUtils;void copyInputStreamToFile(java.io.InputStream,java.io.File);violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r1.<java.io.InputStream: void close()>()
TypestateError;org.apache.commons.io.FileUtils;void copyToFile(java.io.InputStream,java.io.File);violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Unexpected call to method close on object of type java.security.DigestInputStream. Expect a call to one of the following methods read;virtualinvoke $r2.<java.io.InputStream: void close()>()
TypestateError;org.apache.commons.io.FileUtils;void copyToFile(java.io.InputStream,java.io.File);violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Unexpected call to method close on object of type java.security.DigestInputStream. Expect a call to one of the following methods read;virtualinvoke $r2.<java.io.InputStream: void close()>()
IncompleteOperationError;org.apache.commons.io.FileUtils;void copyToFile(java.io.InputStream,java.io.File);violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r2.<java.io.InputStream: void close()>()
TypestateError;com.facebook.common.memory.PooledByteArrayBufferedInputStream;void close();violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Unexpected call to method close on object of type java.security.DigestInputStream. Expect a call to one of the following methods read;specialinvoke r0.<java.io.InputStream: void close()>()
TypestateError;org.apache.commons.io.input.UnixLineEndingInputStream;void close();violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Unexpected call to method close on object of type java.security.DigestInputStream. Expect a call to one of the following methods read;specialinvoke r0.<java.io.InputStream: void close()>()
TypestateError;org.apache.commons.io.input.WindowsLineEndingInputStream;void close();violating CrySL rule for java.security.DigestInputStream (on Object #15c6c45ff5cc056939da1549bc4e0d86bfa29bf546330c57e49e7282a91570bd);Unexpected call to method close on object of type java.security.DigestInputStream. Expect a call to one of the following methods read;specialinvoke r0.<java.io.InputStream: void close()>()
IncompleteOperationError;expo.modules.updates.UpdatesUtils;byte[] sha256AndWriteToFile(java.io.InputStream,java.io.File);violating CrySL rule for java.security.MessageDigest (on Object #3245868ac09fa7798875b9241b7582c6aa754ac40b852ab398307a302b4223b2);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r2.<java.security.DigestInputStream: void <init>(java.io.InputStream,java.security.MessageDigest)>($r0, $r3)
