ErrorType;Class;Method;ViolatedRule;Object;Statement
ForbiddenMethodError;at.bitfire.cert4android.CustomCertService;void <clinit>();violating CrySL rule for javax.net.ssl.SSLContext ;Detected call to forbidden method javax.net.ssl.SSLContext getDefault() of class javax.net.ssl.SSLContext. Instead, call method <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>, <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>.;$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getDefault()>()
IncompleteOperationError;dummyMainClass;at.bitfire.cert4android.CustomCertService dummyMainMethod_at_bitfire_cert4android_CustomCertService(android.content.Intent);violating CrySL rule for java.security.KeyStore (on Object #199aaf1f6c3deb5a70c14b280afa3193f856ad663d9d5628721caa275a871152);Operation on object of type java.security.KeyStore object not completed. Expected call to load;return $r0
ConstraintError;at.bitfire.cert4android.CertUtils;javax.net.ssl.X509TrustManager getTrustManager(java.security.KeyStore);violating CrySL rule for javax.net.ssl.TrustManagerFactory (on Object #994f3a84010e96e6f30d0c21563c8076d2a9c3fd3d5c7a1a06192d351a44d540);First parameter (with value "X509") should be any of {PKIX, SunX509};$r3 = staticinvoke <javax.net.ssl.TrustManagerFactory: javax.net.ssl.TrustManagerFactory getInstance(java.lang.String)>(varReplacer3239)
RequiredPredicateError;com.etesync.syncadapter.HttpClient$Builder;com.etesync.syncadapter.HttpClient build();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r22.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r31, $r32, varReplacer7336)
ConstraintError;com.etesync.syncadapter.HttpClient$Builder;com.etesync.syncadapter.HttpClient build();violating CrySL rule for javax.net.ssl.SSLContext (on Object #68d8f743c57118137276b5da6c763f6604d6c76a71cd1db92c24bb921eaa528f);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r22 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer7332)
RequiredPredicateError;com.etesync.syncadapter.HttpClient$Builder;com.etesync.syncadapter.HttpClient build();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r22.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r31, $r32, varReplacer7336)
ConstraintError;com.etesync.syncadapter.HttpClient$Builder;com.etesync.syncadapter.HttpClient build();violating CrySL rule for java.security.KeyStore (on Object #51af5725cc941bb34d9ed2a8dd5203550f3f9158e866141f568064ffb4173e80);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r14 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer7331)
RequiredPredicateError;com.etesync.syncadapter.HttpClient$Builder;com.etesync.syncadapter.HttpClient build();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r22.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r31, $r32, varReplacer7336)
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext newSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #ac8d597514e316f86029acbe54aa0d72b257770d683f8f523cddd6ed7bc4dce5);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer26402)
RequiredPredicateError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21202, $r10, varReplacer21202)
RequiredPredicateError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21202, $r10, varReplacer21202)
RequiredPredicateError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLSocketFactory newSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21202, $r10, varReplacer21202)
