ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;de.slackspace.openkeepass.crypto.Aes;byte[] transformKey(byte[],byte[],long);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r0.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer20362, $r3)
RequiredPredicateError;de.slackspace.openkeepass.crypto.Aes;byte[] transformKey(byte[],byte[],long);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer20363)
ConstraintError;de.slackspace.openkeepass.crypto.Aes;byte[] transformKey(byte[],byte[],long);violating CrySL rule for javax.crypto.Cipher (on Object #a8461695238ab32c030c8ed37386fcefc2d3b536e152020b2fa7c0765173a056);First parameter (with value "AES/ECB/NoPadding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r0 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer20369)
TypestateError;de.slackspace.openkeepass.crypto.Aes;byte[] transformKey(byte[],byte[],long);violating CrySL rule for javax.crypto.Cipher (on Object #a8461695238ab32c030c8ed37386fcefc2d3b536e152020b2fa7c0765173a056);Unexpected call to method update on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;virtualinvoke $r0.<javax.crypto.Cipher: int update(byte[],int,int,byte[],int)>($r2, varReplacer20372, varReplacer20373, $r2, varReplacer20372)
TypestateError;de.slackspace.openkeepass.crypto.Aes;byte[] transformData(byte[],byte[],byte[],int);violating CrySL rule for javax.crypto.Cipher (on Object #c1cff069f047600936a61e555e08899c03c6032c11dd3d03c9cbbf760f141b36);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
RequiredPredicateError;de.slackspace.openkeepass.crypto.Aes;byte[] transformData(byte[],byte[],byte[],int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer20384)
RequiredPredicateError;de.slackspace.openkeepass.crypto.Aes;byte[] transformData(byte[],byte[],byte[],int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>($i0, $r0, $r5)
TypestateError;org.spongycastle.crypto.encodings.PKCS1Encoding;byte[] encodeBlock(byte[],int,int);violating CrySL rule for java.security.SecureRandom (on Object #d60d93481dd6262546132fe8ec2f6f2c42eb3a0a1bfa20b033056f89fc2c0c59);Unexpected call to method nextBytes on object of type java.security.SecureRandom. Expect a call to one of the following methods init,getInstanceStrong,getInstance;virtualinvoke $r4.<java.security.SecureRandom: void nextBytes(byte[])>($r1)
IncompleteOperationError;org.spongycastle.crypto.encodings.PKCS1Encoding;byte[] encodeBlock(byte[],int,int);violating CrySL rule for java.security.SecureRandom (on Object #d60d93481dd6262546132fe8ec2f6f2c42eb3a0a1bfa20b033056f89fc2c0c59);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;$i2 = virtualinvoke r0.<org.spongycastle.crypto.encodings.PKCS1Encoding: int getInputBlockSize()>()
IncompleteOperationError;org.spongycastle.crypto.encodings.PKCS1Encoding;byte[] encodeBlock(byte[],int,int);violating CrySL rule for java.security.SecureRandom (on Object #94642bb44c85c75f78f22ec3372247e7bdbb1cf02676b4bfb5838a813a31c51a);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;$i2 = virtualinvoke r0.<org.spongycastle.crypto.encodings.PKCS1Encoding: int getInputBlockSize()>()
