ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.DigestInputStream (on Object #b5f03154dd74910ce593f996644945fc2738749454ac5db16b9d6a61c0053e8e);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r35.<java.security.DigestInputStream: void on(boolean)>(varReplacer39755)
IncompleteOperationError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.MessageDigest (on Object #ebbfae4c2102b1669ed35c302539b2d2844ba0bdff388895ce76a1a7f2865351);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r35.<java.security.DigestInputStream: void <init>(java.io.InputStream,java.security.MessageDigest)>($r9, $r15)
IncompleteOperationError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.MessageDigest (on Object #4b2c36bec6a83bef7642eb3a7b1f93cf7c04d9f7ba9431560f9b145d7e6b8);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r35.<java.security.DigestInputStream: void <init>(java.io.InputStream,java.security.MessageDigest)>($r9, $r15)
TypestateError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.MessageDigest (on Object #ebbfae4c2102b1669ed35c302539b2d2844ba0bdff388895ce76a1a7f2865351);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r12 = virtualinvoke $r15.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.MessageDigest (on Object #ebbfae4c2102b1669ed35c302539b2d2844ba0bdff388895ce76a1a7f2865351);Operation on object of type java.security.MessageDigest object not completed. Expected call to update, java.security.MessageDigest: byte[] digest(byte[]);$r12 = virtualinvoke $r15.<java.security.MessageDigest: byte[] digest()>()
TypestateError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.MessageDigest (on Object #4b2c36bec6a83bef7642eb3a7b1f93cf7c04d9f7ba9431560f9b145d7e6b8);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r12 = virtualinvoke $r15.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.MessageDigest (on Object #4b2c36bec6a83bef7642eb3a7b1f93cf7c04d9f7ba9431560f9b145d7e6b8);Operation on object of type java.security.MessageDigest object not completed. Expected call to update, java.security.MessageDigest: byte[] digest(byte[]);$r12 = virtualinvoke $r15.<java.security.MessageDigest: byte[] digest()>()
ForbiddenMethodError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.DigestInputStream ;Detected call to forbidden method void on(boolean) of class java.security.DigestInputStream;virtualinvoke $r35.<java.security.DigestInputStream: void on(boolean)>(varReplacer39755)
IncompleteOperationError;net.i2p.crypto.SU3File;boolean verifyAndMigrate(java.io.File);violating CrySL rule for java.security.DigestInputStream (on Object #b5f03154dd74910ce593f996644945fc2738749454ac5db16b9d6a61c0053e8e);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;specialinvoke $r35.<java.security.DigestInputStream: void <init>(java.io.InputStream,java.security.MessageDigest)>($r9, $r15)
NeverTypeOfError;net.i2p.i2ptunnel.SSLClientUtil;javax.net.ssl.SSLServerSocketFactory initializeFactory(java.util.Properties);violating CrySL rule for java.security.KeyStore (on Object #36610f7bf2b6bc4c0f810c2fb869d1e9eb8f1043bde478bdd9f18d2b24361746);Second parameter should never be of type java.lang.String.;virtualinvoke $r10.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r11, $r12)
HardCodedError;net.i2p.i2ptunnel.SSLClientUtil;javax.net.ssl.SSLServerSocketFactory initializeFactory(java.util.Properties);violating CrySL rule for java.security.KeyStore (on Object #36610f7bf2b6bc4c0f810c2fb869d1e9eb8f1043bde478bdd9f18d2b24361746);Second parameter should never be hardcoded.;virtualinvoke $r10.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r11, $r12)
RequiredPredicateError;net.i2p.i2ptunnel.SSLClientUtil;javax.net.ssl.SSLServerSocketFactory initializeFactory(java.util.Properties);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r9.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r14, varReplacer2887, $r15)
RequiredPredicateError;net.i2p.i2ptunnel.SSLClientUtil;javax.net.ssl.SSLServerSocketFactory initializeFactory(java.util.Properties);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r9.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r14, varReplacer2887, $r15)
