Project,Apk,crySL-Rules,Objects-Analyzed,Violations,Source-Code
,cityfreqs.com.pilfershushjammer_41.apk,47,0,0,
,com.aaronjwood.portauthority_63.apk,47,10,18,
,com.aidinhut.simpletextcrypt_12.apk,47,8,9,
,com.aravi.dot_30009.apk,47,0,0,
,com.beemdevelopment.aegis_50.apk,47,52,43,
,com.crazylegend.vigilante_17.apk,47,52,54,
,com.daemon.ssh_12.apk,47,19,6,
,com.emanuelef.remote_capture_42.apk,47,9,5,
,com.etesync.notes_10700.apk,47,31,34,
,com.etesync.syncadapter_20204.apk,47,43,32,
,com.github.onetimepass_1002003.apk,47,20,17,
,com.lesspass.android_90503.apk,47,70,69,
,com.nextcloudpasswords_16.apk,47,22,25,
,com.nitish.privacyindicator_8.apk,47,0,0,
,com.securefilemanager.app_12.apk,47,85,156,
,com.servoz.appsdisabler_122.apk,47,0,0,
,com.smilla.greentooth_5.apk,47,0,0,
,com.sovworks.edslite_237.apk,47,25,19,
,com.tnibler.cryptocam_16.apk,47,1,77,
,com.u2fa.secur_5.apk,47,14,11,
,com.vecturagames.android.app.passwordgenerator_34.apk,47,2,1,
,com.vecturagames.android.app.passwordmaster_6.apk,47,41,48,
,com.wireguard.android_491.apk,47,0,0,
,com.yogeshpaliyal.keypass_1401.apk,47,113,302,
,design.codeux.authpass.fdroid_159.apk,47,49,58,
,dev.leonlatsch.photok_18.apk,47,25,21,
,eu.faircode.netguard_2021111301.apk,47,3,4,
,hans.b.skewy1_0_1.apk,47,0,0,
,me.billdietrich.fake_contacts_4.apk,47,0,0,
,me.impa.knockonports_46.apk,47,0,0,
,net.i2p.android.router_4745261.apk,47,122,188,
,net.ivpn.client_100.apk,47,133,357,
,net.typeblog.shelter_20.apk,47,6,2,
,net.xvello.salasana_3.apk,47,0,0,
,net.yolosec.routerkeygen2_80.apk,47,0,0,
,org.chickenhook.binderfuzzy_2.apk,47,0,0,
,org.cry.otp_22.apk,47,9,11,
,org.ea.sqrl_54.apk,47,78,63,
,org.eu.exodus_privacy.exodusprivacy_10.apk,47,4,1,
,org.secuso.privacyfriendlypasswordgenerator_5.apk,47,3,2,
,org.shadowice.flocke.andotp_39.apk,47,45,177,
,org.torproject.torservices_2004.apk,47,0,0,
,pro.kherel.selfprivacy_8.apk,47,18,13,
,sushi.hardcore.droidfs_21.apk,47,11,6,
,tech.projectmatris.antimalwareapp_10400.apk,47,2,0,
,us.spotco.malwarescanner_76.apk,47,0,0,
,us.spotco.motionlock_14.apk,47,0,0,
