ErrorType;Class;Method;ViolatedRule;Object;Statement
ForbiddenMethodError;org.bouncycastle.openssl.PKCS8Generator;org.bouncycastle.util.io.pem.PemObject generate();violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Detected call to forbidden method void <init>(char[]) of class javax.crypto.spec.PBEKeySpec. Instead, call method <javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>.;specialinvoke $r46.<javax.crypto.spec.PBEKeySpec: void <init>(char[])>($r8)
ConstraintError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext (on Object #eb6049b4e29edadc4af14787e5f87d5da51f78ab725434d228f5d03e7d98fd88);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r13 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer981)
ConstraintError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #191b4f3d8c6c16b9b34e0af6a6dfdb14a84da48ca48b341711c0c4c1854d6d47);First parameter (with value "AndroidCAStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r7 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer979)
RequiredPredicateError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r13.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer987, $r12, varReplacer987)
RequiredPredicateError;de.nulide.findmydevice.utils.PatchedVolley;com.android.volley.RequestQueue newRequestQueue(android.content.Context);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r13.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer987, $r12, varReplacer987)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;byte[] encryptWithKey(java.security.PublicKey,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer20740, $r1)
TypestateError;de.nulide.findmydevice.utils.CypherUtils;byte[] encryptWithKey(java.security.PublicKey,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #bf7c11c25e5c782e4b45807c248844ddd059437565888e4ed523464d1ef14de);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r2.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r8.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i1, $i0)
RequiredPredicateError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r5 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r2)
NeverTypeOfError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #286e8deb617bb7673c9f0b4c9d1a0623947d05364b94e9879f405feecbbb17a8);First parameter should never be of type java.lang.String.;specialinvoke $r8.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i1, $i0)
HardCodedError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #286e8deb617bb7673c9f0b4c9d1a0623947d05364b94e9879f405feecbbb17a8);First parameter should never be hardcoded.;specialinvoke $r8.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i1, $i0)
IncompleteOperationError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #286e8deb617bb7673c9f0b4c9d1a0623947d05364b94e9879f405feecbbb17a8);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;specialinvoke $r8.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r1, $i1, $i0)
ConstraintError;de.nulide.findmydevice.utils.CypherUtils;java.lang.String hashWithPKBDF2(java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #d485b1d2ef9ed3b4436b6ceca72f12d05074e0d6b63b7f4f5a07e0323cef515d);First parameter (with value "PBKDF2WithHmacSHA1") should be any of {PBKDF2WithHmacSHA512, PBKDF2WithHmacSHA384, PBKDF2WithHmacSHA256, PBKDF2WithHmacSHA224, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r4 = staticinvoke <javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>(varReplacer32645)
