ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;com.facebook.soloader.SoLoader$a;java.lang.String b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6a2e092cfe651f9473aaa4f8d495585657ba82701d5770c6faec6598f1c7e450);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer8068)
TypestateError;com.facebook.soloader.SoLoader$a;java.lang.String b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6a2e092cfe651f9473aaa4f8d495585657ba82701d5770c6faec6598f1c7e450);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r7 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;com.facebook.common.util.b;java.lang.String a(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #c3b30239f7a1cad44d42dcd9bf9d6876fa98e79d5d9eb2c69897324b64d35e6);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer10742)
RequiredPredicateError;com.facebook.react.modules.network.o;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15131, varReplacer15131, varReplacer15131)
ConstraintError;com.facebook.react.modules.network.o;void <init>();violating CrySL rule for javax.net.ssl.SSLContext (on Object #2bcaf9001316f019b51983748bc01932e3e47d32d13bbf3356c5198782318c13);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer15130)
RequiredPredicateError;com.facebook.react.modules.network.o;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15131, varReplacer15131, varReplacer15131)
RequiredPredicateError;com.facebook.react.modules.network.o;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15131, varReplacer15131, varReplacer15131)
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #689516322716c6c70343400f930681692981772d7e640f553c5fcd1b900a81dd);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer16695)
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #a7556a19b63a1f127ccbfa56978d637313bb124ef6dfd0a8c56d99b679234414);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer16697, $r2)
ConstraintError;okhttp3.internal.platform.AndroidPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #dd0314a0ffb75a63e60f377ec6c4154ab91d7cc2cb84898890d6cdb17a073a9d);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer16701)
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
RequiredPredicateError;com.dropbox.core.http.SSLConfig;javax.net.ssl.SSLContext c(javax.net.ssl.TrustManager[]);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer29713, $r0, varReplacer29713)
ConstraintError;com.dropbox.core.http.SSLConfig;javax.net.ssl.SSLContext c(javax.net.ssl.TrustManager[]);violating CrySL rule for javax.net.ssl.SSLContext (on Object #8461e9ef187d1fc0101f30b107bf5ce905b47eabb0574100e567ea2ea122d8ff);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer29715)
