ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;d.d.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r11.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, varReplacer7640)
ConstraintError;d.d.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #fa5e8fa0077f3addc21dd70a2c8e4130ec7ca5e706fc68dd73232d59c7cd3760);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r7 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer7634)
RequiredPredicateError;d.d.a.b.b;byte[] a(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
RequiredPredicateError;d.d.a.b.b;byte[] b(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
ConstraintError;d.d.a.b.a;void b(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #f38f7a6b6330d1da931cb8649632d0af74eb4700314281f26e3da85fec6d0d54);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer12315)
ConstraintError;d.d.a.b.a;java.security.PrivateKey c();violating CrySL rule for java.security.KeyStore (on Object #b422a5e68d2770e1ada853947e008f3f145c35ff6fdf1448369f3e8b55ff7585);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer12319)
TypestateError;d.d.a.b.a;byte[] l(java.security.Key);violating CrySL rule for javax.crypto.Cipher (on Object #7ce55e4c534775209fe117fb01532ba1df9333c2e6d356c93bf0d65d7100c9fa);Unexpected call to method wrap on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] wrap(java.security.Key)>($r1)
ConstraintError;d.d.a.b.a;java.security.PublicKey d();violating CrySL rule for java.security.KeyStore (on Object #2715522f5f57d816d8ce72af1462e847899245445e38f7b82b4b675325e6ba58);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer12327)
RequiredPredicateError;d.d.a.b.a;void a(android.content.Context);violating CrySL rule for java.security.KeyPairGenerator ;First parameter was not properly generated as prepared R S A;virtualinvoke $r7.<java.security.KeyPairGenerator: void initialize(java.security.spec.AlgorithmParameterSpec)>($r8)
RequiredPredicateError;d.d.a.b.a;java.security.Key k(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer9938, $r3)
