apk,issues
com.github.webierta.call_counter_5.apk,0
me.lucky.silence_30.apk,5
org.jitsi.meet_216000.apk,22
fr.jnda.android.flashalert_10271104.apk,3
dummydomain.yetanothercallblocker_5170.apk,22
tech.bogomolov.incomingsmsgateway_7.apk,1
ru.henridellal.dialer_14.apk,0
me.hackerchick.raisetoanswer_31.apk,2
com.pierreduchemin.smsforward_15.apk,4
org.lumicall.android_192.apk,84
com.simplemobiletools.contacts.pro_89.apk,6
de.hskl.contacts_1.apk,1
opencontacts.open.com.opencontacts_23.apk,6
de.schlikk.calls_100000.apk,2
com.serwylo.babyphone_5.apk,4
com.github.tmo1.sms_ie_5.apk,4
me.yardenac.comaphone_27.apk,2
org.tether.tether_2007.apk,3
at.bitfire.nophonespam_15.apk,0
