ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;d.a.a.a.m.h.b.o;java.lang.Object call();violating CrySL rule for javax.crypto.Mac (on Object #6ddbc8bfdbcfd668395381621165f38b953907c4bf520cc471da48f48a2c4fa0);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte),javax.crypto.Mac: void update(byte[],int,int);$r8 = virtualinvoke $r12.<javax.crypto.Mac: byte[] doFinal(byte[])>($r11)
RequiredPredicateError;d.a.a.a.m.h.b.o;java.lang.Object call();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r13.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, $r5)
RequiredPredicateError;j.m0.l.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21653, $r6, varReplacer21653)
RequiredPredicateError;j.m0.l.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21653, $r6, varReplacer21653)
RequiredPredicateError;j.m0.l.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21653, $r6, varReplacer21653)
ConstraintError;j.m0.l.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #ca9fe4ee72205ae5fa109e143eb68a5f3652b46149ec025c1b851bab96d00d09);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer21655, $r3)
ConstraintError;j.m0.l.d;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #77bad5fc6a5bc5771b9fceae509cb73e7d0351095e6482134941f3b2c1df3290);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer28009, $r2)
RequiredPredicateError;j.m0.l.d;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer21644)
ConstraintError;j.m0.l.h;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #19f24c1e3ceb66970bc8622f7e764670ecc103e4e3273256454f45e536960010);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer28006)
RequiredPredicateError;j.m0.l.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21649, $r10, varReplacer21649)
RequiredPredicateError;j.m0.l.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21649, $r10, varReplacer21649)
RequiredPredicateError;j.m0.l.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer21649, $r10, varReplacer21649)
