ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;o4.f;void f(androidx.fragment.app.h);violating CrySL rule for java.security.MessageDigest (on Object #fc27f4b90937e5bc7839a5767a7089677f0bdb80a5cb0c4e2e12a99ec0b5e794);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r4 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;o4.f;void f(androidx.fragment.app.h);violating CrySL rule for java.security.MessageDigest (on Object #fc27f4b90937e5bc7839a5767a7089677f0bdb80a5cb0c4e2e12a99ec0b5e794);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer9557)
ConstraintError;h2.a;java.lang.String b(java.security.cert.X509Certificate,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #1f8355c68ab0fc557bd20ab2d326515276de83e045c6ada7157ba0a119a139f7);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r4)
ConstraintError;h2.a;java.lang.String b(java.security.cert.X509Certificate,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #1f8355c68ab0fc557bd20ab2d326515276de83e045c6ada7157ba0a119a139f7);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r4)
TypestateError;w0.a;java.lang.String a();violating CrySL rule for java.security.MessageDigest (on Object #36742ae16b76407f5b69973adfc174a375e33c20b85b1b79a98b22369afe5d0c);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r12 = virtualinvoke $r11.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;w0.a;java.lang.String a();violating CrySL rule for java.security.MessageDigest (on Object #36742ae16b76407f5b69973adfc174a375e33c20b85b1b79a98b22369afe5d0c);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r11 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer9672)
ConstraintError;w0.b;java.lang.String a();violating CrySL rule for java.security.MessageDigest (on Object #7b96f3217c4a5e7ce4b85e9bfdcc70b96ad234d6445aee93d0e94b1819b51a34);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r7)
ConstraintError;androidx.appcompat.widget.u;byte[] h(java.security.PrivateKey,byte[]);violating CrySL rule for java.security.Signature (on Object #6972ce490152104d465daa6a450c81a6e629a818b072baf60a00d783c67de4d4);First parameter (with value "SHA1withRSA") should be any of {SHA256withRSA, SHA256withECDSA, SHA256withDSA, SHA384withRSA, SHA512withRSA, SHA384withECDSA, SHA512withECDSA};$r3 = staticinvoke <java.security.Signature: java.security.Signature getInstance(java.lang.String)>(varReplacer9692)
RequiredPredicateError;androidx.appcompat.widget.u;byte[] h(java.security.PrivateKey,byte[]);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Privkey;virtualinvoke $r3.<java.security.Signature: void initSign(java.security.PrivateKey)>($r2)
RequiredPredicateError;androidx.appcompat.widget.u;java.security.interfaces.RSAPrivateKey f(java.io.File);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r5 = virtualinvoke $r4.<java.security.KeyFactory: java.security.PrivateKey generatePrivate(java.security.spec.KeySpec)>($r1)
ConstraintError;t2.a;void <init>(java.lang.String);violating CrySL rule for javax.crypto.Mac (on Object #1777524bc2fa3af1ca80c4679c0b2d6b8af24c32b5624eb03233e336cabc72c4);First parameter (with value "HmacSHA1") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r3 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>($r2)
RequiredPredicateError;t2.a;void d(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, $r5)
ConstraintError;t2.a;void d(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #1af75041d323997db4af17b828c73c21446094ea790ef4997ad92337979f0c05);Second parameter (with value "HmacSHA1") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, $r5)
