ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;d.c;android.content.SharedPreferences s(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #2bedce6bf0bd84c50988907e5fb141b81e93a1113a86a043fdd2b70c27e8a650);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r6 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer155)
ConstraintError;r3.c;boolean d(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #3c29402e9a9cce57f7f0fa2293f5f56259e522c0cfa7f8538f730dfddd9c1192);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer7264)
ConstraintError;androidx.biometric.p;androidx.biometric.l a();violating CrySL rule for javax.crypto.Cipher (on Object #4980e3501fea08d9a8d75065388f94f2b67f75d43a1491f760b7569910a7c683);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer9198)
ConstraintError;androidx.biometric.p;androidx.biometric.l a();violating CrySL rule for java.security.KeyStore (on Object #bc9c6c75991a8d3901bbccfd034cfc14ed1be93dd9ede72f733d10b13ed027fb);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer9200)
RequiredPredicateError;androidx.biometric.p;androidx.biometric.l a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer9199, $r5)
ConstraintError;r3.c$a;void <init>();violating CrySL rule for java.security.KeyStore (on Object #df1eab8030c3806f33d6f8f629c9ede20754ca3b438c1d423c12fe992d06b537);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer12183)
RequiredPredicateError;s3.b$a;java.lang.Object a(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer12207)
ConstraintError;s3.b$a;java.lang.Object a(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #9c73e6f78485d4c09f85c14b96ae09fd491806065fcc1047353be50295125f7a);Second parameter (with value "HMAC") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer12207)
IncompleteOperationError;g4.a;n4.a n(n4.b,int);violating CrySL rule for javax.crypto.Cipher (on Object #8d8ed7f611a2bac31b68b7e18a504dbd0719a02a461c2a759ca4efc75bf96e1);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$i2 = virtualinvoke $r14.<javax.crypto.Cipher: int getBlockSize()>()
TypestateError;g4.a;void l(android.net.Uri,java.lang.String,java.util.List,byte[]);violating CrySL rule for javax.crypto.CipherOutputStream (on Object #5b748ba51407ff1a98fed78e164960738e0315c9abdf029b2e29d5c5482185ff);Unexpected call to method close on object of type javax.crypto.CipherOutputStream. Expect a call to one of the following methods write;virtualinvoke $r14.<java.io.OutputStream: void close()>()
IncompleteOperationError;g4.a;void l(android.net.Uri,java.lang.String,java.util.List,byte[]);violating CrySL rule for javax.crypto.CipherOutputStream (on Object #5b748ba51407ff1a98fed78e164960738e0315c9abdf029b2e29d5c5482185ff);Operation on object of type javax.crypto.CipherOutputStream object not completed. Expected call to java.lang.AutoCloseable: void close(), java.io.FilterOutputStream: void close(), javax.crypto.CipherOutputStream: void close(), java.io.OutputStream: void close(), java.io.Closeable: void close(), write;virtualinvoke $r14.<java.io.OutputStream: void close()>()
IncompleteOperationError;p4.c;void <clinit>();violating CrySL rule for javax.crypto.Cipher (on Object #7c952accf722b5ce79c71b6d22ba015fede4a391b8ea1be2a8909520a1d236aa);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$i0 = virtualinvoke $r3.<javax.crypto.Cipher: int getBlockSize()>()
RequiredPredicateError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, $r0)
ConstraintError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #d06b55764972f2b923800cae35e5cd5367c4294412ce45b4ec9312174373fcfc);Third parameter (with value 2020)Variable iterationCountmust be  at least 10000;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, $r1, varReplacer22194, varReplacer22195)
NeverTypeOfError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #d06b55764972f2b923800cae35e5cd5367c4294412ce45b4ec9312174373fcfc);First parameter should never be of type java.lang.String.;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, $r1, varReplacer22194, varReplacer22195)
HardCodedError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #d06b55764972f2b923800cae35e5cd5367c4294412ce45b4ec9312174373fcfc);First parameter should never be hardcoded.;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, $r1, varReplacer22194, varReplacer22195)
RequiredPredicateError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r6, $r1, varReplacer22194, varReplacer22195)
IncompleteOperationError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #d06b55764972f2b923800cae35e5cd5367c4294412ce45b4ec9312174373fcfc);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r7 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r5)
RequiredPredicateError;p4.c;javax.crypto.SecretKey c(java.lang.String,byte[],java.lang.String,java.lang.String,int);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r7 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r5)
RequiredPredicateError;p4.c;javax.crypto.CipherInputStream a(java.io.InputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer22183, $r2, $r0)
RequiredPredicateError;p4.c;javax.crypto.CipherInputStream a(java.io.InputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
RequiredPredicateError;p4.c;javax.crypto.CipherInputStream a(java.io.InputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer22183, $r2, $r0)
RequiredPredicateError;p4.c;javax.crypto.CipherOutputStream b(java.io.OutputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer24404, $r2, $r0)
RequiredPredicateError;p4.c;javax.crypto.CipherOutputStream b(java.io.OutputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer24404, $r2, $r0)
RequiredPredicateError;p4.c;javax.crypto.CipherOutputStream b(java.io.OutputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.CipherOutputStream ;Second parameter was not properly generated as generated Cipher;specialinvoke $r13.<javax.crypto.CipherOutputStream: void <init>(java.io.OutputStream,javax.crypto.Cipher)>($r1, $r5)
RequiredPredicateError;p4.c;javax.crypto.CipherOutputStream b(java.io.OutputStream,javax.crypto.SecretKey,byte[],java.lang.String,int);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
ConstraintError;w3.l$a;java.lang.Object a(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.Cipher (on Object #adba45cc74b0e3b0ab95bf652bc0f83f244618653909a4422cc4ab5edfa72736);First parameter (with value "AES/ECB/NoPadding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r2)
