ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;s7.k;void h(s7.k,android.app.Application);violating CrySL rule for java.security.MessageDigest (on Object #c27cc6411fff03ebe2417219dfc3917409650bfbe554017cec6a651ad6e031cd);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r27 = virtualinvoke $r24.<java.security.MessageDigest: byte[] digest()>()
TypestateError;x7.e;boolean q(x7.f,android.content.Context);violating CrySL rule for java.security.MessageDigest (on Object #4657a00743f3a05e207a92fcc098595214ecc2826df7a92e0c7db33fc95eb360);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r11 = virtualinvoke $r10.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;z0.h;void c(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #995fe715563767b1e12e0b87ae4e51d982510ab87256d567457c10da7207229e);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r3 = interfaceinvoke $r2.<l8.a: java.lang.Object b()>()
IncompleteOperationError;androidx.fragment.app.Fragment;androidx.lifecycle.k0 E();violating CrySL rule for java.security.MessageDigest (on Object #995fe715563767b1e12e0b87ae4e51d982510ab87256d567457c10da7207229e);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$i0 = specialinvoke r0.<androidx.fragment.app.Fragment: int g0()>()
IncompleteOperationError;io.timelimit.android.ui.diagnose.DiagnoseConnectionFragment$d;androidx.lifecycle.k0 a();violating CrySL rule for java.security.MessageDigest (on Object #995fe715563767b1e12e0b87ae4e51d982510ab87256d567457c10da7207229e);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r4 = interfaceinvoke $r3.<androidx.lifecycle.l0: androidx.lifecycle.k0 E()>()
IncompleteOperationError;androidx.fragment.app.f0;void c();violating CrySL rule for java.security.MessageDigest (on Object #995fe715563767b1e12e0b87ae4e51d982510ab87256d567457c10da7207229e);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r1 = staticinvoke <androidx.savedstate.b: androidx.savedstate.b a(androidx.savedstate.c)>(r0)
RequiredPredicateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r11.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer14928, $r8, $r12)
RequiredPredicateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r3, varReplacer14926)
TypestateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.Cipher (on Object #1ff2d5bd09f1d2f069406a43446ca8c2d0b5068fb16bd7ed7e6a60740ffd7bbc);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r14 = virtualinvoke $r11.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r14)
RequiredPredicateError;z6.g$b$a;java.lang.String a();violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
