ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;a;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #f16334aa796be868233720d0003c53e42a64dc60addebfafbcfedaafb5333dd7);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r9 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r9)
RequiredPredicateError;a;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r8.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r5)
RequiredPredicateError;a;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer702, $r3, $r8)
RequiredPredicateError;a;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer702, $r3, $r8)
NeverTypeOfError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #68576749d5746a649f26bad3b0dfe16d88e0350c5ad43d5703be2edf2ba9b358);First parameter should never be of type java.lang.String.;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r0, $i2, $i0)
HardCodedError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #68576749d5746a649f26bad3b0dfe16d88e0350c5ad43d5703be2edf2ba9b358);First parameter should never be hardcoded.;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r0, $i2, $i0)
RequiredPredicateError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r0, varReplacer711)
RequiredPredicateError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r5 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r2)
IncompleteOperationError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #68576749d5746a649f26bad3b0dfe16d88e0350c5ad43d5703be2edf2ba9b358);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r5 = virtualinvoke $r4.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r2)
RequiredPredicateError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r2.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r3, $r0, $i2, $i0)
ConstraintError;a;javax.crypto.SecretKey a(byte[],java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #d0cc11ce2f8d6ca20fdca14ae241362d2e460007a6668a6612180d23c972f346);First parameter (with value "PBKDF2WithHmacSHA1") should be any of {PBKDF2WithHmacSHA512, PBKDF2WithHmacSHA384, PBKDF2WithHmacSHA256, PBKDF2WithHmacSHA224, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r4 = staticinvoke <javax.crypto.SecretKeyFactory: javax.crypto.SecretKeyFactory getInstance(java.lang.String)>(varReplacer713)
TypestateError;a;java.lang.String a(byte[],javax.crypto.SecretKey,byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #530c9f104a98b9330e7f62662b0c1abe5cd29e51ea8d4364899358a05ba31c7c);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r0 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r0)
RequiredPredicateError;a;java.lang.String a(byte[],javax.crypto.SecretKey,byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
RequiredPredicateError;a;java.lang.String a(byte[],javax.crypto.SecretKey,byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer717, $r1, $r4)
