ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;kellinwood.security.zipsigner.ZipSigner;java.security.spec.KeySpec decryptPrivateKey(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared Alg;virtualinvoke $r9.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.AlgorithmParameters)>(varReplacer51506, $r8, $r10)
ForbiddenMethodError;kellinwood.security.zipsigner.ZipSigner;java.security.spec.KeySpec decryptPrivateKey(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Detected call to forbidden method void <init>(char[]) of class javax.crypto.spec.PBEKeySpec. Instead, call method <javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>.;specialinvoke $r7.<javax.crypto.spec.PBEKeySpec: void <init>(char[])>($r5)
RequiredPredicateError;kellinwood.security.zipsigner.ZipSigner;java.security.spec.KeySpec decryptPrivateKey(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r9.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.AlgorithmParameters)>(varReplacer51506, $r8, $r10)
RequiredPredicateError;kellinwood.security.zipsigner.ZipSigner;java.security.spec.KeySpec decryptPrivateKey(byte[],java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r6.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r7)
IncompleteOperationError;kellinwood.security.zipsigner.ZipSigner;java.lang.String autoDetectKey(java.lang.String,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #d93dd0aa1d98e36376b0941ca43eeb95627272c359d73742c6a7b4b22c4baad4);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer44210)
IncompleteOperationError;kellinwood.security.zipsigner.ZipSigner;java.lang.String autoDetectKey(java.lang.String,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #d93dd0aa1d98e36376b0941ca43eeb95627272c359d73742c6a7b4b22c4baad4);Operation on object of type java.security.MessageDigest object not completed. Expected call to update, java.security.MessageDigest: byte[] digest(byte[]);$r12 = virtualinvoke $r10.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;kellinwood.security.zipsigner.ZipSigner;java.lang.String autoDetectKey(java.lang.String,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #d93dd0aa1d98e36376b0941ca43eeb95627272c359d73742c6a7b4b22c4baad4);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer44210)
TypestateError;kellinwood.security.zipsigner.ZipSigner;java.util.jar.Manifest addDigestsToManifest(java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #33686ef4e23bc3e065a780e40cf6beb311869d796659b80341a70f358a78aa7e);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r23 = virtualinvoke $r11.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;kellinwood.security.zipsigner.ZipSigner;java.util.jar.Manifest addDigestsToManifest(java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #33686ef4e23bc3e065a780e40cf6beb311869d796659b80341a70f358a78aa7e);Operation on object of type java.security.MessageDigest object not completed. Expected call to update, java.security.MessageDigest: byte[] digest(byte[]);$r23 = virtualinvoke $r11.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;kellinwood.security.zipsigner.ZipSigner;java.util.jar.Manifest addDigestsToManifest(java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #33686ef4e23bc3e065a780e40cf6beb311869d796659b80341a70f358a78aa7e);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r11 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer44242)
