ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String decrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer12217)
NeverTypeOfError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String decrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #5435888484d3d32a64f444ded54d7f2891c1405a720575d03f7aa6997f8d97e0);First parameter should never be of type java.lang.String.;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer12217)
TypestateError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String decrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #47c6acb015d97eeaed04d1500ed876d6f114e87a857b30220347c02e294ee0c8);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r2 = virtualinvoke $r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r2)
RequiredPredicateError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String decrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer12218, $r7)
ConstraintError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String decrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #47c6acb015d97eeaed04d1500ed876d6f114e87a857b30220347c02e294ee0c8);First parameter (with value "AES") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer12222)
ConstraintError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #e1c5beae8679594ed264ecb8b586bd4fe8e1e8d9b65080af35442f71674285ea);First parameter (with value "AES") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer18004)
TypestateError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #e1c5beae8679594ed264ecb8b586bd4fe8e1e8d9b65080af35442f71674285ea);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
RequiredPredicateError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer18010, $r7)
RequiredPredicateError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer18007)
NeverTypeOfError;com.wa2c.android.cifsdocumentsprovider.domain.model.CifsConnectionKt;java.lang.String encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #74ddb0a446242eba8fa35f6040efe482703e36bae53a974324a58bdd236fa1fc);First parameter should never be of type java.lang.String.;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer18007)
TypestateError;org.bouncycastle.x509.AttributeCertificateHolder;boolean match(java.security.cert.Certificate);violating CrySL rule for java.security.MessageDigest (on Object #827f90bce3ed9957903214a70d277b3dfb1812463ebf05a1dfe79ac615f06e8);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r15 = virtualinvoke $r14.<java.security.MessageDigest: byte[] digest()>()
RequiredPredicateError;jcifs.util.Crypto;javax.crypto.Cipher getDES(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer38123)
ConstraintError;jcifs.util.Crypto;javax.crypto.Cipher getDES(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #eb5017a4da38a6546c40f59e738949a68c23c9a8b9e41ad1811211629dda50cb);First parameter (with value "DES/ECB/NoPadding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer38122)
RequiredPredicateError;jcifs.util.Crypto;javax.crypto.Cipher getDES(byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer38124, $r0)
