ErrorType;Class;Method;ViolatedRule;Object;Statement
NeverTypeOfError;com.pichillilorenzo.flutter_inappwebview.Util;com.pichillilorenzo.flutter_inappwebview.Util$PrivateKeyAndCertificates loadPrivateKeyAndCertificate(com.pichillilorenzo.flutter_inappwebview.InAppWebViewFlutterPlugin,java.lang.String,java.lang.String,java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #6df1566b0c58f27f4c107affeaa38ae3fc4975fc2908ef757eb844e46ffc1da3);Second parameter should never be of type java.lang.String.;virtualinvoke $r6.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r7)
HardCodedError;com.pichillilorenzo.flutter_inappwebview.Util;com.pichillilorenzo.flutter_inappwebview.Util$PrivateKeyAndCertificates loadPrivateKeyAndCertificate(com.pichillilorenzo.flutter_inappwebview.InAppWebViewFlutterPlugin,java.lang.String,java.lang.String,java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #6df1566b0c58f27f4c107affeaa38ae3fc4975fc2908ef757eb844e46ffc1da3);Second parameter should never be hardcoded.;virtualinvoke $r6.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r7)
ConstraintError;b.o.a.b;boolean b();violating CrySL rule for java.security.KeyStore (on Object #6b58fb9abf3aef3c8aa49e2248fb8ef1f483222e9d31fbf8c639f2270d7693ca);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r5 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer17430)
ConstraintError;g.k0.l.f;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #8153d49eb04de6c0f7327f06e4579957cebbc9cf1dc4b35c263c594f481ee21f);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer17760)
ConstraintError;g.k0.l.b;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #5076fa50200855f4addb1d2a54f89fc23910fa0f32a1d7777b839916f9dea3ce);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer17764)
ConstraintError;g.k0.l.c;javax.net.ssl.SSLContext k();violating CrySL rule for javax.net.ssl.SSLContext (on Object #fbeb7cefbca0c249817f953fa5d1b5abeb18fba60b1b6ac3ae68a1c593ffeda7);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer17767, $r2)
IncompleteOperationError;c.d.a.e.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #a8be475dc967d2433d58c386c37a2af9a0642ef22eb3d861d48b8fe065d9b9f2);Operation on object of type javax.crypto.spec.SecretKeySpec object not completed. Expected call to init;interfaceinvoke $r5.<android.content.SharedPreferences$Editor: void apply()>()
IncompleteOperationError;c.d.a.e.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #9d54717f696a5497eb2d6012672db4d9a4d8e2ab57ce0e8ec5dd4fc4545a819e);Operation on object of type javax.crypto.spec.SecretKeySpec object not completed. Expected call to init;interfaceinvoke $r5.<android.content.SharedPreferences$Editor: void apply()>()
IncompleteOperationError;c.d.a.e.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #ce2913a9022ff1f376d03d3cf12b2bc5175eb2b64e58b7daaf6cadd38fec71cd);Operation on object of type javax.crypto.spec.SecretKeySpec object not completed. Expected call to init;interfaceinvoke $r5.<android.content.SharedPreferences$Editor: void apply()>()
IncompleteOperationError;c.d.a.e.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #d8f59612d4dc3ce2e9396f3149d18e8c65ff43e90420c0c955aef9b8ebb12667);Operation on object of type javax.crypto.spec.SecretKeySpec object not completed. Expected call to init;interfaceinvoke $r5.<android.content.SharedPreferences$Editor: void apply()>()
