ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #829ac4c59d8bfeeca8f3a18f332541779991872d9f3584212712fe3052e92dab);First parameter (with value "Blowfish") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer2251)
RequiredPredicateError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer2248)
TypestateError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #829ac4c59d8bfeeca8f3a18f332541779991872d9f3584212712fe3052e92dab);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r4)
ConstraintError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #7198bdaae6594987a1fb33ff09904f8e78bc60f4a1c6bab9bfdeefb42c7c247e);Second parameter (with value "Blowfish") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer2248)
RequiredPredicateError;dk.kjeldsen.carwingsflutter.g;java.lang.String a(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer2250, $r1)
ConstraintError;c.a.f.f;javax.net.ssl.SSLContext b();violating CrySL rule for javax.net.ssl.SSLContext (on Object #fdba7f865bb92a2d78ea2c6acf906c782bda2af36fd8338e77fa664b07887da9);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r2 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer3126)
ConstraintError;c.a.f.b;javax.net.ssl.SSLContext b();violating CrySL rule for javax.net.ssl.SSLContext (on Object #cd1addc3101d2b2fe4db34a925949a9c1f325d6a41be6981f27f8eb9d1901839);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer3130)
ConstraintError;c.a.f.c;javax.net.ssl.SSLContext b();violating CrySL rule for javax.net.ssl.SSLContext (on Object #211af6a664cfcf38ee1e1c52c81be79bb9a05a6d4f1b90c11e54d01eb7b4ea3e);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer3132, $r2)
ConstraintError;d.h;d.h c(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #233092932aa041c2cf1f847fc871224613387dd46780f62c948919ad5eabab69);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
RequiredPredicateError;c.F;javax.net.ssl.SSLSocketFactory a(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2101, $r7, varReplacer2101)
RequiredPredicateError;c.F;javax.net.ssl.SSLSocketFactory a(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2101, $r7, varReplacer2101)
RequiredPredicateError;c.F;javax.net.ssl.SSLSocketFactory a(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2101, $r7, varReplacer2101)
RequiredPredicateError;c.a.e;javax.net.ssl.X509TrustManager a();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer2105)
