ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r7, varReplacer3040, varReplacer3041)
RequiredPredicateError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4)
ConstraintError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e52fd44b41bf1fe1323e2cbd42291cb2eb8bf736a98545924dc08fb9f4e7244c);Third parameter (with value 2048)Variable iterationCountmust be  at least 10000;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r7, varReplacer3040, varReplacer3041)
NeverTypeOfError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e52fd44b41bf1fe1323e2cbd42291cb2eb8bf736a98545924dc08fb9f4e7244c);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r7, varReplacer3040, varReplacer3041)
HardCodedError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e52fd44b41bf1fe1323e2cbd42291cb2eb8bf736a98545924dc08fb9f4e7244c);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r7, varReplacer3040, varReplacer3041)
IncompleteOperationError;im.status.keycard.applet.Mnemonic;byte[] toBinarySeed(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #e52fd44b41bf1fe1323e2cbd42291cb2eb8bf736a98545924dc08fb9f4e7244c);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4)
RequiredPredicateError;im.status.keycard.applet.BIP32KeyPair;im.status.keycard.applet.BIP32KeyPair fromBinarySeed(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r2.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer4139)
TypestateError;im.status.keycard.applet.BIP32KeyPair;im.status.keycard.applet.BIP32KeyPair fromBinarySeed(byte[]);violating CrySL rule for javax.crypto.Mac (on Object #103a51019060a2a947d6518f4a76ee898894d1a244cd2f9ce050fd30fc004d1e);Unexpected call to method <javax.crypto.Mac: byte[] doFinal(byte[])> on object of type javax.crypto.Mac. Expect a call to one of the following methods javax.crypto.Mac: void doFinal(byte[],int),javax.crypto.Mac: void update(byte[]),javax.crypto.Mac: void update(byte),javax.crypto.Mac: byte[] doFinal(),javax.crypto.Mac: void update(byte[],int,int);$r4 = virtualinvoke $r1.<javax.crypto.Mac: byte[] doFinal(byte[])>($r0)
ConstraintError;com.facebook.common.util.SecureHashUtil;java.lang.String makeSHA1HashBase64(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #dd20e1c1c5ad504a4fd950b0fb5a070875abf1465140c60becc7f05958edde4b);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer18247)
NeverTypeOfError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #a0b901e9aa7d0706d21f338a61a77a95c27360487b4e9ec902d7ddd3f4cf34cd);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer24534)
HardCodedError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #a0b901e9aa7d0706d21f338a61a77a95c27360487b4e9ec902d7ddd3f4cf34cd);First parameter should never be hardcoded.;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer24534)
RequiredPredicateError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4)
ConstraintError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #a0b901e9aa7d0706d21f338a61a77a95c27360487b4e9ec902d7ddd3f4cf34cd);Third parameter (with value 10)Variable iterationCountmust be  at least 10000;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer24534)
IncompleteOperationError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #a0b901e9aa7d0706d21f338a61a77a95c27360487b4e9ec902d7ddd3f4cf34cd);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r8 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r4)
RequiredPredicateError;im.status.keycard.applet.KeycardCommandSet;byte[] pairingPasswordToSecret(java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Second parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r5, $r6, $i0, varReplacer24534)
ConstraintError;im.status.keycard.applet.SecureChannelSession;void autoPair(im.status.keycard.io.CardChannel,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #68d9db144a9d3a0080387dbdd00bff30c80a7194e4057e3505f5e00d53b20227);First parameter (with value "SHA256") should be any of {SHA-256, SHA-384, SHA-512};$r8 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String,java.lang.String)>(varReplacer25840, varReplacer25841)
IncompleteOperationError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyPairGenerator (on Object #216ba4737b77e9baf5547f34f3e78272a3f438c717039894b699b86dd00bd090);Operation on object of type java.security.KeyPairGenerator object not completed. Expected call to java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair(), genKeyPair, initialize, java.security.KeyPairGeneratorSpi: java.security.KeyPair generateKeyPair();$r5 = virtualinvoke $r3.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>()
ConstraintError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyFactory (on Object #7e2c07275812fab729634e6b2dbfa7f21484b4fe7dafd18f9ab261646ef3d940);First parameter (with value "ECDSA") should be any of {RSA, DiffieHellman, DH, DSA, EC};$r14 = staticinvoke <java.security.KeyFactory: java.security.KeyFactory getInstance(java.lang.String,java.lang.String)>(varReplacer33901, varReplacer33902)
ConstraintError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyPairGenerator (on Object #216ba4737b77e9baf5547f34f3e78272a3f438c717039894b699b86dd00bd090);First parameter (with value "ECDH") should be any of {RSA, EC, DSA, DiffieHellman, DH};$r3 = staticinvoke <java.security.KeyPairGenerator: java.security.KeyPairGenerator getInstance(java.lang.String,java.lang.String)>(varReplacer33893, varReplacer33894)
TypestateError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyPairGenerator (on Object #216ba4737b77e9baf5547f34f3e78272a3f438c717039894b699b86dd00bd090);Unexpected call to method generateKeyPair on object of type java.security.KeyPairGenerator. Expect a call to one of the following methods initialize;$r5 = virtualinvoke $r3.<java.security.KeyPairGenerator: java.security.KeyPair generateKeyPair()>()
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;void generateSecret(byte[]);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r6 = virtualinvoke $r14.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r12)
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r5.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer33935)
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer33938, $r5, $r4)
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer33938, $r5, $r4)
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
TypestateError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #3cbfef728fa0a3c29eb43c94efb4d2810bee6ae9228aac8302eedea064add0d9);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1)
ConstraintError;im.status.keycard.applet.SecureChannelSession;byte[] oneShotEncrypt(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #3cbfef728fa0a3c29eb43c94efb4d2810bee6ae9228aac8302eedea064add0d9);First parameter (with value "AES/CBC/ISO7816-4Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.lang.String)>(varReplacer33936, varReplacer33937)
ConstraintError;im.status.keycard.applet.SecureChannelSession;void processOpenSecureChannelResponse(im.status.keycard.io.APDUResponse);violating CrySL rule for javax.crypto.Cipher (on Object #127b72c14ae235342e4c6cf047917fb1b4aefff2ad451760e978e26d39604d12);First parameter (with value "AES/CBC/ISO7816-4Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r8 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.lang.String)>(varReplacer44652, varReplacer44653)
ConstraintError;im.status.keycard.applet.SecureChannelSession;void processOpenSecureChannelResponse(im.status.keycard.io.APDUResponse);violating CrySL rule for java.security.MessageDigest (on Object #958cd3df47bbf770d2900adbab82b055201aee202b4cb16a2f0e7ce249eaa68c);First parameter (with value "SHA512") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer44650)
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;void processOpenSecureChannelResponse(im.status.keycard.io.APDUResponse);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r6.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r5, varReplacer44646)
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] decryptAPDU(byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer33472, $r1, $r3)
TypestateError;im.status.keycard.applet.SecureChannelSession;byte[] decryptAPDU(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #127b72c14ae235342e4c6cf047917fb1b4aefff2ad451760e978e26d39604d12);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r2 = virtualinvoke $r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r2)
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] decryptAPDU(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r3.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4)
TypestateError;im.status.keycard.applet.SecureChannelSession;byte[] encryptAPDU(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #127b72c14ae235342e4c6cf047917fb1b4aefff2ad451760e978e26d39604d12);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r2 = virtualinvoke $r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r2)
RequiredPredicateError;im.status.keycard.applet.SecureChannelSession;byte[] encryptAPDU(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r3.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4)
TypestateError;com.facebook.soloader.SoLoader$1;java.lang.String getLibHash(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #2381c5937d43dadd96128648967c39e3f2189b3364b3ed0c40ae00ce131cb646);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r7 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>()
