ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;com.google.android.gms.common.util.AndroidUtilsLight;java.security.MessageDigest zza(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #c613dcbe025721f48d3fcab4e003017d7cb704971fc9d0296bae42be0b7eb30a);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r0 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
IncompleteOperationError;com.google.android.gms.common.util.AndroidUtilsLight;java.security.MessageDigest zza(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #c613dcbe025721f48d3fcab4e003017d7cb704971fc9d0296bae42be0b7eb30a);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r0 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
IncompleteOperationError;com.google.android.exoplayer2.upstream.cache.CacheDataSource;void openNextSource(com.google.android.exoplayer2.upstream.DataSpec,boolean);violating CrySL rule for javax.crypto.Cipher (on Object #c87d379f35482ac78ef836e9cf1c04159a32c1da882d9109ead822d90467da2b);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$l1 = interfaceinvoke $r10.<com.google.android.exoplayer2.upstream.DataSource: long open(com.google.android.exoplayer2.upstream.DataSpec)>($r12)
IncompleteOperationError;com.google.android.exoplayer2.upstream.cache.CacheDataSource;void openNextSource(com.google.android.exoplayer2.upstream.DataSpec,boolean);violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;$r14 = interfaceinvoke $r10.<com.google.android.exoplayer2.upstream.DataSource: android.net.Uri getUri()>()
IncompleteOperationError;com.google.android.exoplayer2.upstream.cache.CacheDataSource;void openNextSource(com.google.android.exoplayer2.upstream.DataSpec,boolean);violating CrySL rule for javax.crypto.CipherInputStream (on Object #e899dee01d55d270e79a5441cb05f39cda46030c1ce70bb65798863cf7de103a);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;$l1 = interfaceinvoke $r10.<com.google.android.exoplayer2.upstream.DataSource: long open(com.google.android.exoplayer2.upstream.DataSpec)>($r12)
IncompleteOperationError;com.google.android.exoplayer2.upstream.cache.CacheDataSource;void openNextSource(com.google.android.exoplayer2.upstream.DataSpec,boolean);violating CrySL rule for javax.crypto.Cipher (on Object #c87d379f35482ac78ef836e9cf1c04159a32c1da882d9109ead822d90467da2b);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$r14 = interfaceinvoke $r10.<com.google.android.exoplayer2.upstream.DataSource: android.net.Uri getUri()>()
ConstraintError;com.google.android.exoplayer2.source.hls.Aes128DataSource;javax.crypto.Cipher getCipherInstance();violating CrySL rule for javax.crypto.Cipher (on Object #b777f8e4a8c1cb1ab9e6c9f64c70531cbc41816ff129188fe29ad693bd26592d);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer99287)
RequiredPredicateError;com.google.android.exoplayer2.source.hls.Aes128DataSource;long open(com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer82228)
RequiredPredicateError;com.google.android.exoplayer2.source.hls.Aes128DataSource;long open(com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r1.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer82229, $r3, $r5)
RequiredPredicateError;com.google.android.exoplayer2.source.hls.Aes128DataSource;long open(com.google.android.exoplayer2.upstream.DataSpec);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4)
