ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;nodomain.freeyourgadget.gadgetbridge.util.CryptoUtils;byte[] encryptAES(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #2bd2ab54f3f696920d9b6de6817638a1ae4aa266aef7a761b7e1746d680ace45);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r1)
ConstraintError;nodomain.freeyourgadget.gadgetbridge.util.CryptoUtils;byte[] encryptAES(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #2bd2ab54f3f696920d9b6de6817638a1ae4aa266aef7a761b7e1746d680ace45);First parameter (with value "AES/ECB/NoPadding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer17217)
RequiredPredicateError;nodomain.freeyourgadget.gadgetbridge.util.CryptoUtils;byte[] encryptAES(byte[],byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer17219)
RequiredPredicateError;nodomain.freeyourgadget.gadgetbridge.util.CryptoUtils;byte[] encryptAES(byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer17218, $r0)
NeverTypeOfError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.KeyManager[] createKeyManagers(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #30edab73955c2263230cbd001405e70b03537d5a4b7833147407b6019b107734);Second parameter should never be of type java.lang.String.;virtualinvoke $r8.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r3, $r9)
HardCodedError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.KeyManager[] createKeyManagers(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #30edab73955c2263230cbd001405e70b03537d5a4b7833147407b6019b107734);Second parameter should never be hardcoded.;virtualinvoke $r8.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r3, $r9)
RequiredPredicateError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.KeyManager[] createKeyManagers(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.KeyManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r8.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r3, $r9)
RequiredPredicateError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.SSLContext createContext(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r7, $r8, $r9)
RequiredPredicateError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.SSLContext createContext(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r7, $r8, $r9)
RequiredPredicateError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.TrustManager[] createTrustManagers(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r8.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r3)
NeverTypeOfError;ch.qos.logback.core.net.ssl.KeyStoreFactoryBean;java.security.KeyStore createKeyStore();violating CrySL rule for java.security.KeyStore (on Object #48f5d63c81c4295734fc5a5dcf629add0d61119730017882d650201b2a352ad4);Second parameter should never be of type java.lang.String.;virtualinvoke $r8.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r7, $r9)
HardCodedError;ch.qos.logback.core.net.ssl.KeyStoreFactoryBean;java.security.KeyStore createKeyStore();violating CrySL rule for java.security.KeyStore (on Object #48f5d63c81c4295734fc5a5dcf629add0d61119730017882d650201b2a352ad4);Second parameter should never be hardcoded.;virtualinvoke $r8.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r7, $r9)
