ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;eb.a;eb.a$a a(byte[]);violating CrySL rule for java.security.KeyFactory (on Object #10e71e250748468cb8ca477db3a67773c5e2e840d70c78fb1f22bd0f9d5aa065);First parameter (with value "ECDSA") should be any of {RSA, DiffieHellman, DH, DSA, EC};$r2 = staticinvoke <java.security.KeyFactory: java.security.KeyFactory getInstance(java.lang.String)>(varReplacer24636)
RequiredPredicateError;eb.a;eb.a$a a(byte[]);violating CrySL rule for java.security.spec.X509EncodedKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<java.security.spec.X509EncodedKeySpec: void <init>(byte[])>($r1)
RequiredPredicateError;eb.a;eb.a$a a(byte[]);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r3 = virtualinvoke $r2.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r0)
IncompleteOperationError;jb.j;java.lang.String[] c(android.content.Context,eb.e,java.lang.String,java.security.KeyPair,java.security.SecureRandom,java.util.Date,java.util.Date);violating CrySL rule for java.security.Signature (on Object #e797936116740ca56894f3371bb335a71d4b643cfbdf9f9d98e95b3f8ea33d31);Operation on object of type java.security.Signature object not completed. Expected call to sign, update;$r27 = virtualinvoke $r12.<l8.c: l8.b b(k9.a)>($r26)
ConstraintError;z8.a;java.security.AlgorithmParameters b(java.lang.String);violating CrySL rule for java.security.AlgorithmParameters (on Object #7eecdcbc63e03e239acd83603e971ceebd8530c341243d4bff6c735c377d46ef);First parameter (with value "PSS") should be any of {AES, DiffieHellman, DH, OAEP, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r1 = staticinvoke <java.security.AlgorithmParameters: java.security.AlgorithmParameters getInstance(java.lang.String)>($r2)
IncompleteOperationError;l9.b;boolean d(m7.d0);violating CrySL rule for java.security.MessageDigest (on Object #a6cc438dab3b82736ea543d2bb9c3ec40d524b56d13a92511203c3cd90fb19c0);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$i1 = virtualinvoke $r8.<java.security.MessageDigest: int getDigestLength()>()
RequiredPredicateError;l9.b;java.security.Signature b(j8.a);violating CrySL rule for java.security.AlgorithmParameters ;First parameter was not properly generated as prepared Alg;virtualinvoke $r11.<java.security.AlgorithmParameters: void init(byte[])>($r12)
IncompleteOperationError;h7.q1;void <init>(java.util.List,java.security.PrivateKey,h7.e0,h7.s1);violating CrySL rule for java.security.MessageDigest (on Object #c12e2fa13055634f855ddb1d11aadd902b0d6667fd614fb465e85be6faa51ca9);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r7.<e7.q: void <init>(int)>(varReplacer31955)
ConstraintError;t6.b;byte[] l(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #3f0d31940ce9a1285ae632466b6f5d0025dc370189459ebb8b432d4870ad8520);First parameter (with value "ChaCha20") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer34940)
RequiredPredicateError;t6.b;byte[] l(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r14.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer34941)
RequiredPredicateError;t6.b;byte[] l(byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer34942, $r8, $r7)
ConstraintError;t6.b;byte[] l(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #d593813a57830d70004ae3279537efd5ff29d3cfc4172292faa54578f4f01760);Second parameter (with value "ChaCha20") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r14.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer34941)
TypestateError;t6.b;byte[] l(byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #3f0d31940ce9a1285ae632466b6f5d0025dc370189459ebb8b432d4870ad8520);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r2 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r2)
ConstraintError;t6.b;javax.crypto.spec.SecretKeySpec t();violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #910df918602405189e2f8477f15bea011b36fd11bbd47c6c278d2b62025ae6e);Second parameter (with value "ChaCha20-Poly1305") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r2.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer35007)
RequiredPredicateError;t6.b;javax.crypto.spec.SecretKeySpec t();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r2.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, varReplacer35007)
ConstraintError;t6.b;javax.crypto.Cipher r();violating CrySL rule for javax.crypto.Cipher (on Object #efc259c8356f4f0f6d7b2f33ccc3f5e834326263087ef24b9f2020c1d7da13f3);First parameter (with value "ChaCha20-Poly1305") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer35009)
ConstraintError;t6.b;javax.crypto.Cipher m();violating CrySL rule for javax.crypto.Cipher (on Object #42d8c82d12421b63afcd37d4b29f0fca33145fa23ad08876a50f69c3fdde1e1d);First parameter (with value "ChaCha20") should be any of {AES, RSA, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer37893)
