ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;y3.x;java.lang.String m(java.io.File,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #55139b3ef15a23ac5e002847ab48e36074a80f31194664991cedd54f4593bae9);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r3)
ConstraintError;y3.x;java.lang.String m(java.io.File,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #55139b3ef15a23ac5e002847ab48e36074a80f31194664991cedd54f4593bae9);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r3)
TypestateError;y3.x;java.lang.String m(java.io.File,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #55139b3ef15a23ac5e002847ab48e36074a80f31194664991cedd54f4593bae9);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r5 = virtualinvoke $r4.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;z0.c;java.lang.String toString();violating CrySL rule for java.security.KeyStore (on Object #f6692934776efaf3d08061a3d3e9d67c692b5e8de74b13f3d7734ec831eabbe0);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r7 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer4645)
ConstraintError;androidx.biometric.j;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher (on Object #4f286e718892243cd87eaeca4d519fb05741128e39c9f55ae960103b49bea327);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer5566)
RequiredPredicateError;androidx.biometric.j;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer5568, $r5)
ConstraintError;androidx.biometric.j;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for java.security.KeyStore (on Object #89f713b7c22a4476c4833c658634add0aa185a2984ab6bf12a7e3dfca2487365);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5575)
ConstraintError;z0.c$a;z0.c a();violating CrySL rule for java.security.KeyStore (on Object #1d2bb4e70cbde99c0eb204b49b31ddb7a56a0739d20825e58b3d5f68856788f5);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r5 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer7911)
ConstraintError;s3.c;boolean d(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #ccc2cb737cbb727023400fe69a0850acdaf3e66eaab1459fde65129d738c2233);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer15232)
IncompleteOperationError;r.f;boolean a(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #fb76eed9184c81475facc1dd04343fa8b100697991bb8bf9d7c31ec354dd7a5a);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = virtualinvoke r0.<r.f: boolean c(java.lang.Object)>($r1)
IncompleteOperationError;o1.s;o1.u a(com.bumptech.glide.load.data.a,l1.f,int,int,o1.j$a);violating CrySL rule for java.security.MessageDigest (on Object #fb76eed9184c81475facc1dd04343fa8b100697991bb8bf9d7c31ec354dd7a5a);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r4.<g0.c: boolean a(java.lang.Object)>($r6)
IncompleteOperationError;o1.s;o1.u a(com.bumptech.glide.load.data.a,l1.f,int,int,o1.j$a);violating CrySL rule for java.security.MessageDigest (on Object #fb76eed9184c81475facc1dd04343fa8b100697991bb8bf9d7c31ec354dd7a5a);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r13.<java.util.ArrayList: void <init>(java.util.Collection)>($r6)
IncompleteOperationError;l4.d;void b(u4.a,u4.a,r4.c);violating CrySL rule for javax.crypto.Cipher (on Object #ebfaa9ebee722c157bea72ad5457f43cad88bc2e553d68d515c4a247336a11bb);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init, getInstance;$r20 = null
IncompleteOperationError;l4.d;void b(u4.a,u4.a,r4.c);violating CrySL rule for javax.crypto.Cipher (on Object #ebfaa9ebee722c157bea72ad5457f43cad88bc2e553d68d515c4a247336a11bb);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init, getInstance;$r20 = $r19
IncompleteOperationError;l4.d;void b(u4.a,u4.a,r4.c);violating CrySL rule for javax.crypto.Cipher (on Object #613e9b4dc0a1d3df2f5f415220c572365aecf014541743d31ffb02c68761c3ab);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init, getInstance;$r20 = null
