ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;b.b.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #aebe540f569fba4ddf5d20e3f909eb1dcae1a4d8fcaa3a6f0fb6b98b9cdec17c);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r7 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer3315)
RequiredPredicateError;b.b.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r11.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, varReplacer3325)
RequiredPredicateError;b.b.a.b.b;byte[] b(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r3.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
RequiredPredicateError;b.b.a.b.b;byte[] a(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
ConstraintError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher (on Object #d03ac359663e7509660b8c40a965f5c72e5f5c351c8e0fde49d627864d4adf0a);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer3660)
ConstraintError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for java.security.KeyStore (on Object #5c58744625186b9b201054233feeffae0baf473949189ce5860541acb96ea372);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer3666)
RequiredPredicateError;androidx.biometric.h;androidx.biometric.BiometricPrompt$c a();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer3661, $r5)
ConstraintError;b.b.a.b.a;void b(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #612f40851718c9c3ff08f260312e97cddaf3886ef90e4d9fae187099d38ef95b);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5739)
ConstraintError;b.b.a.b.a;java.security.PrivateKey a();violating CrySL rule for java.security.KeyStore (on Object #5e7badf271471736c97a267b1aadd8c71d41e713687c48d1c301c83958c7570a);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5742)
TypestateError;b.b.a.b.a;byte[] a(java.security.Key);violating CrySL rule for javax.crypto.Cipher (on Object #e93d1a1e7ec31c10ca518fb43634b457b5c9e7da859f7a594c420be2e1189215);Unexpected call to method wrap on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] wrap(java.security.Key)>($r1)
RequiredPredicateError;b.b.a.b.a;byte[] a(java.security.Key);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer4173, $r2)
ConstraintError;b.b.a.b.a;java.security.PublicKey b();violating CrySL rule for java.security.KeyStore (on Object #3ab0fc511071e9c2f35de4699e5f3bcef7162bc78bdfdb195d97f3a3d3ca9b84);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer5749)
RequiredPredicateError;b.b.a.b.a;void a(android.content.Context);violating CrySL rule for java.security.KeyPairGenerator ;First parameter was not properly generated as prepared R S A;virtualinvoke $r6.<java.security.KeyPairGenerator: void initialize(java.security.spec.AlgorithmParameterSpec)>($r7)
