Project,Apk,crySL-Rules,Objects-Analyzed,Violations,Source-Code
Baby Phone,com.serwylo.babyphone_5.apk,47,0,0,https://github.com/babydots/babyphone
Silence,me.lucky.silence_30.apk,47,0,0,https://github.com/x13a/Silence
SMS to URL Forwarder,tech.bogomolov.incomingsmsgateway_7.apk,47,0,0,https://github.com/bogkonstantin/android_income_sms_gateway_webhook
SMS Import-Export,com.github.tmo1.sms_ie_5.apk,47,0,0,https://github.com/tmo1/sms-ie
Coma Phone,me.yardenac.comaphone_27.apk,47,0,0,https://github.com/yardenac/comaphone
Schlikk Calls,de.schlikk.calls_100000.apk,47,0,0,https://gitlab.com/schlikk/calls
Call Counter,com.github.webierta.call_counter_5.apk,47,0,0,https://github.com/Webierta/call-counter
FindMyDevice,de.nulide.findmydevice_14.apk,47,88,102,https://gitlab.com/Nulide/findmydevice
SMS Forward,com.pierreduchemin.smsforward_15.apk,47,0,0,https://gitlab.com/pierreduchemin/smsforward
Syphon,org.tether.tether_2007.apk,47,15,10,https://github.com/syphon-org/syphon
Raise To Answer,me.hackerchick.raisetoanswer_31.apk,47,0,0,https://github.com/TheLastProject/RaiseToAnswer
Yet Another Call Blocker,dummydomain.yetanothercallblocker_5170.apk,47,33,23,https://gitlab.com/xynngh/YetAnotherCallBlocker/tree/HEAD
Contact Book,de.hskl.contacts_1.apk,47,0,0,https://github.com/fraygeyst/Contactbook
Jitsi Meet,org.jitsi.meet_216000.apk,47,19,23,https://github.com/jitsi/jitsi-meet
Flash Alert - Call and Message,fr.jnda.android.flashalert_10271104.apk,47,0,0,https://gitlab.com/jnda/FlashAlert
Simple Contacts Pro,,47,9,15,https://github.com/SimpleMobileTools/Simple-Contacts
OpenContacts,opencontacts.open.com.opencontacts_23.apk,47,28,31,https://gitlab.com/sultanahamer/OpenContacts/tree/HEAD
Emerald Dialer,ru.henridellal.dialer_14.apk,47,0,0,https://github.com/HenriDellal/emerald-dialer
NoPhoneSpam,at.bitfire.nophonespam_15.apk,47,0,0,https://gitlab.com/bitfireAT/NoPhoneSpam
Jami,cx.ring_324.apk,47,6,3,https://git.jami.net/savoirfairelinux/jami-client-android
Lumicall,org.lumicall.android_192.apk,47,148,221,https://github.com/opentelecoms-org/lumicall
