ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] decrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer1221, $r2, $r1)
TypestateError;com.jens.automation2.AESCrypt;byte[] decrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #ec81f30dcf014efb0f38f83da17c856f8a7e7aad6d202cdb3d865c74da0e37bd);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r0)
ConstraintError;com.jens.automation2.AESCrypt;byte[] decrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #ec81f30dcf014efb0f38f83da17c856f8a7e7aad6d202cdb3d865c74da0e37bd);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer1222)
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] decrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
TypestateError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #a0588bce9680df4d7e4385f155a9a1ac280c761625d944f1564a28bcd19fb41d);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r0)
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r3)
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer2430, $r2, $r1)
RequiredPredicateError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer2430, $r2, $r1)
ConstraintError;com.jens.automation2.AESCrypt;byte[] encrypt(javax.crypto.spec.SecretKeySpec,byte[],byte[]);violating CrySL rule for javax.crypto.Cipher (on Object #a0588bce9680df4d7e4385f155a9a1ac280c761625d944f1564a28bcd19fb41d);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r4 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer2429)
RequiredPredicateError;com.jens.automation2.AESCrypt;javax.crypto.spec.SecretKeySpec generateKey(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r2, varReplacer1227)
RequiredPredicateError;com.jens.automation2.Actions;org.apache.http.client.HttpClient getInsecureSslClient(org.apache.http.client.HttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer13135, varReplacer13135, varReplacer13135)
RequiredPredicateError;com.jens.automation2.Actions;org.apache.http.client.HttpClient getInsecureSslClient(org.apache.http.client.HttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer13135, varReplacer13135, varReplacer13135)
RequiredPredicateError;com.jens.automation2.Actions;org.apache.http.client.HttpClient getInsecureSslClient(org.apache.http.client.HttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer13135, varReplacer13135, varReplacer13135)
