ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;com.simplemobiletools.commons.extensions.InputStreamKt;java.lang.String getDigest(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #7fd2e2ec62b0a04476b96d45b0f039babb1b31885d72e728e9b245fed73f9d28);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r4 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;com.simplemobiletools.commons.extensions.InputStreamKt;java.lang.String getDigest(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #7fd2e2ec62b0a04476b96d45b0f039babb1b31885d72e728e9b245fed73f9d28);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;okio.Buffer;java.lang.String toString();violating CrySL rule for java.security.MessageDigest (on Object #76b809a8e57b3c1314a03c48d93ab88ba196eefb056dd072993bfbc85620ead4);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r7 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer17843)
ConstraintError;okio.ByteString;okio.ByteString digest(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #b336d574501b28a5bd90db22472c23a68acb0c1b99c4f14746fdc2a23c69a24e);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #f50d149bb5e977653f847a2b4e7bc6455c86deb192e58229a165612ad0ec340c);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer43827)
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer43825, $r5)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #202c33032e7259e38982293b579dcaf5d6ce72b0b620d603badf45ae9dcdd67a);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer43824)
ConstraintError;com.simplemobiletools.commons.views.PinTab;java.lang.String getHashedPin();violating CrySL rule for java.security.MessageDigest (on Object #7e6861a7dafd6cc8b5445ef74f38ca91b5d5e1ec58e12495ba32508c685c5755);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer45530)
ConstraintError;com.andrognito.patternlockview.utils.PatternLockUtils;java.lang.String patternToSha1(com.andrognito.patternlockview.PatternLockView,java.util.List);violating CrySL rule for java.security.MessageDigest (on Object #7a12eb18cfd9c62b613022124b054a05ba75f662e84b7884be871fdb4a8edd5b);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer45633)
ConstraintError;com.squareup.okhttp.internal.Util;java.lang.String md5Hex(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #44b82cc4cde3b70b0a3fa95412fcf933438c41ae1d1c770d0dc6a8ff67474b7f);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer48214)
ConstraintError;com.squareup.okhttp.internal.Util;okio.ByteString sha1(okio.ByteString);violating CrySL rule for java.security.MessageDigest (on Object #8f5b0b1469173d60fc21baaece0f84ca716dad73a62401582517fd46af7fef66);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer51553)
