Project,Apk,crySL-Rules,Objects-Analyzed,Violations,Source-Code
BluePass,org.booncode.bluepass4_5.apk,47,0,0,https://github.com/boon-code/bluepass
TTime,com.example.TTime_3.apk,47,0,0,https://github.com/ClemPera/TTime/
Droid-ify,com.looker.droidify_43.apk,47,25,20,https://github.com/Iamlooker/Droid-ify
Search to browser,pro.rudloff.search_to_browser_2.apk,47,0,0,https://github.com/Rudloff/search-to-browser
Activity Manager,com.activitymanager_414.apk,47,1,6,https://github.com/sdex/ActivityManager
Easy-phone,com.hos_dvk.easyphone.full_11.apk,47,0,0,https://github.com/Paullux/HOSDVK-EasyPhone
link eye,kuesji.link_eye_4.apk,47,0,0,https://github.com/kuesji/link_eye
Sithakuru,kasun.sinhala.keyboard_6.apk,47,0,0,https://codeberg.org/sinhala/sithakuru.git
VolumeLockr,com.klee.volumelockr_5.apk,47,0,0,https://github.com/jonathanklee/VolumeLockr
Scrunch,com.denytheflowerpot.scrunch_2.apk-summary,47,0,0,https://github.com/DenyTheFlowerpot/Scrunch
ADBio,io.github.yoshi1123.adbio_2.apk,47,0,0,https://github.com/yoshi1123/adbio
hwloc lstopo,com.hwloc.lstopo_265.apk,47,2,1,https://github.com/open-mpi/hwloc
Ad-silence,bluepie.ad_silence_11.apk,47,0,0,https://github.com/aghontpi/ad-silence
Gcam Services Provider,de.lukaspieper.gcam.services_6.apk,47,0,0,https://github.com/lukaspieper/Gcam-Services-Provider
DEfO ECH Apps,ie.defo.ech_apps_1014003.apk,47,135,103,https://github.com/defo-project/defo-ech-apps
MergedWiFiNLP,info.spotcomms.wlanbackend_23.apk,47,0,0,https://gitlab.com/divested-mobile/wlanbackend
Save on Device,name.lmj001.savetodevice_3.apk,47,0,0,https://github.com/lmj0011/save-on-device
AutoDND,moe.dic1911.autodnd_3.apk,47,0,0,https://github.com/dic1911/android_AutoDND
Extirpater,us.spotco.extirpater_22.apk,47,2,0,https://gitlab.com/divested-mobile/extirpater
F-Droid Nearby,org.fdroid.nearby_2.apk,47,125,97,https://gitlab.com/fdroid/fdroid-nearby
Prepaid Balance,com.github.muellerma.prepaidbalance_10.apk,47,0,0,https://github.com/mueller-ma/PrepaidBalance
USB Gadget Tool,net.tjado.usbgadget_4.apk,47,0,0,https://github.com/tejado/android-usb-gadget
Léon – The URL Cleaner (Beta),com.svenjacobs.app.leon_229.apk,47,0,0,https://github.com/svenjacobs/leon
Smart AutoClicker,com.buzbuz.smartautoclicker_11.apk,47,0,0,https://github.com/Nain57/Smart-AutoClicker
Camera Folder,de.k3b.android.camerafolder_1.apk,47,0,0,https://github.com/k3b/CameraFolder
Scoop,taco.scoop_32.apk,47,0,0,https://github.com/TacoTheDank/Scoop
BusyBox Installer,com.smartpack.busyboxinstaller_17.apk,47,0,0,https://github.com/SmartPack/BusyBox-Installer
APK Explorer & Editor,com.apk.editor_20.apk,47,21,21,https://github.com/apk-editor/APK-Explorer-Editor
IRMA,org.irmacard.cardemu_136.apk,47,0,0,https://github.com/privacybydesign/irmamobile
Permission Manager X,com.mirfatif.permissionmanagerx_111.apk,47,55,57,https://github.com/mirfatif/PermissionManagerX
Automation,com.jens.automation2_115.apk-summary,47,13,19,https://git.server47.de/jens/Automation
Discreet Launcher,com.vincent_falzon.discreetlauncher_44.apk,47,0,0,https://github.com/falzonv/discreet-launcher
RCX - Rclone for Android, , , , ,https://github.com/x0b/rcx
Package Manager,com.smartpack.packagemanager_59.apk,47,10,12,https://github.com/SmartPack/PackageManager
Script Manager,com.smartpack.scriptmanager_41.apk,47,0,0,https://github.com/SmartPack/ScriptManager
Material Flashlight,co.garmax.materialflashlight_29.apk,47,0,0,https://github.com/garmax1/material-flashlight
SetEdit - Settings Database Editor,io.github.muntashirakon.setedit_6.apk,47,0,0,https://github.com/MuntashirAkon/SetEdit
Alt Launcher,rocks.tbog.tblauncher_30.apk,47,0,0,https://github.com/tabletradio/altlauncher
FlorisBoard,dev.patrickgold.florisboard_56.apk,47,0,0,https://github.com/florisboard/florisboard
Battery Tool Hibernate Unused Apps,io.github.domi04151309.batterytool_101.apk,47,0,0,https://github.com/Domi04151309/BatteryTool
Kernel Profiler,com.smartpack.kernelprofiler_13.apk,47,0,0,https://github.com/SmartPack/KernelProfiler
SmartPack-Kernel Manager,com.smartpack.kernelmanager_171.apk,47,6,7,https://fossdroid.com/a/smartpackkernel-manager.html
De-Bloater,com.sunilpaulmathew.debloater_23.apk,47,0,0,https://github.com/sunilpaulmathew/De-Bloater
Insular, , , , ,https://gitlab.com/secure-system/Insular
Coffee,com.github.muellerma.coffee_14.apk,47,0,0,https://github.com/mueller-ma/Coffee
UnApkm - Convert APKM to APKS,io.github.muntashirakon.unapkm_4.apk,47,0,0,https://github.com/MuntashirAkon/unapkm-android
8Vim Keyboard,inc.flide.vi8_8.apk,47,0,0,https://github.com/flide/8VIM
RHVoice - a free and open source speech synthesize,com.github.olga_yakovleva.rhvoice.android_10600.apk,47,4,6,https://github.com/RHVoice/RHVoice
Auto Auto-Rotate,com.jarsilio.android.autoautorotate_27.apk-summary,47,1,0,https://gitlab.com/juanitobananas/auto-auto-rotate
Museum of a broken API,godau.fynn.usagedirect.system_9.apk,47,0,0,https://codeberg.org/fynngodau/usageDirect
HTTP Request Shortcuts,ch.rmy.android.http_shortcuts_1102120001.apk,47,54,37,https://github.com/Waboodoo/HTTP-Shortcuts
LukeLauncher,luke.launcher_20003.apk,47,11,14,https://gitlab.com/LukeSoftware/lukelauncher
TinyBit Launcher, , , , ,TinyBit Launcher
TimeLimit.io - free usage duration limitation,io.timelimit.android.aosp.direct_177.apk-summary.csv,47,55,28,https://codeberg.org/timelimit/timelimit-android
Unlauncher,com.jens.automation2_115.apk-summary,47,0,0,https://github.com/jkuester/unlauncher
App Manager - Android package manager, , , , ,https://github.com/MuntashirAkon/AppManager
OAndBackupX,com.machiav3lli.backup_7000.apk,47,63,77,https://github.com/machiav3lli/oandbackupx
usageDirect,godau.fynn.usagedirect.system_9.apk,47,0,0,https://codeberg.org/fynngodau/usageDirect
Simple SMS Messenger - Manage messages easily,com.simplemobiletools.smsmessenger_41.apk,47,19,11,https://github.com/SimpleMobileTools/Simple-SMS-Messenger
Simple Dialer - Manage your phone calls easily,com.simplemobiletools.dialer_32.apk,47,9,5,https://github.com/SimpleMobileTools/Simple-Dialer
T4 Launcher,com.github.rsteube.t4_4.apk,47,0,0,https://github.com/rsteube/t4-launcher
Simple Voice Recorder - Record any audio easily,com.simplemobiletools.voicerecorder_17.apk,47,11,7,https://github.com/SimpleMobileTools/Simple-Voice-Recorder
Advanced Charging Controller (ACCA),mattecarra.accapp_39.apk,47,0,0,https://github.com/MatteCarra/AccA
Material Files, , , , ,https://github.com/zhanghai/MaterialFiles
