ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;javax.crypto.SecretKey getKey(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #5ce0a70dd38b4b95c968a12b63f604071d7f58becc406e9a8596f6272f86ce42);First parameter (with value "AES/CBC/NoPadding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r9 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer453)
RequiredPredicateError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;javax.crypto.SecretKey getKey(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r9.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer460, r7)
ConstraintError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;java.security.KeyStore getKeyStore();violating CrySL rule for java.security.KeyStore (on Object #23f8b95f347487522a12c2b6e8aa5cbccdd011c5d36fedbc5c3ff3661586ee38);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer464)
IncompleteOperationError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;javax.crypto.SecretKey getProbeKey(de.efdis.tangenerator.persistence.keystore.BankingKeyRepository$UserAuthenticationValidityDuration);violating CrySL rule for java.security.KeyStore (on Object #23f8b95f347487522a12c2b6e8aa5cbccdd011c5d36fedbc5c3ff3661586ee38);Operation on object of type java.security.KeyStore object not completed. Expected call to store;virtualinvoke $r7.<java.security.KeyStore: void setEntry(java.lang.String,java.security.KeyStore$Entry,java.security.KeyStore$ProtectionParameter)>(r4, $r9, $r10)
RequiredPredicateError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;javax.crypto.SecretKey getProbeKey(de.efdis.tangenerator.persistence.keystore.BankingKeyRepository$UserAuthenticationValidityDuration);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, varReplacer1164)
RequiredPredicateError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;java.lang.String insertNewBankingKey(de.efdis.tangenerator.persistence.keystore.BankingKeyComponents);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke r10.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r5, varReplacer7907)
IncompleteOperationError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;java.lang.String insertNewBankingKey(de.efdis.tangenerator.persistence.keystore.BankingKeyComponents);violating CrySL rule for java.security.KeyStore (on Object #23f8b95f347487522a12c2b6e8aa5cbccdd011c5d36fedbc5c3ff3661586ee38);Operation on object of type java.security.KeyStore object not completed. Expected call to store;virtualinvoke $r1.<java.security.KeyStore: void setEntry(java.lang.String,java.security.KeyStore$Entry,java.security.KeyStore$ProtectionParameter)>($r9, $r11, $r12)
ConstraintError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;boolean isSupportedByDevice(de.efdis.tangenerator.persistence.keystore.BankingKeyRepository$UserAuthenticationValidityDuration);violating CrySL rule for javax.crypto.Cipher (on Object #695f1e71bbdf8c67ad41a11e179c9e20d4fb9b7031bd94b1043c66bf8d29af5d);First parameter (with value "AES/CBC/NoPadding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r2 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer1163)
RequiredPredicateError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;boolean isSupportedByDevice(de.efdis.tangenerator.persistence.keystore.BankingKeyRepository$UserAuthenticationValidityDuration);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r2.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer1157, $r1, r3)
RequiredPredicateError;de.efdis.tangenerator.persistence.keystore.BankingKeyRepository;boolean isSupportedByDevice(de.efdis.tangenerator.persistence.keystore.BankingKeyRepository$UserAuthenticationValidityDuration);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke r3.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4)
