ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;c.a.a.f.b.b;javax.crypto.SecretKey c(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #1dbd5c0071c0a78db2e50de82c10d78bd248639bc908e1822d7e098b0ae174bc);First parameter (with value "AES/CBC/NoPadding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r9 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer358)
RequiredPredicateError;c.a.a.f.b.b;javax.crypto.SecretKey c(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r9.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer354, $r8)
ConstraintError;c.a.a.f.b.b;java.security.KeyStore d();violating CrySL rule for java.security.KeyStore (on Object #5779c7aa7561f76bb2b2e20851a0ae08e0a9dc4396c9ebe66fe20035773d149);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer368)
RequiredPredicateError;c.a.a.f.b.b;java.lang.String e(c.a.a.f.b.a);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r9.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer4307)
IncompleteOperationError;c.a.a.f.b.b;java.lang.String e(c.a.a.f.b.a);violating CrySL rule for java.security.KeyStore (on Object #5779c7aa7561f76bb2b2e20851a0ae08e0a9dc4396c9ebe66fe20035773d149);Operation on object of type java.security.KeyStore object not completed. Expected call to store;virtualinvoke $r1.<java.security.KeyStore: void setEntry(java.lang.String,java.security.KeyStore$Entry,java.security.KeyStore$ProtectionParameter)>($r8, $r10, $r11)
RequiredPredicateError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared I V;virtualinvoke $r11.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer1329, $r5, $r12)
RequiredPredicateError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r12.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r7)
IncompleteOperationError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for java.security.KeyStore (on Object #5779c7aa7561f76bb2b2e20851a0ae08e0a9dc4396c9ebe66fe20035773d149);Operation on object of type java.security.KeyStore object not completed. Expected call to store;virtualinvoke $r6.<java.security.KeyStore: void setEntry(java.lang.String,java.security.KeyStore$Entry,java.security.KeyStore$ProtectionParameter)>($r2, $r8, $r9)
ConstraintError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.Cipher (on Object #ea0a52aec8ded497d4c797436010b95304ea9bdcdace636c94632ec90670e795);First parameter (with value "AES/CBC/NoPadding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r11 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer1334)
RequiredPredicateError;c.a.a.f.b.b;boolean f(int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r0.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer1333)
