ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;com.google.android.gms.common.util.AndroidUtilsLight;java.security.MessageDigest zzj(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ae3618d0d1f264c3cd26a80f719d0eedb09a990816926713b695a9a95da4ac0d);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r0 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
ConstraintError;com.google.android.gms.common.util.AndroidUtilsLight;java.security.MessageDigest zzj(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ae3618d0d1f264c3cd26a80f719d0eedb09a990816926713b695a9a95da4ac0d);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r0 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
ConstraintError;com.facebook.common.util.SecureHashUtil;java.lang.String makeSHA1HashBase64(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #a97985099ed379585f98524442908c2161924dff4a8faf2de2efa3bed9d059db);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer10625)
TypestateError;com.facebook.soloader.SoLoader$1;java.lang.String getLibHash(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #f1073b45090b37b199a4f7748660bce770bcd78e1e8211ade80f38b4d961caab);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r7 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;com.facebook.soloader.SoLoader$1;java.lang.String getLibHash(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #f1073b45090b37b199a4f7748660bce770bcd78e1e8211ade80f38b4d961caab);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer11881)
ConstraintError;okhttp3.internal.platform.Platform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #2bd81d8218254a1184fc8a71ca28718aeaf3065f37a3bed6554867d7622df24);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer16344)
ConstraintError;okhttp3.internal.platform.ConscryptPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #e9adeb43e036a91e63b4d1ef1e2b7bf4cada9ca9236a31a9feb978a7f95f9eb2);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer16348, $r2)
ConstraintError;okhttp3.internal.platform.AndroidPlatform;javax.net.ssl.SSLContext getSSLContext();violating CrySL rule for javax.net.ssl.SSLContext (on Object #9f870d168db6630c06cb36edf94c1f88228d1da54bcdfb4ce62e3057f29913ac);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer16351)
RequiredPredicateError;com.facebook.react.modules.network.TLSSocketFactory;void <init>();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer18039, varReplacer18039, varReplacer18039)
ConstraintError;com.facebook.react.modules.network.TLSSocketFactory;void <init>();violating CrySL rule for javax.net.ssl.SSLContext (on Object #a247fb79047728d192e8bba9c56353f7d2e964ec73782df00ed8cc858937f570);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer18038)
