apk_name,external_libs_count,native_libs_count
com.coboltforge.dontmind.multivnc_87.scout.merged.json,0,2
lu.fisch.canze_94.scout.merged.json,0,0
de.seemoo.at_tracking_detection_19.scout.merged.json,1,4
net.dcnnt_22.scout.merged.json,1,3
com.pato05.uploadgram_6.scout.merged.json,0,0
com.fr3ts0n.ecu.gui.androbd_20502.scout.merged.json,1,2
com.example.flutter_http_server_30.scout.merged.json,3,4
threads.thor_100.scout.merged.json,1,79
de.j4velin.wifiAutoOff_1910.scout.merged.json,0,0
com.polar.nextcloudservices_11.scout.merged.json,18,1
de.ccc.events.badge.card10_9.scout.merged.json,10,7
com.dx.anonymousmessenger_46.scout.merged.json,3,5
cloud.valetudo.companion_7.scout.merged.json,2,4
com.fr3ts0n.androbd.plugin.gpsprovider_10101.scout.merged.json,0,0
net.sylvek.itracing2_82.scout.merged.json,0,3
net.mullvad.mullvadvpn_21010099.scout.merged.json,2,2
io.homeassistant.companion.android.minimal_1818.scout.merged.json,43,3
pro.oblivioncoding.fluffy_board_33112291.scout.merged.json,1,2
de.tu_chemnitz.wlan_17.scout.merged.json,0,1
com.dosse.airpods_18.scout.merged.json,0,1
threads.server_272.scout.merged.json,1,69
org.pacien.tincapp_33.scout.merged.json,2,62
com.matejdro.pebbledialer_41.scout.merged.json,0,6
com.app.missednotificationsreminder_2010605222.scout.merged.json,11,2
com.tailscale.ipn_82.scout.merged.json,1,0
com.wa2c.android.cifsdocumentsprovider_8.scout.merged.json,27,38
org.unifiedpush.example_14.scout.merged.json,2,2
dk.kjeldsen.carwingsflutter_193.scout.merged.json,0,7
net.christianbeier.droidvnc_ng_9.scout.merged.json,1,0
pw.thedrhax.mosmetro_77.scout.merged.json,0,2
de.selfnet.wifisetup_6.scout.merged.json,0,0
org.strongswan.android_75.scout.merged.json,3,0
com.hearham.repeaterstart_7.scout.merged.json,10,2
io.treehouses.remote_6098.scout.merged.json,15,5
aq.metallists.loudbang_45.scout.merged.json,1,1
io.github.powerinside.syncplay_23.scout.merged.json,0,7
it.danieleverducci.nextcloudmaps_5.scout.merged.json,17,2
net.ibbaa.keepitup_2.scout.merged.json,1,0
se.manyver_115.scout.merged.json,23,3
tech.platypush.platypush_1000100.scout.merged.json,1,3
ooo.akito.webmon_12.scout.merged.json,16,25
org.alberto97.ouilookup_3.scout.merged.json,0,2
io.rebble.charon_5.scout.merged.json,0,0
com.gaurav.avnc_7.scout.merged.json,15,1
om.sstvencoder_26.scout.merged.json,0,0
com.vrem.wifianalyzer_58.scout.merged.json,0,2
com.tananaev.passportreader_16.scout.merged.json,44,68
org.unifiedpush.distributor.noprovider2push_7.scout.merged.json,2,19
miccah.mpvremote_1.scout.merged.json,0,3
de.jbservices.nc_passwords_app_20.scout.merged.json,2,5
dev.marchello.sharik_13.scout.merged.json,1,0
org.unifiedpush.distributor.nextpush_6.scout.merged.json,18,4
me.hackerchick.sharetoinputstick_19.scout.merged.json,4,3
im.status.ethereum_2021102112.scout.merged.json,45,55
com.jeroen1602.lighthouse_pm_8.scout.merged.json,0,2
org.ostrya.presencepublisher_42.scout.merged.json,1,3
org.asteroidos.sync_21.scout.merged.json,10,2
at.h4x.metaapp_10102.scout.merged.json,3,4
com.fmsys.snapdrop_18.scout.merged.json,2,2
xdsopl.robot36_45.scout.merged.json,0,0
com.nextcloud_cookbook_flutter_19.scout.merged.json,0,0
com.genonbeta.TrebleShot_104.scout.merged.json,41,36
com.dosse.dozeoff_2.scout.merged.json,0,0
