apk_name,external_libs_count,native_libs_count
dev.leonlatsch.photok_18.scout.merged.json,18,2
org.secuso.privacyfriendlypasswordgenerator_5.scout.merged.json,2,4
org.torproject.torservices_2004.scout.merged.json,0,1
org.cry.otp_22.scout.merged.json,1,1
net.i2p.android.router_4745261.scout.merged.json,3,42
tech.projectmatris.antimalwareapp_10400.scout.merged.json,2,4
com.daemon.ssh_12.scout.merged.json,1,9
com.android.keepass_203.scout.merged.json,34,0
com.u2fa.secur_5.scout.merged.json,0,0
com.aidinhut.simpletextcrypt_12.scout.merged.json,1,0
com.smilla.greentooth_5.scout.merged.json,0,0
com.yogeshpaliyal.keypass_1401.scout.merged.json,24,8
com.nitish.privacyindicator_8.scout.merged.json,0,2
eu.faircode.netguard_2021111301.scout.merged.json,0,4
us.spotco.malwarescanner_76.scout.merged.json,1,2
me.impa.knockonports_46.scout.merged.json,2,2
com.securefilemanager.app_12.scout.merged.json,1,8
com.nextcloudpasswords_16.scout.merged.json,22,3
design.codeux.authpass.fdroid_159.scout.merged.json,1,8
com.vecturagames.android.app.passwordmaster_6.scout.merged.json,9,4
com.etesync.notes_10700.scout.merged.json,20,20
org.eu.exodus_privacy.exodusprivacy_10.scout.merged.json,1,3
org.ea.sqrl_54.scout.merged.json,0,7
com.kunzisoft.keepass.libre_91.scout.merged.json,46,2
net.xvello.salasana_3.scout.merged.json,2,1
com.servoz.appsdisabler_122.scout.merged.json,1,3
org.shadowice.flocke.andotp_39.scout.merged.json,1,10
com.beemdevelopment.aegis_50.scout.merged.json,5,3
org.sufficientlysecure.keychain_57500.scout.merged.json,0,56
com.etesync.syncadapter_20204.scout.merged.json,0,12
hans.b.skewy1_0_1.scout.merged.json,1,0
com.sovworks.edslite_237.scout.merged.json,6,0
com.aravi.dot_30009.scout.merged.json,0,1
us.spotco.motionlock_14.scout.merged.json,0,0
pro.kherel.selfprivacy_8.scout.merged.json,1,0
com.tnibler.cryptocam_16.scout.merged.json,0,4
org.chickenhook.binderfuzzy_2.scout.merged.json,0,3
com.emanuelef.remote_capture_42.scout.merged.json,3,2
com.wireguard.android_491.scout.merged.json,1,2
sushi.hardcore.droidfs_21.scout.merged.json,1,8
net.yolosec.routerkeygen2_80.scout.merged.json,0,11
com.crazylegend.vigilante_17.scout.merged.json,1,4
com.vecturagames.android.app.passwordgenerator_34.scout.merged.json,0,3
net.typeblog.shelter_20.scout.merged.json,1,0
com.lesspass.android_90503.scout.merged.json,21,12
me.billdietrich.fake_contacts_4.scout.merged.json,0,0
cityfreqs.com.pilfershushjammer_41.scout.merged.json,8,0
com.github.onetimepass_1002003.scout.merged.json,3,9
net.ivpn.client_100.scout.merged.json,18,3
