ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;com.RNFetchBlob.t;void a(java.lang.String,java.lang.String,com.facebook.react.bridge.Promise);violating CrySL rule for java.security.MessageDigest (on Object #1b80d21133976a17e6072b4480047e06e731c8b81ed900a517cd6e234ef1b326);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r9 = virtualinvoke $r7.<java.security.MessageDigest: byte[] digest()>()
RequiredPredicateError;com.RNFetchBlob.A;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2757, $r4, varReplacer2757)
RequiredPredicateError;com.RNFetchBlob.A;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2757, $r4, varReplacer2757)
ConstraintError;com.RNFetchBlob.A;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext (on Object #d8c2b6f8c3fa762080b237a6aa690386781cefe87eac1fc4f23421f68682124);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r7 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer2762)
RequiredPredicateError;com.RNFetchBlob.A;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r3.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer2759)
RequiredPredicateError;com.RNFetchBlob.A;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient$Builder);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2757, $r4, varReplacer2757)
RequiredPredicateError;com.RNFetchBlob.D;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2770, $r13, $r0)
RequiredPredicateError;com.RNFetchBlob.D;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2770, $r13, $r0)
RequiredPredicateError;com.RNFetchBlob.D;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2770, $r13, $r0)
ConstraintError;com.RNFetchBlob.D;okhttp3.OkHttpClient$Builder a(okhttp3.OkHttpClient);violating CrySL rule for javax.net.ssl.SSLContext (on Object #eb6a902a7453b11e8236423f22dfc3bc83027abb4283ad1fde61c33a9a148dfb);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer2769)
