ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;s4.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2101, $r6, varReplacer2101)
ConstraintError;s4.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #7447e1952a4a447e1a6dde5d0512cdfb1cdc9a249c9a83c052856840507aaa49);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer2100, $r2)
RequiredPredicateError;s4.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2101, $r6, varReplacer2101)
RequiredPredicateError;s4.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2101, $r6, varReplacer2101)
ConstraintError;s4.d;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #52c4f395c4692d77c8ccc56fdb815a3f50aed7d78c79c9233aca13a5e039617b);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer3840, $r2)
RequiredPredicateError;s4.d;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer2088)
ConstraintError;s4.h;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #fecbe3038e55295ac5149271f8daecb1ea0313107b117b5b2f4195a011a5513b);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer3838)
RequiredPredicateError;s4.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2097, $r10, varReplacer2097)
RequiredPredicateError;s4.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2097, $r10, varReplacer2097)
RequiredPredicateError;s4.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer2097, $r10, varReplacer2097)
