ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;j.m0.l.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20954, $r6, varReplacer20954)
RequiredPredicateError;j.m0.l.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20954, $r6, varReplacer20954)
RequiredPredicateError;j.m0.l.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20954, $r6, varReplacer20954)
ConstraintError;j.m0.l.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #d443dea30cff41226f891b5e13642419093d50e62effdfd337d51cf8979c982a);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer20957, $r3)
ConstraintError;j.m0.l.d;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #ca492ece7649507fd946a496105dacb131ffb5d352c08b181b72b0c49d0e6307);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer27243, $r2)
RequiredPredicateError;j.m0.l.d;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer20945)
ConstraintError;j.m0.l.h;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #aec1842648673f013b06c87ae6fe829fd9323a26f33c180f980177f4e8a01683);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer27240)
RequiredPredicateError;j.m0.l.h;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer20927)
RequiredPredicateError;j.m0.l.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20947, $r10, varReplacer20947)
RequiredPredicateError;j.m0.l.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20947, $r10, varReplacer20947)
RequiredPredicateError;j.m0.l.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer20947, $r10, varReplacer20947)
ConstraintError;j.m0.l.c;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #2da3205bd273ab00d60c4752b9ea26bd0132f084e71026c77639c859fc2e136d);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer27241, $r2)
RequiredPredicateError;j.m0.l.c;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer20933)
ConstraintError;d.a.a.a.h.r;j.d0 a(android.content.Context,ch.rmy.android.http_shortcuts.data.models.ClientCertParams,boolean,java.lang.String,java.lang.String,boolean,long,java.lang.String,java.lang.Integer,j.r);violating CrySL rule for javax.net.ssl.SSLContext (on Object #fbab67515fe359756862817af92a8b0b4c918137a67c8936de985f7d81bd7f04);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r10 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>(varReplacer28746, varReplacer28747)
IncompleteOperationError;d.a.a.a.h.r;j.d0 a(android.content.Context,ch.rmy.android.http_shortcuts.data.models.ClientCertParams,boolean,java.lang.String,java.lang.String,boolean,long,java.lang.String,java.lang.Integer,j.r);violating CrySL rule for javax.net.ssl.SSLContext (on Object #fbab67515fe359756862817af92a8b0b4c918137a67c8936de985f7d81bd7f04);Operation on object of type javax.net.ssl.SSLContext object not completed. Expected call to init;$r10 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>(varReplacer28746, varReplacer28747)
ConstraintError;d.a.a.a.h.r;j.d0 a(android.content.Context,ch.rmy.android.http_shortcuts.data.models.ClientCertParams,boolean,java.lang.String,java.lang.String,boolean,long,java.lang.String,java.lang.Integer,j.r);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3f23d72edacb8f72ba182875a808dc13a552be97c35b956a0f5a18270b80e68d);First parameter (with value "X509") should be any of {PKIX, SunX509};$r33 = staticinvoke <javax.net.ssl.KeyManagerFactory: javax.net.ssl.KeyManagerFactory getInstance(java.lang.String)>(varReplacer28740)
NeverTypeOfError;d.a.a.a.h.r;j.d0 a(android.content.Context,ch.rmy.android.http_shortcuts.data.models.ClientCertParams,boolean,java.lang.String,java.lang.String,boolean,long,java.lang.String,java.lang.Integer,j.r);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3f23d72edacb8f72ba182875a808dc13a552be97c35b956a0f5a18270b80e68d);Second parameter should never be of type java.lang.String.;virtualinvoke $r33.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r27, $r31)
HardCodedError;d.a.a.a.h.r;j.d0 a(android.content.Context,ch.rmy.android.http_shortcuts.data.models.ClientCertParams,boolean,java.lang.String,java.lang.String,boolean,long,java.lang.String,java.lang.Integer,j.r);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3f23d72edacb8f72ba182875a808dc13a552be97c35b956a0f5a18270b80e68d);Second parameter should never be hardcoded.;virtualinvoke $r33.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r27, $r31)
ConstraintError;d.a.a.a.h.r;j.d0 a(android.content.Context,ch.rmy.android.http_shortcuts.data.models.ClientCertParams,boolean,java.lang.String,java.lang.String,boolean,long,java.lang.String,java.lang.Integer,j.r);violating CrySL rule for javax.net.ssl.SSLContext (on Object #2dc0c1961f3e40a2f9e38c3376747e57dabfa48631aae2cb3a20a96e7906b7b3);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r10 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer28729)
RequiredPredicateError;d.a.a.a.h.r;j.d0 a(android.content.Context,ch.rmy.android.http_shortcuts.data.models.ClientCertParams,boolean,java.lang.String,java.lang.String,boolean,long,java.lang.String,java.lang.Integer,j.r);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r10.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer28723, $r59, $r47)
NeverTypeOfError;d.a.a.a.h.r;j.d0 a(android.content.Context,ch.rmy.android.http_shortcuts.data.models.ClientCertParams,boolean,java.lang.String,java.lang.String,boolean,long,java.lang.String,java.lang.Integer,j.r);violating CrySL rule for java.security.KeyStore (on Object #c0b0f6d1456fc304faea6e7f58f1205db41844fb164ba125222d56841649f641);Second parameter should never be of type java.lang.String.;virtualinvoke $r27.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r29, $r31)
