ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;eu.siacs.conversations.utils.CryptoHelper;java.lang.String getFingerprint(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #5b4afe6a655392ab47821b4a8942c0e0fbd2e42cca589fa7a162025e227b9d3c);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer941)
ConstraintError;eu.siacs.conversations.utils.CryptoHelper;java.lang.String getFingerprintCert(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #708a3d3740b44f07bf24bc16e34694cd206dd391734350d42e61ace9329bccba);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer4726)
IncompleteOperationError;eu.siacs.conversations.xmpp.jingle.JingleSocks5Transport;void lambda$send$3(eu.siacs.conversations.xmpp.jingle.OnFileTransmissionStatusChanged,eu.siacs.conversations.entities.DownloadableFile);violating CrySL rule for java.security.MessageDigest (on Object #e0e1d51dc4889cb77db20097caad1b527febb9cb34400cf8313982be920ed187);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r10.<java.security.MessageDigest: void reset()>()
ConstraintError;eu.siacs.conversations.xmpp.jingle.JingleSocks5Transport;void lambda$send$3(eu.siacs.conversations.xmpp.jingle.OnFileTransmissionStatusChanged,eu.siacs.conversations.entities.DownloadableFile);violating CrySL rule for java.security.MessageDigest (on Object #e0e1d51dc4889cb77db20097caad1b527febb9cb34400cf8313982be920ed187);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer11087)
TypestateError;eu.siacs.conversations.xmpp.jingle.JingleSocks5Transport;void lambda$send$3(eu.siacs.conversations.xmpp.jingle.OnFileTransmissionStatusChanged,eu.siacs.conversations.entities.DownloadableFile);violating CrySL rule for java.security.MessageDigest (on Object #e0e1d51dc4889cb77db20097caad1b527febb9cb34400cf8313982be920ed187);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r15 = virtualinvoke $r10.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;eu.siacs.conversations.xmpp.jingle.JingleSocks5Transport;void lambda$receive$4(eu.siacs.conversations.xmpp.jingle.OnFileTransmissionStatusChanged,eu.siacs.conversations.entities.DownloadableFile);violating CrySL rule for java.security.MessageDigest (on Object #9bdf0d18cffeaff8a46238ffa5d526df317e410ed687d5d667248a8551ce3c7c);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer11920)
IncompleteOperationError;eu.siacs.conversations.xmpp.jingle.JingleSocks5Transport;void lambda$receive$4(eu.siacs.conversations.xmpp.jingle.OnFileTransmissionStatusChanged,eu.siacs.conversations.entities.DownloadableFile);violating CrySL rule for java.security.MessageDigest (on Object #9bdf0d18cffeaff8a46238ffa5d526df317e410ed687d5d667248a8551ce3c7c);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, java.security.MessageDigest: void update(byte[],int,int), java.security.MessageDigest: void update(java.nio.ByteBuffer), java.security.MessageDigest: void update(byte[]), java.security.MessageDigest: void update(byte);virtualinvoke $r10.<java.security.MessageDigest: void update(byte[],int,int)>($r17, varReplacer11916, $i2)
IncompleteOperationError;eu.siacs.conversations.xmpp.jingle.JingleSocks5Transport;void lambda$receive$4(eu.siacs.conversations.xmpp.jingle.OnFileTransmissionStatusChanged,eu.siacs.conversations.entities.DownloadableFile);violating CrySL rule for java.security.MessageDigest (on Object #9bdf0d18cffeaff8a46238ffa5d526df317e410ed687d5d667248a8551ce3c7c);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r10.<java.security.MessageDigest: void reset()>()
TypestateError;eu.siacs.conversations.xmpp.jingle.JingleSocks5Transport;void lambda$receive$4(eu.siacs.conversations.xmpp.jingle.OnFileTransmissionStatusChanged,eu.siacs.conversations.entities.DownloadableFile);violating CrySL rule for java.security.MessageDigest (on Object #9bdf0d18cffeaff8a46238ffa5d526df317e410ed687d5d667248a8551ce3c7c);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r17 = virtualinvoke $r10.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;eu.siacs.conversations.xmpp.jingle.JingleSocks5Transport;void <init>(eu.siacs.conversations.xmpp.jingle.JingleFileTransferConnection,eu.siacs.conversations.xmpp.jingle.JingleCandidate);violating CrySL rule for java.security.MessageDigest (on Object #51937c1eea044a2b5647c22588a2d2df80b54fb1b7a83cfcf690e0e16e104fa1);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r4 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer33782)
ConstraintError;eu.siacs.conversations.utils.XEP0392Helper;double angle(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #bad7cf7adc99ce9a9bdeb4b4fff4a865fd38349bdb6945d59cef722596a22542);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer14635)
RequiredPredicateError;eu.siacs.conversations.services.MemorizingTrustManager;javax.net.ssl.X509TrustManager getTrustManager(java.security.KeyStore);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r1)
ConstraintError;eu.siacs.conversations.services.MemorizingTrustManager;javax.net.ssl.X509TrustManager getTrustManager(java.security.KeyStore);violating CrySL rule for javax.net.ssl.TrustManagerFactory (on Object #24cb0569029f6d2ae7e07be5907e65361e54f974136f3df051a42d75b93bac4a);First parameter (with value "X509") should be any of {PKIX, SunX509};$r2 = staticinvoke <javax.net.ssl.TrustManagerFactory: javax.net.ssl.TrustManagerFactory getInstance(java.lang.String)>(varReplacer16291)
TypestateError;eu.siacs.conversations.services.MemorizingTrustManager;java.security.KeyStore loadAppKeyStore();violating CrySL rule for java.security.KeyStore (on Object #ea1b92c62f96aa3843af7ac4ab293ee98950902fb5e6847c9de5ad96211af3a0);Unexpected call to method load on object of type java.security.KeyStore. Expect a call to one of the following methods getKey,getEntry,setEntry;virtualinvoke $r6.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r7, $r9)
NeverTypeOfError;eu.siacs.conversations.services.MemorizingTrustManager;java.security.KeyStore loadAppKeyStore();violating CrySL rule for java.security.KeyStore (on Object #ea1b92c62f96aa3843af7ac4ab293ee98950902fb5e6847c9de5ad96211af3a0);Second parameter should never be of type java.lang.String.;virtualinvoke $r6.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r7, $r9)
HardCodedError;eu.siacs.conversations.services.MemorizingTrustManager;java.security.KeyStore loadAppKeyStore();violating CrySL rule for java.security.KeyStore (on Object #ea1b92c62f96aa3843af7ac4ab293ee98950902fb5e6847c9de5ad96211af3a0);Second parameter should never be hardcoded.;virtualinvoke $r6.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r7, $r9)
RequiredPredicateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;void encrypt(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer18618, $r3, $r5)
RequiredPredicateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;void encrypt(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared G C M;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer18618, $r3, $r5)
TypestateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;void encrypt(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #c19839ec87f67379ac6a905c8263308d9ab9ef5bb13506181fdcf067c07dee8a);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r4)
TypestateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;void encrypt(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #4273500d2401f49c57e193b9527753cfc9c8f098b20e628a171ea7ea1b7a22cb);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r1 = virtualinvoke $r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r4)
RequiredPredicateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;void encrypt(java.lang.String);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r9.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer18617)
RequiredPredicateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage$XmppAxolotlPlaintextMessage decrypt(eu.siacs.conversations.crypto.axolotl.XmppAxolotlSession,java.lang.Integer);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r7.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer46594, $r8, $r9)
RequiredPredicateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage$XmppAxolotlPlaintextMessage decrypt(eu.siacs.conversations.crypto.axolotl.XmppAxolotlSession,java.lang.Integer);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r13.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r6, varReplacer46595)
TypestateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage$XmppAxolotlPlaintextMessage decrypt(eu.siacs.conversations.crypto.axolotl.XmppAxolotlSession,java.lang.Integer);violating CrySL rule for javax.crypto.Cipher (on Object #4fc27b0e9a9b703c10d71101175e9d4aee646c81dc451c00a0af884abb186f01);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r7.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
TypestateError;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage;eu.siacs.conversations.crypto.axolotl.XmppAxolotlMessage$XmppAxolotlPlaintextMessage decrypt(eu.siacs.conversations.crypto.axolotl.XmppAxolotlSession,java.lang.Integer);violating CrySL rule for javax.crypto.Cipher (on Object #f33dfc3955eddf2b9ddf52bedfb1ba797809a19797669125dc024bc17823e4f3);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r3 = virtualinvoke $r7.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r3)
