ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;androidx.security.crypto.MasterKeys;boolean keyExists(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #2de2fc9702859395d4f2dcb56a5dc1fc43e501c4c72ea4cd861cf889356547ae);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer210)
RequiredPredicateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, $r4)
ConstraintError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #41d7009d55f7207282427ed5771f45fcbb422a5ec753a98dee3c5dcb3b78f05c);Second parameter (with value "HmacSha1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, $r4)
TypestateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.Mac (on Object #e0ddadc13f7bb0fe2b209042e6fb1e08b684a4132db178ec9b403eb5eee11587);Unexpected call to method doFinal on object of type javax.crypto.Mac. Expect a call to one of the following methods init;$r7 = virtualinvoke $r6.<javax.crypto.Mac: byte[] doFinal()>()
TypestateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.Mac (on Object #6d763f9467be3d0d73fb479325f103273511edf0e140c0da470a5ccd80fd30b2);Unexpected call to method doFinal on object of type javax.crypto.Mac. Expect a call to one of the following methods init;$r7 = virtualinvoke $r6.<javax.crypto.Mac: byte[] doFinal()>()
ConstraintError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void updateBuffer();violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #e26f41d0c1d6f386c85dfc6daf941522983ef95ea9473fd3ec88f4aa8bd63b5c);Second parameter (with value "HmacSha1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, $r6)
RequiredPredicateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void updateBuffer();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, $r6)
ConstraintError;com.google.crypto.tink.integration.android.AndroidKeystoreKmsClient$Builder;void <init>();violating CrySL rule for java.security.KeyStore (on Object #607ca9739afaa899c7f5a023b3f1e46eda7842c7399c89063e089f9e4a55bd9b);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer31536)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TMac;javax.crypto.Mac getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.Mac (on Object #6d763f9467be3d0d73fb479325f103273511edf0e140c0da470a5ccd80fd30b2);First parameter (with value "AES/CTR/NoPadding") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r3 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TMac;javax.crypto.Mac getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.Mac (on Object #e0ddadc13f7bb0fe2b209042e6fb1e08b684a4132db178ec9b403eb5eee11587);First parameter (with value "AES/CTR/NoPadding") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r3 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>($r2)
