ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;androidx.security.crypto.MasterKey;boolean isKeyStoreBacked();violating CrySL rule for java.security.KeyStore (on Object #8f8766e21cf528e3b499ce127d1188c74411f1f9886c3b34faf7e70a1d50516c);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r5 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer25770)
ConstraintError;androidx.security.crypto.MasterKeys;boolean keyExists(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #dabd34c50f04fa82cccdd3923c4ea0d0b3dea6e82ef9c9e0b7bab895b22df75a);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer35103)
RequiredPredicateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, $r4)
ConstraintError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void initialize();violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #41d7009d55f7207282427ed5771f45fcbb422a5ec753a98dee3c5dcb3b78f05c);Second parameter (with value "HmacSha1") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r8.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, $r4)
ConstraintError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void updateBuffer();violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #e26f41d0c1d6f386c85dfc6daf941522983ef95ea9473fd3ec88f4aa8bd63b5c);Second parameter (with value "HmacSha1") should be any of {AES, HmacSHA224, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, $r6)
RequiredPredicateError;com.google.crypto.tink.subtle.prf.HkdfStreamingPrf$HkdfInputStream;void updateBuffer();violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r1, $r6)
ConstraintError;com.google.crypto.tink.integration.android.AndroidKeystoreKmsClient$Builder;void <init>();violating CrySL rule for java.security.KeyStore (on Object #787195b6fbe609b47331b33852e242fbaa90f2235cda981f03a8ff7e4a8f22ef);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer40202)
ConstraintError;com.google.crypto.tink.integration.android.AndroidKeystoreKmsClient;boolean hasKey(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #219f308d670009d6b51e92ab0279b14ff019120981f9ada5d4fd25fd51a69335);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer40209)
ConstraintError;com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt;java.lang.String[] getCurrentSignatures(android.content.Context);violating CrySL rule for java.security.MessageDigest (on Object #a632dfac330bb8e82be4cc8933df0ed8feae51bba52147df7c9bb75a054ac4ab);First parameter (with value "SHA") should be any of {SHA-256, SHA-384, SHA-512};$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer41741)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #f6e57b42576a01cf779c496bf6795aa5e9337e888e93d4c22d5e827d44b31dfb);First parameter (with value "RSA") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #f6e57b42576a01cf779c496bf6795aa5e9337e888e93d4c22d5e827d44b31dfb);First parameter (with value "SHA-384") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #4702644eb9a1c407255cb270b0ae349589b1ac4a4f813039e42194478eb42f5e);First parameter (with value "SHA-1") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String)>($r2)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #f6e57b42576a01cf779c496bf6795aa5e9337e888e93d4c22d5e827d44b31dfb);First parameter (with value "SHA-1") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #f6e57b42576a01cf779c496bf6795aa5e9337e888e93d4c22d5e827d44b31dfb);First parameter (with value "AES/CTR/NoPadding") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #4702644eb9a1c407255cb270b0ae349589b1ac4a4f813039e42194478eb42f5e);First parameter (with value "RSA") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String)>($r2)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #4702644eb9a1c407255cb270b0ae349589b1ac4a4f813039e42194478eb42f5e);First parameter (with value "SHA-512") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String)>($r2)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #f6e57b42576a01cf779c496bf6795aa5e9337e888e93d4c22d5e827d44b31dfb);First parameter (with value "SHA-512") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #4702644eb9a1c407255cb270b0ae349589b1ac4a4f813039e42194478eb42f5e);First parameter (with value "SHA-256") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String)>($r2)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #4702644eb9a1c407255cb270b0ae349589b1ac4a4f813039e42194478eb42f5e);First parameter (with value "AES/CTR/NoPadding") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String)>($r2)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #4702644eb9a1c407255cb270b0ae349589b1ac4a4f813039e42194478eb42f5e);First parameter (with value "SHA-384") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String)>($r2)
ConstraintError;com.google.crypto.tink.subtle.EngineWrapper$TKeyAgreement;javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.KeyAgreement (on Object #f6e57b42576a01cf779c496bf6795aa5e9337e888e93d4c22d5e827d44b31dfb);First parameter (with value "SHA-256") should be any of {DH, DiffieHellman, ECDH};$r3 = staticinvoke <javax.crypto.KeyAgreement: javax.crypto.KeyAgreement getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
IncompleteOperationError;com.google.crypto.tink.subtle.StreamingAeadDecryptingStream;void readHeader();violating CrySL rule for javax.crypto.KeyAgreement (on Object #f6e57b42576a01cf779c496bf6795aa5e9337e888e93d4c22d5e827d44b31dfb);Operation on object of type javax.crypto.KeyAgreement object not completed. Expected call to init;$i0 = virtualinvoke $r2.<java.io.InputStream: int read(byte[],int,int)>($r3, $i0, $i1)
IncompleteOperationError;com.google.crypto.tink.subtle.StreamingAeadDecryptingStream;void readHeader();violating CrySL rule for javax.crypto.KeyAgreement (on Object #4702644eb9a1c407255cb270b0ae349589b1ac4a4f813039e42194478eb42f5e);Operation on object of type javax.crypto.KeyAgreement object not completed. Expected call to init;$i0 = virtualinvoke $r2.<java.io.InputStream: int read(byte[],int,int)>($r3, $i0, $i1)
IncompleteOperationError;com.google.crypto.tink.subtle.StreamingAeadDecryptingStream;void readHeader();violating CrySL rule for javax.crypto.Cipher (on Object #640b3ce10d955f2685c7b85ba7b9a21e5b3284c31a9fa033826b3693ed4c27e7);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke r0.<com.google.crypto.tink.subtle.StreamingAeadDecryptingStream: void setDecryptionErrorOccured()>()
IncompleteOperationError;com.google.crypto.tink.subtle.StreamingAeadDecryptingStream;void readHeader();violating CrySL rule for javax.crypto.Cipher (on Object #640b3ce10d955f2685c7b85ba7b9a21e5b3284c31a9fa033826b3693ed4c27e7);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke r0.<com.google.crypto.tink.subtle.StreamingAeadDecryptingStream: void setDecryptionErrorOccured()>()
IncompleteOperationError;com.google.crypto.tink.subtle.StreamingAeadDecryptingStream;void readHeader();violating CrySL rule for javax.crypto.Cipher (on Object #f412a4b6b6af857b02da3ea5721d5fbd73b3618d315ce7a8cc29c14ad33abb42);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke r0.<com.google.crypto.tink.subtle.StreamingAeadDecryptingStream: void setDecryptionErrorOccured()>()
