ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;io.netty.handler.ssl.SslContext;java.security.spec.PKCS8EncodedKeySpec generateKeySpec(char[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r8.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.AlgorithmParameters)>(varReplacer23363, $r7, $r9)
RequiredPredicateError;io.netty.handler.ssl.SslContext;java.security.spec.PKCS8EncodedKeySpec generateKeySpec(char[],byte[]);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r7 = virtualinvoke $r5.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r6)
RequiredPredicateError;io.netty.handler.ssl.SslContext;java.security.spec.PKCS8EncodedKeySpec generateKeySpec(char[],byte[]);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared Alg;virtualinvoke $r8.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.AlgorithmParameters)>(varReplacer23363, $r7, $r9)
ForbiddenMethodError;io.netty.handler.ssl.SslContext;java.security.spec.PKCS8EncodedKeySpec generateKeySpec(char[],byte[]);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Detected call to forbidden method void <init>(char[]) of class javax.crypto.spec.PBEKeySpec. Instead, call method <javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>.;specialinvoke $r6.<javax.crypto.spec.PBEKeySpec: void <init>(char[])>($r1)
TypestateError;io.netty.handler.ssl.SslContext;java.security.cert.X509Certificate[] getCertificatesFromBuffers(io.netty.buffer.ByteBuf[]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #c7dacedf61a333ce7972ac0cbf7d7a37e049dd0795e10dfc34a3d5f928114538);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r5 = virtualinvoke $r2.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r4)
IncompleteOperationError;io.netty.handler.ssl.SslContext;java.security.cert.X509Certificate[] getCertificatesFromBuffers(io.netty.buffer.ByteBuf[]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #c7dacedf61a333ce7972ac0cbf7d7a37e049dd0795e10dfc34a3d5f928114538);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r5 = virtualinvoke $r2.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r4)
IncompleteOperationError;io.netty.handler.ssl.SslContext;java.security.cert.X509Certificate[] getCertificatesFromBuffers(io.netty.buffer.ByteBuf[]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #c7dacedf61a333ce7972ac0cbf7d7a37e049dd0795e10dfc34a3d5f928114538);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r2 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer23357)
NeverTypeOfError;io.netty.handler.ssl.SslContext;javax.net.ssl.KeyManagerFactory buildKeyManagerFactory(java.security.cert.X509Certificate[],java.lang.String,java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3b421197ff7717ed04dcdb3b08564baff4f192f5da4b4709af51e94853aafc8d);Second parameter should never be of type java.lang.String.;virtualinvoke $r4.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r6, $r5)
HardCodedError;io.netty.handler.ssl.SslContext;javax.net.ssl.KeyManagerFactory buildKeyManagerFactory(java.security.cert.X509Certificate[],java.lang.String,java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #3b421197ff7717ed04dcdb3b08564baff4f192f5da4b4709af51e94853aafc8d);Second parameter should never be hardcoded.;virtualinvoke $r4.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r6, $r5)
RequiredPredicateError;io.netty.handler.ssl.SslContext;java.security.PrivateKey getPrivateKeyFromByteBuffer(io.netty.buffer.ByteBuf,java.lang.String);violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r7.<java.security.KeyFactory: java.security.PrivateKey generatePrivate(java.security.spec.KeySpec)>($r6)
