ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #f239f64f19107a7966ad3544d491cd929b8571b61571f653271a008002f39e61);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke r2.<java.security.DigestInputStream: void <init>(java.io.InputStream,java.security.MessageDigest)>($r1, $r6)
ForbiddenMethodError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream ;Detected call to forbidden method void on(boolean) of class java.security.DigestInputStream;virtualinvoke r2.<java.security.DigestInputStream: void on(boolean)>(varReplacer18689)
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream (on Object #2a553da6325e6f7045a6ae88b62c0dabf45281ecc3e23e6dbdcb9d65ef0b2377);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke r2.<java.security.DigestInputStream: void on(boolean)>(varReplacer18689)
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream (on Object #2a553da6325e6f7045a6ae88b62c0dabf45281ecc3e23e6dbdcb9d65ef0b2377);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke r2.<java.security.DigestInputStream: void on(boolean)>(varReplacer18699)
TypestateError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #f239f64f19107a7966ad3544d491cd929b8571b61571f653271a008002f39e61);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);r4 = virtualinvoke $r6.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #1483c09d507b816f2d8e358bdcf748f95d8d6b301f37aed4de69aa06c2eae936);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r4 = interfaceinvoke $r3.<com.google.common.hash.HashFunction: com.google.common.hash.Hasher newHasher()>()
IncompleteOperationError;com.lightning.walletapp.ln.Tools$;void <clinit>();violating CrySL rule for java.security.SecureRandom (on Object #87dcbb2093a114f348843703c1e518bd07d794ef835c987c9d85d7480d7e6dbc);Operation on object of type com.lightning.walletapp.ln.crypto.RandomGenerator object not completed. Expected call to java.security.SecureRandom: void init(byte[]), java.security.SecureRandom: void init(), getInstance;specialinvoke $r0.<com.lightning.walletapp.ln.Tools$: void <init>()>()
ConstraintError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory systemDefaultSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #2367d9f86eeaaf852dc53cbc2230dfa8e15d99e7b21f5fa54e6816b78fb5146a);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer15526)
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory systemDefaultSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15527, $r7, varReplacer15527)
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory systemDefaultSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15527, $r7, varReplacer15527)
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.SSLSocketFactory systemDefaultSslSocketFactory(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer15527, $r7, varReplacer15527)
RequiredPredicateError;okhttp3.OkHttpClient;javax.net.ssl.X509TrustManager systemDefaultTrustManager();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r3.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer15523)
RequiredPredicateError;com.github.kevinsawicki.http.HttpRequest;javax.net.ssl.SSLSocketFactory getTrustedFactory();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16492, $r11, $r5)
RequiredPredicateError;com.github.kevinsawicki.http.HttpRequest;javax.net.ssl.SSLSocketFactory getTrustedFactory();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16492, $r11, $r5)
ConstraintError;com.github.kevinsawicki.http.HttpRequest;javax.net.ssl.SSLSocketFactory getTrustedFactory();violating CrySL rule for javax.net.ssl.SSLContext (on Object #b4ff9f34c5929b784767a485cf538e80d6afdcec72bdbd1cf04eecfa79ad147d);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer16493)
RequiredPredicateError;com.github.kevinsawicki.http.HttpRequest;javax.net.ssl.SSLSocketFactory getTrustedFactory();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer16492, $r11, $r5)
TypestateError;org.bitcoinj.crypto.PBKDF2SHA512;byte[] F(java.lang.String,java.lang.String,int,int);violating CrySL rule for javax.crypto.Mac (on Object #3227298f3b7015bc0a74bf3203d232266e2f3aa101164d01eae289a58e2b7b56);Unexpected call to method doFinal on object of type javax.crypto.Mac.;r3 = virtualinvoke $r7.<javax.crypto.Mac: byte[] doFinal(byte[])>(r3)
TypestateError;org.bitcoinj.crypto.PBKDF2SHA512;byte[] F(java.lang.String,java.lang.String,int,int);violating CrySL rule for javax.crypto.Mac (on Object #3227298f3b7015bc0a74bf3203d232266e2f3aa101164d01eae289a58e2b7b56);Unexpected call to method doFinal on object of type javax.crypto.Mac.;r3 = virtualinvoke $r7.<javax.crypto.Mac: byte[] doFinal(byte[])>($r6)
IncompleteOperationError;org.bitcoinj.crypto.PBKDF2SHA512;byte[] F(java.lang.String,java.lang.String,int,int);violating CrySL rule for javax.crypto.Mac (on Object #3227298f3b7015bc0a74bf3203d232266e2f3aa101164d01eae289a58e2b7b56);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r7.<javax.crypto.Mac: void init(java.security.Key)>(r2)
RequiredPredicateError;org.bitcoinj.crypto.PBKDF2SHA512;byte[] F(java.lang.String,java.lang.String,int,int);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke r2.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r6, varReplacer19292)
IncompleteOperationError;org.bitcoinj.crypto.PBKDF2SHA512;byte[] F(java.lang.String,java.lang.String,int,int);violating CrySL rule for javax.crypto.Mac (on Object #3227298f3b7015bc0a74bf3203d232266e2f3aa101164d01eae289a58e2b7b56);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r7.<javax.crypto.Mac: void reset()>()
IncompleteOperationError;org.bitcoinj.crypto.PBKDF2SHA512;byte[] F(java.lang.String,java.lang.String,int,int);violating CrySL rule for javax.crypto.Mac (on Object #3227298f3b7015bc0a74bf3203d232266e2f3aa101164d01eae289a58e2b7b56);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;virtualinvoke $r7.<javax.crypto.Mac: void reset()>()
RequiredPredicateError;org.bitcoinj.crypto.PBKDF2SHA512;byte[] F(java.lang.String,java.lang.String,int,int);violating CrySL rule for javax.crypto.Mac ;First parameter was not properly generated as generated Key;virtualinvoke $r7.<javax.crypto.Mac: void init(java.security.Key)>(r2)
