ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;b.o.a.c;boolean d(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #6d91abcd00031f267fc7ec0d62ddd0a9707c62da7ba72060331d18031adeabe3);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer13106)
ConstraintError;c.a.b.a.v.a.c$b;void <init>();violating CrySL rule for java.security.KeyStore (on Object #b0a6be4b3b968b0162760be448d5b4bddc3a9f88949a688f2fa31b0ecca52467);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer13115)
ConstraintError;c.a.b.a.v.a.c;boolean e(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #5e4ddbaaa820231c043a27ab208f587176149aeeb56966dfc87977c72ff1f745);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer13123)
IncompleteOperationError;g.c$c;java.util.List c(h.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #61bd62981cac8aa06bf0e1517e4829c680291f0f0a2115f41adcd7fc53040123);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r11 = virtualinvoke $r7.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r10)
IncompleteOperationError;g.c$c;java.util.List c(h.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #61bd62981cac8aa06bf0e1517e4829c680291f0f0a2115f41adcd7fc53040123);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r7 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer18350)
TypestateError;g.c$c;java.util.List c(h.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #61bd62981cac8aa06bf0e1517e4829c680291f0f0a2115f41adcd7fc53040123);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r11 = virtualinvoke $r7.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r10)
ConstraintError;h.e0.d$a;void <init>(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #4d69a1b60f1c33c9e3cba31477bd4f8febf6092b95846bd44c0c55c8143df192);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
ConstraintError;h.e0.d$a;void <init>(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #4d69a1b60f1c33c9e3cba31477bd4f8febf6092b95846bd44c0c55c8143df192);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r2)
TypestateError;h.e0.d$a;byte[] a();violating CrySL rule for java.security.MessageDigest (on Object #4d69a1b60f1c33c9e3cba31477bd4f8febf6092b95846bd44c0c55c8143df192);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r1 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;c.a.b.a.w.b$a;c.a.b.a.o c(c.a.b.a.y.v);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #1c5b5d42622994a618fd5e14579b5851cad9467cd956726d8688dd47709eab57);Second parameter (with value "HMAC") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r6, varReplacer22087)
RequiredPredicateError;c.a.b.a.w.b$a;c.a.b.a.o c(c.a.b.a.y.v);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r6, varReplacer22087)
ConstraintError;g.g0.l.h;javax.net.ssl.SSLContext n();violating CrySL rule for javax.net.ssl.SSLContext (on Object #d23ecdb480f3b99680af63de6a360a79379fe24d91f2d810b476c35d42cc1781);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer23051)
RequiredPredicateError;g.g0.l.h;javax.net.ssl.SSLSocketFactory o(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer22185, $r10, varReplacer22185)
RequiredPredicateError;g.g0.l.h;javax.net.ssl.SSLSocketFactory o(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer22185, $r10, varReplacer22185)
