ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;mi$a;mi a();violating CrySL rule for java.security.KeyStore (on Object #a00395dd8357afb5fd965583e26d90f190c191af29f6083eb0555dc3f4057b0e);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r8 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer943)
TypestateError;q0;void run();violating CrySL rule for javax.crypto.Cipher (on Object #46c7a84abf8750b8546ce42346c9d8f8c5edb6e21fc5fff5452dd34ce2a6f158);Unexpected call to method update on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;virtualinvoke $r59.<javax.crypto.Cipher: byte[] update(byte[])>($r62)
RequiredPredicateError;q0;void run();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r59.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer1753, $r61)
ConstraintError;q2;boolean d(java.lang.String);violating CrySL rule for java.security.KeyStore (on Object #a6d07d805c50fffc8c4aa66ccb1527f2cf7e94b998e32e2c0ae7e967c5dc332);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r4 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer4609)
ConstraintError;q2$a;void <init>();violating CrySL rule for java.security.KeyStore (on Object #61235c7cd02a7968da36c1b7c31d6d1851df38a7f6fa7e2e7a3a1aa1bd76f9ce);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer8196)
ConstraintError;pe$a;java.lang.Object a(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #55b3351cceac452b324fbe4c60bf7c646d1dc120a23cef7c5854313b3797681d);Second parameter (with value "HMAC") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer8250)
RequiredPredicateError;pe$a;java.lang.Object a(java.lang.Object);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r7, varReplacer8250)
ConstraintError;mi;java.lang.String toString();violating CrySL rule for java.security.KeyStore (on Object #6596269102f07e6c9bbcf5b79741525718449b98da587065f7a65b0f1c34b189);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r7 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer9890)
ConstraintError;eb$a;java.lang.Object a(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.Cipher (on Object #5eb2d7683295a2430110ee03c24353fc587be9845cb3a032c9f0c83501158e43);First parameter (with value "AES/ECB/NoPadding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String,java.security.Provider)>($r2, $r1)
ConstraintError;eb$a;java.lang.Object a(java.lang.String,java.security.Provider);violating CrySL rule for javax.crypto.Cipher (on Object #cad589a18b86050870d22bc8c9b535e7f5392d6e58a3c04fc04408fdcafbd02d);First parameter (with value "AES/ECB/NoPadding") should be any of AES/{CBC, GCM, PCBC, CTR, CTS, CFB, OFB};$r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r2)
