ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;br.com.classapp.RNSensitiveInfo.RNSensitiveInfoModule;void putExtraWithAES(java.lang.String,java.lang.String,android.content.SharedPreferences,boolean,java.util.HashMap,com.facebook.react.bridge.Promise,javax.crypto.Cipher);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer8928, $r11)
IncompleteOperationError;br.com.classapp.RNSensitiveInfo.RNSensitiveInfoModule;void putExtraWithAES(java.lang.String,java.lang.String,android.content.SharedPreferences,boolean,java.util.HashMap,com.facebook.react.bridge.Promise,javax.crypto.Cipher);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #23b3a7bc2642759d3924fd9d8e0999972129ece82597db3bed397509a1c3a9ba);Operation on object of type javax.crypto.SecretKeyFactory object not completed. Expected call to translateKey, generateSecret;$r14 = virtualinvoke $r13.<javax.crypto.SecretKeyFactory: java.security.spec.KeySpec getKeySpec(javax.crypto.SecretKey,java.lang.Class)>($r11, class "Landroid/security/keystore/KeyInfo;")
ConstraintError;br.com.classapp.RNSensitiveInfo.RNSensitiveInfoModule;void putExtraWithAES(java.lang.String,java.lang.String,android.content.SharedPreferences,boolean,java.util.HashMap,com.facebook.react.bridge.Promise,javax.crypto.Cipher);violating CrySL rule for javax.crypto.Cipher (on Object #3c589094ef51d363ca54cae9afc81de5753e264af22e65840bed8a35f1a8270f);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer8922)
RequiredPredicateError;br.com.classapp.RNSensitiveInfo.RNSensitiveInfoModule;void decryptWithAes(java.lang.String,boolean,java.util.HashMap,com.facebook.react.bridge.Promise,javax.crypto.Cipher);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r13.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r8)
RequiredPredicateError;br.com.classapp.RNSensitiveInfo.RNSensitiveInfoModule;void decryptWithAes(java.lang.String,boolean,java.util.HashMap,com.facebook.react.bridge.Promise,javax.crypto.Cipher);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r5.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer8935, $r12, $r13)
ConstraintError;br.com.classapp.RNSensitiveInfo.RNSensitiveInfoModule;void decryptWithAes(java.lang.String,boolean,java.util.HashMap,com.facebook.react.bridge.Promise,javax.crypto.Cipher);violating CrySL rule for javax.crypto.Cipher (on Object #d2f95b65dda8f619cbd804066489b94a6f66c404761dc08e7e8f745443c629e4);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer8943)
IncompleteOperationError;br.com.classapp.RNSensitiveInfo.RNSensitiveInfoModule;void decryptWithAes(java.lang.String,boolean,java.util.HashMap,com.facebook.react.bridge.Promise,javax.crypto.Cipher);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #725e97080c70a7c90fe1626ed360ae07565370d50b2b91c7a34dd9ccaf26fe4e);Operation on object of type javax.crypto.SecretKeyFactory object not completed. Expected call to translateKey, generateSecret;$r15 = virtualinvoke $r14.<javax.crypto.SecretKeyFactory: java.security.spec.KeySpec getKeySpec(javax.crypto.SecretKey,java.lang.Class)>($r12, class "Landroid/security/keystore/KeyInfo;")
ConstraintError;br.com.classapp.RNSensitiveInfo.RNSensitiveInfoModule;void initKeyStore();violating CrySL rule for java.security.KeyStore (on Object #e4b55619dd786cdff8f8de114b1b1d9add36b6cf2a3161c8f55deb06b5596ef5);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r2 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer21369)
ConstraintError;com.facebook.common.util.SecureHashUtil;java.lang.String makeSHA1HashBase64(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #42dd2e7c09730be2992f4480b52bec691db7613f05f1354af835334866ccef55);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer10166)
TypestateError;com.facebook.soloader.SoLoader$1;java.lang.String getLibHash(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #4fd0fb4472d2e5540817aaf82925379a8aa47f10293b99f2b1d2318922cf70bc);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r7 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>()
