ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;com.multidots.fingerprintauth.FingerPrintAuthHelper;boolean cipherInit();violating CrySL rule for java.security.KeyStore (on Object #ca5c25de700b6f2054603a02f9ee1d92933a901e8e85433d4f016f4c43d49868);Unexpected call to method load on object of type java.security.KeyStore. Expect a call to one of the following methods getKey,getEntry,setEntry;virtualinvoke $r12.<java.security.KeyStore: void load(java.security.KeyStore$LoadStoreParameter)>(varReplacer10862)
ConstraintError;com.multidots.fingerprintauth.FingerPrintAuthHelper;boolean cipherInit();violating CrySL rule for javax.crypto.Cipher (on Object #768dfe1024ed460d2504f7a088f40c8db33ed99e965a2025ca71bb3c3318049e);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r11 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer10873)
RequiredPredicateError;com.multidots.fingerprintauth.FingerPrintAuthHelper;boolean cipherInit();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r11.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer10865, $r15)
ConstraintError;com.multidots.fingerprintauth.FingerPrintAuthHelper;boolean generateKey();violating CrySL rule for java.security.KeyStore (on Object #ca5c25de700b6f2054603a02f9ee1d92933a901e8e85433d4f016f4c43d49868);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r8 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer13339)
IncompleteOperationError;com.bumptech.glide.load.engine.cache.SafeKeyGenerator;java.lang.String calculateHexStringDigest(com.bumptech.glide.load.Key);violating CrySL rule for java.security.MessageDigest (on Object #86821c7a0612af4ac320388a28fa9fa0080a8b449061fe2112480fbdb584a9fe);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r2.<androidx.core.util.Pools$Pool: boolean release(java.lang.Object)>($r4)
IncompleteOperationError;com.bumptech.glide.util.pool.FactoryPools$3;void reset(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #86821c7a0612af4ac320388a28fa9fa0080a8b449061fe2112480fbdb584a9fe);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke r0.<com.bumptech.glide.util.pool.FactoryPools$3: void reset(java.util.List)>($r2)
IncompleteOperationError;androidx.core.util.Pools$SimplePool;boolean release(java.lang.Object);violating CrySL rule for java.security.MessageDigest (on Object #86821c7a0612af4ac320388a28fa9fa0080a8b449061fe2112480fbdb584a9fe);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$z0 = specialinvoke r0.<androidx.core.util.Pools$SimplePool: boolean isInPool(java.lang.Object)>($r2)
ConstraintError;net.lingala.zip4j.crypto.PBKDF2.MacBasedPRF;void <init>(java.lang.String);violating CrySL rule for javax.crypto.Mac (on Object #fe86d6df4f79d1062ebbc1599317d6572713990c2d231593223a215eef0fe89e);First parameter (with value "HmacSHA1") should be any of {HmacSHA256, HmacSHA384, HmacSHA512, HmacPBESHA1, PBEWithHmacSHA1, PBEWithHmacSHA224, PBEWithHmacSHA256, PBEWithHmacSHA384, PBEWithHmacSHA512};$r3 = staticinvoke <javax.crypto.Mac: javax.crypto.Mac getInstance(java.lang.String)>($r2)
ConstraintError;net.lingala.zip4j.crypto.PBKDF2.MacBasedPRF;void init(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #2c8b6542a35e929698f4560c93b5cf68fb53e0b3268e298dc399955f0bfa617b);Second parameter (with value "HmacSHA1") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r3, $r2)
RequiredPredicateError;net.lingala.zip4j.crypto.PBKDF2.MacBasedPRF;void init(byte[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r3, $r2)
IncompleteOperationError;net.lingala.zip4j.io.InflaterInputStream;int read(byte[],int,int);violating CrySL rule for javax.crypto.Mac (on Object #fe86d6df4f79d1062ebbc1599317d6572713990c2d231593223a215eef0fe89e);Operation on object of type javax.crypto.Mac object not completed. Expected call to init;$r6 = virtualinvoke $r5.<net.lingala.zip4j.unzip.UnzipEngine: net.lingala.zip4j.model.LocalFileHeader getLocalFileHeader()>()
