ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;com.sovworks.eds.crypto.SimpleCrypto;java.lang.String calcStringMD5(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ea7eca72cbc0b7f5324a1e6636674fd17762276d219d64a47d286be367aa8a6c);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer963)
TypestateError;com.sovworks.eds.crypto.MACFile;void makeMACCheckedBuffer(byte[],int,int,byte[],com.sovworks.eds.fs.encfs.macs.MACCalculator,int,int,java.security.SecureRandom);violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Unexpected call to method nextBytes on object of type java.security.SecureRandom. Expect a call to one of the following methods init,getInstanceStrong,getInstance;virtualinvoke $r1.<java.security.SecureRandom: void nextBytes(byte[])>($r2)
IncompleteOperationError;com.sovworks.eds.fs.encfs.Directory;com.sovworks.eds.fs.File createFile(java.lang.String);violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;virtualinvoke $r7.<java.io.OutputStream: void close()>()
IncompleteOperationError;com.sovworks.eds.fs.encfs.File;void rename(java.lang.String);violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;virtualinvoke $r8.<java.io.OutputStream: void close()>()
IncompleteOperationError;com.sovworks.eds.fs.encfs.File;void moveTo(com.sovworks.eds.fs.Directory);violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;virtualinvoke $r7.<java.io.OutputStream: void close()>()
IncompleteOperationError;com.sovworks.eds.fs.util.ActivityTrackingFSWrapper$File;java.io.OutputStream getOutputStream();violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Operation on object of type java.security.SecureRandom object not completed. Expected call to java.security.SecureRandom: void init(byte[]), getInstanceStrong, java.security.SecureRandom: void init(), getInstance;specialinvoke $r1.<com.sovworks.eds.fs.util.ActivityTrackingFSWrapper$File$2: void <init>(com.sovworks.eds.fs.util.ActivityTrackingFSWrapper$File,java.io.OutputStream)>(r0, $r2)
IncompleteOperationError;com.sovworks.eds.fs.util.Util;void copyFile(com.sovworks.eds.fs.File,com.sovworks.eds.fs.File);violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;virtualinvoke $r0.<java.io.OutputStream: void close()>()
IncompleteOperationError;com.sovworks.eds.fs.util.Util;long copyFileFromInputStream(java.io.InputStream,com.sovworks.eds.fs.File,long,long,com.sovworks.eds.fs.File$ProgressInfo);violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;virtualinvoke $r7.<java.io.OutputStream: void close()>()
IncompleteOperationError;com.sovworks.eds.android.helpers.WipeFilesTask;void wipeFileRnd(com.sovworks.eds.fs.File,com.sovworks.eds.android.helpers.WipeFilesTask$ITask);violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;virtualinvoke $r4.<java.io.OutputStream: void close()>()
IncompleteOperationError;com.sovworks.eds.android.helpers.WipeFilesTask;void wipeFileRnd(com.sovworks.eds.fs.File,com.sovworks.eds.android.helpers.WipeFilesTask$ITask);violating CrySL rule for java.security.SecureRandom (on Object #1832e01c4ec5eb8a47fb3eb4438fb7da9628016270e3cb936182f59de01db34c);Operation on object of type java.security.SecureRandom object not completed. Expected call to init, getInstanceStrong, getInstance;virtualinvoke $r4.<java.io.OutputStream: void close()>()
ConstraintError;com.sovworks.eds.crypto.kdf.HMACSHA1;void <init>(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #90bb155addc75fbf4905625120a7953f8696beebccc0943271367bbed2d9cf26);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7060)
IncompleteOperationError;com.sovworks.eds.android.helpers.UtilBase;android.graphics.Bitmap loadDownsampledImage(com.sovworks.eds.fs.Path,int,int);violating CrySL rule for java.security.MessageDigest (on Object #90bb155addc75fbf4905625120a7953f8696beebccc0943271367bbed2d9cf26);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r2.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4)
IncompleteOperationError;com.drew.imaging.ImageMetadataReader;com.drew.metadata.Metadata readMetadata(java.io.InputStream,long);violating CrySL rule for java.security.MessageDigest (on Object #90bb155addc75fbf4905625120a7953f8696beebccc0943271367bbed2d9cf26);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r3 = staticinvoke <com.drew.imaging.ImageMetadataReader: com.drew.metadata.Metadata readMetadata(java.io.InputStream,long,com.drew.imaging.FileType)>($r1, $l0, $r2)
IncompleteOperationError;com.drew.lang.StreamReader;byte getByte();violating CrySL rule for java.security.MessageDigest (on Object #90bb155addc75fbf4905625120a7953f8696beebccc0943271367bbed2d9cf26);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$i0 = virtualinvoke $r1.<java.io.InputStream: int read()>()
ConstraintError;com.sovworks.eds.veracrypt.VolumeLayout;java.util.List getSupportedHashFuncs();violating CrySL rule for java.security.MessageDigest (on Object #4d6a1b4188aaef8c62312201b3c21f0ef11b1b59ed95779de312eecd270640f9);First parameter (with value "SHA256") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer28516)
IncompleteOperationError;com.sovworks.eds.veracrypt.VolumeLayout;java.util.List getSupportedHashFuncs();violating CrySL rule for java.security.MessageDigest (on Object #4d6a1b4188aaef8c62312201b3c21f0ef11b1b59ed95779de312eecd270640f9);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r2.<java.util.List: boolean add(java.lang.Object)>($r3)
IncompleteOperationError;com.sovworks.eds.truecrypt.StdLayout;java.util.List getSupportedHashFuncs();violating CrySL rule for java.security.MessageDigest (on Object #f45bfd33d67442c898f5aba708b367f393d6b95bda6dbdb6bb126a55be68b704);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r1.<java.util.ArrayList: boolean add(java.lang.Object)>($r2)
IncompleteOperationError;com.sovworks.eds.luks.VolumeLayout;java.util.List getSupportedHashFuncs();violating CrySL rule for java.security.MessageDigest (on Object #547d4e976a000c8056b055d088025aeb4768fb4e9011e8d52406a02990b5b5c0);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;virtualinvoke $r1.<java.util.ArrayList: boolean add(java.lang.Object)>($r5)
ConstraintError;com.sovworks.eds.luks.VolumeLayout;java.util.List getSupportedHashFuncs();violating CrySL rule for java.security.MessageDigest (on Object #f8d31c8dd1ec029fb00fb37912bbb6dd7b96d41da9d8b005860fca00d3ec928d);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer28518)
