ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;c.c.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r11.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r8, varReplacer4636)
ConstraintError;c.c.a.b.b;void <init>(android.content.Context);violating CrySL rule for javax.crypto.Cipher (on Object #bcb01b1da43f65cb29d68656c6c26a29abf77a2326b42fc8caeda8611f1fcd68);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r7 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer4628)
RequiredPredicateError;c.c.a.b.b;byte[] a(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r4.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
RequiredPredicateError;c.c.a.b.b;byte[] b(byte[]);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r3.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r2)
IncompleteOperationError;c.c.a.a$b;void run();violating CrySL rule for javax.crypto.Cipher (on Object #bcb01b1da43f65cb29d68656c6c26a29abf77a2326b42fc8caeda8611f1fcd68);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;staticinvoke <c.c.a.a: void a(c.c.a.a)>($r1)
ConstraintError;c.c.a.b.a;void b(android.content.Context);violating CrySL rule for java.security.KeyStore (on Object #4607c9ca0bcd3cd848fe292f61e4e5d15f131b5a2c4587732eaa534f6f3f0a85);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer7423)
ConstraintError;c.c.a.b.a;java.security.PrivateKey a();violating CrySL rule for java.security.KeyStore (on Object #6c62c1be725d18cb6224a25cbed7a7e3fec988b90e1c9560ee20fff8a0e0160f);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer7428)
TypestateError;c.c.a.b.a;byte[] a(java.security.Key);violating CrySL rule for javax.crypto.Cipher (on Object #a4c4fe089c9174bf90d0ec939450cc567ea31818771e8661517edd4fb80d6507);Unexpected call to method wrap on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r4 = virtualinvoke $r3.<javax.crypto.Cipher: byte[] wrap(java.security.Key)>($r1)
RequiredPredicateError;c.c.a.b.a;byte[] a(java.security.Key);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer5754, $r2)
ConstraintError;c.c.a.b.a;java.security.PublicKey b();violating CrySL rule for java.security.KeyStore (on Object #dc1e41ecf5fc81b26a0297f8508b509f030568bb14ff9e89e9b9ff540e07db2c);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer7432)
RequiredPredicateError;c.c.a.b.a;void a(android.content.Context);violating CrySL rule for java.security.KeyPairGenerator ;First parameter was not properly generated as prepared R S A;virtualinvoke $r7.<java.security.KeyPairGenerator: void initialize(java.security.spec.AlgorithmParameterSpec)>($r24)
