ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.Ticker getTicker(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #c5fd9438b87cc9df133129b4c91132a4e0239aed362171f5fe4138c5a89c05d7);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.Ticker getTicker(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Mac (on Object #6a9d8558f48ab8a266b340a4955f5e2c7d77889d61f2b3da89e7b6df396d602e);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.Ticker getTicker(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Mac (on Object #161d6368cbf00ad0028a28a76a32d2d96f56b4ef00d15fd850b1fabe9ba40520);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.Ticker getTicker(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Mac (on Object #8b8ab95495a99f9074df017385bf92ac97ab9c3420a316f6257d06a1840fe796);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.Ticker getTicker(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Mac (on Object #56f16e828cc0b062a1d0ac89af5bc7bf9dc251c07bc74127c1a43593069d670f);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.Ticker getTicker(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Mac (on Object #b2b485473a165beb73734a47da9d922aeb93b7f0ddd7eb40a0bfd69592cc11c6);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.OrderBook getOrderBook(java.lang.String,java.lang.String,java.lang.Object[]);violating CrySL rule for java.security.MessageDigest (on Object #c5fd9438b87cc9df133129b4c91132a4e0239aed362171f5fe4138c5a89c05d7);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.OrderBook getOrderBook(java.lang.String,java.lang.String,java.lang.Object[]);violating CrySL rule for javax.crypto.Mac (on Object #6a9d8558f48ab8a266b340a4955f5e2c7d77889d61f2b3da89e7b6df396d602e);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.OrderBook getOrderBook(java.lang.String,java.lang.String,java.lang.Object[]);violating CrySL rule for javax.crypto.Mac (on Object #161d6368cbf00ad0028a28a76a32d2d96f56b4ef00d15fd850b1fabe9ba40520);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.OrderBook getOrderBook(java.lang.String,java.lang.String,java.lang.Object[]);violating CrySL rule for javax.crypto.Mac (on Object #8b8ab95495a99f9074df017385bf92ac97ab9c3420a316f6257d06a1840fe796);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.OrderBook getOrderBook(java.lang.String,java.lang.String,java.lang.Object[]);violating CrySL rule for javax.crypto.Mac (on Object #56f16e828cc0b062a1d0ac89af5bc7bf9dc251c07bc74127c1a43593069d670f);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.OrderBook getOrderBook(java.lang.String,java.lang.String,java.lang.Object[]);violating CrySL rule for javax.crypto.Mac (on Object #b2b485473a165beb73734a47da9d922aeb93b7f0ddd7eb40a0bfd69592cc11c6);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.Trades getTrades(java.lang.String,java.lang.String,java.lang.Object[]);violating CrySL rule for javax.crypto.Mac (on Object #6a9d8558f48ab8a266b340a4955f5e2c7d77889d61f2b3da89e7b6df396d602e);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
IncompleteOperationError;com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService;com.xeiam.xchange.dto.marketdata.Trades getTrades(java.lang.String,java.lang.String,java.lang.Object[]);violating CrySL rule for javax.crypto.Mac (on Object #161d6368cbf00ad0028a28a76a32d2d96f56b4ef00d15fd850b1fabe9ba40520);Operation on object of type javax.crypto.Mac object not completed. Expected call to update, doFinal;specialinvoke r0.<com.xeiam.xchange.kraken.service.polling.KrakenPollingMarketDataService: void verify(java.lang.String,java.lang.String)>($r1, $r2)
