ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #3a4205b58c03884b3d2a6e69c68b0e286cf240b6f00bd151363e76563f8fdb40);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer4710)
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer4709, $r5)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #3a1ccb620e1b80d26fe04fc2c016a1d3b6294329934e608c2fab3142eb2bce57);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer4715)
ConstraintError;androidx.security.crypto.MasterKey;boolean isKeyStoreBacked();violating CrySL rule for java.security.KeyStore (on Object #182d93c6e49776f354bc58421b70ca856a24c2b8fdc8bc96b8796db9cdcdef53);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r5 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer11307)
RequiredPredicateError;com.yogeshpaliyal.keypass.db_helper.EncryptionHelper;java.lang.String doCryptoDecrypt(java.lang.String,java.io.InputStream);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r7.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer14593, $r6, $r9)
NeverTypeOfError;com.yogeshpaliyal.keypass.db_helper.EncryptionHelper;java.lang.String doCryptoDecrypt(java.lang.String,java.io.InputStream);violating CrySL rule for javax.crypto.spec.SecretKeySpec (on Object #600483edd25d086cab1363c7b3aa3a467b5736435334f79abde78e14758a4c08);First parameter should never be of type java.lang.String.;specialinvoke $r4.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r5, varReplacer14587)
RequiredPredicateError;com.yogeshpaliyal.keypass.db_helper.EncryptionHelper;java.lang.String doCryptoDecrypt(java.lang.String,java.io.InputStream);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r4.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r5, varReplacer14587)
IncompleteOperationError;com.yogeshpaliyal.keypass.db_helper.EncryptionHelper;java.lang.String doCryptoDecrypt(java.lang.String,java.io.InputStream);violating CrySL rule for javax.crypto.CipherInputStream (on Object #70182f751d64b42c589a1fe9ef1a131303124440c97682169e8c77e0586fd8e5);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;staticinvoke <kotlin.io.CloseableKt: void closeFinally(java.io.Closeable,java.lang.Throwable)>($r12, varReplacer14595)
RequiredPredicateError;com.yogeshpaliyal.keypass.db_helper.EncryptionHelper;java.lang.String doCryptoDecrypt(java.lang.String,java.io.InputStream);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r8.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r5)
RequiredPredicateError;com.yogeshpaliyal.keypass.db_helper.EncryptionHelper;void doCryptoEncrypt(java.lang.String,java.lang.String,java.io.OutputStream);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r9.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r6)
