ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.SSLContext createContext(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.SSLContext (on Object #4b05176adcdb6f967be8edbc09fc31fe3f31b7181b4796854b2c6a6af100f28a);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>($r2)
RequiredPredicateError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.SSLContext createContext(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r7, $r8, $r9)
ConstraintError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.SSLContext createContext(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.SSLContext (on Object #9cf5b9eb0d00e4ce6f1071ec47de6112d134fc8f8819401c38af69fb0d85bbf9);First parameter (with value "SSL") should be any of {TLSv1.2, TLSv1.3};$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.lang.String)>($r2, $r3)
RequiredPredicateError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.SSLContext createContext(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r4.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r7, $r8, $r9)
NeverTypeOfError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.KeyManager[] createKeyManagers(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #10326ce1ab2bfe82b1f8d7575df33991371e7f8fcb954583e871168e3c0d571f);Second parameter should never be of type java.lang.String.;virtualinvoke $r8.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r3, $r9)
HardCodedError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.KeyManager[] createKeyManagers(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #10326ce1ab2bfe82b1f8d7575df33991371e7f8fcb954583e871168e3c0d571f);Second parameter should never be hardcoded.;virtualinvoke $r8.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r3, $r9)
RequiredPredicateError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.KeyManager[] createKeyManagers(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.KeyManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r8.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r3, $r9)
RequiredPredicateError;ch.qos.logback.core.net.ssl.SSLContextFactoryBean;javax.net.ssl.TrustManager[] createTrustManagers(ch.qos.logback.core.spi.ContextAware);violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r8.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>($r3)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #c67a58db466f44792924e383c9800713831ce853e3ca81f3580a8d50f581e617);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r22 = staticinvoke <org.bouncycastle.asn1.x509.BasicConstraints: org.bouncycastle.asn1.x509.BasicConstraints getInstance(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #17ea506228f5dc57471137e0b695352a3774e9c7e597031eeeb9157ef0e2b937);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r22 = staticinvoke <org.bouncycastle.asn1.x509.BasicConstraints: org.bouncycastle.asn1.x509.BasicConstraints getInstance(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #9cdde17292729ed12e67e00ef32f20bc0ba0a50cc823d5bcab3268462fa45fcd);Operation on object of type org.bouncycastle.jcajce.spec.DHDomainParameterSpec object not completed. Expected call to init;$r22 = staticinvoke <org.bouncycastle.asn1.x509.BasicConstraints: org.bouncycastle.asn1.x509.BasicConstraints getInstance(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for java.security.spec.DSAParameterSpec (on Object #ca8c57f00e636666523b3803cf2d449c7668aea2653306a5d436a81914fd7df0);Operation on object of type java.security.spec.DSAParameterSpec object not completed. Expected call to init;$r22 = staticinvoke <org.bouncycastle.asn1.x509.BasicConstraints: org.bouncycastle.asn1.x509.BasicConstraints getInstance(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for java.security.spec.DSAParameterSpec (on Object #ca8c57f00e636666523b3803cf2d449c7668aea2653306a5d436a81914fd7df0);Operation on object of type java.security.spec.DSAParameterSpec object not completed. Expected call to init;$r24 = staticinvoke <org.bouncycastle.asn1.x509.KeyUsage: org.bouncycastle.asn1.x509.KeyUsage getInstance(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for java.security.spec.DSAParameterSpec (on Object #ca8c57f00e636666523b3803cf2d449c7668aea2653306a5d436a81914fd7df0);Operation on object of type java.security.spec.DSAParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for java.security.spec.DSAParameterSpec (on Object #ca8c57f00e636666523b3803cf2d449c7668aea2653306a5d436a81914fd7df0);Operation on object of type java.security.spec.DSAParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for java.security.spec.DSAParameterSpec (on Object #ca8c57f00e636666523b3803cf2d449c7668aea2653306a5d436a81914fd7df0);Operation on object of type java.security.spec.DSAParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #c67a58db466f44792924e383c9800713831ce853e3ca81f3580a8d50f581e617);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r24 = staticinvoke <org.bouncycastle.asn1.x509.KeyUsage: org.bouncycastle.asn1.x509.KeyUsage getInstance(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #17ea506228f5dc57471137e0b695352a3774e9c7e597031eeeb9157ef0e2b937);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r24 = staticinvoke <org.bouncycastle.asn1.x509.KeyUsage: org.bouncycastle.asn1.x509.KeyUsage getInstance(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #9cdde17292729ed12e67e00ef32f20bc0ba0a50cc823d5bcab3268462fa45fcd);Operation on object of type org.bouncycastle.jcajce.spec.DHDomainParameterSpec object not completed. Expected call to init;$r24 = staticinvoke <org.bouncycastle.asn1.x509.KeyUsage: org.bouncycastle.asn1.x509.KeyUsage getInstance(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #c67a58db466f44792924e383c9800713831ce853e3ca81f3580a8d50f581e617);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for java.security.spec.DSAParameterSpec (on Object #ca8c57f00e636666523b3803cf2d449c7668aea2653306a5d436a81914fd7df0);Operation on object of type java.security.spec.DSAParameterSpec object not completed. Expected call to init;$r9 = staticinvoke <org.bouncycastle.asn1.util.ASN1Dump: java.lang.String dumpAsString(java.lang.Object)>($r21)
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #c67a58db466f44792924e383c9800713831ce853e3ca81f3580a8d50f581e617);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #c67a58db466f44792924e383c9800713831ce853e3ca81f3580a8d50f581e617);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #17ea506228f5dc57471137e0b695352a3774e9c7e597031eeeb9157ef0e2b937);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #17ea506228f5dc57471137e0b695352a3774e9c7e597031eeeb9157ef0e2b937);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
IncompleteOperationError;org.bouncycastle.jce.provider.X509CertificateObject;java.lang.String toString();violating CrySL rule for javax.crypto.spec.DHParameterSpec (on Object #17ea506228f5dc57471137e0b695352a3774e9c7e597031eeeb9157ef0e2b937);Operation on object of type javax.crypto.spec.DHParameterSpec object not completed. Expected call to init;$r21 = virtualinvoke $r2.<org.bouncycastle.asn1.ASN1InputStream: org.bouncycastle.asn1.ASN1Primitive readObject()>()
