ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;eu.faircode.email.Helper;java.lang.String getFingerprint(android.content.Context,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ec3e37c0fccc79698b1a9621a9eda3c8147f4ec83ad64253fb4d3e396c898171);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r8 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;eu.faircode.email.Helper;java.lang.String sha(java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #a5ad59de87c55f00068580a650c0490c802ded29c1a164435f49e47b4c54a263);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;eu.faircode.email.Helper;java.lang.String sha(java.lang.String,byte[]);violating CrySL rule for java.security.MessageDigest (on Object #a5ad59de87c55f00068580a650c0490c802ded29c1a164435f49e47b4c54a263);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
TypestateError;eu.faircode.email.Helper;java.lang.String getHash(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #9cd798375e962942ed12340804ee04740681f7de944550f81fd8d43b1ef583b2);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r3 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;eu.faircode.email.ImageHelper;byte[] getHash(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ee99f85415f0f7cabce17aa95dfa282569867c2d3a5d9e61d57313ecb650b543);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer13249)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #f1bca4215fa9443b4915d9a7865146acff368fe66aedc7a460be0c92b39dbb7f);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer31581)
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer31583, $r5)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #dcc2ee938c537e0c15bbe5f7db7e1c14fd64696e345512473faee8d4767a8f55);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer31586)
RequiredPredicateError;eu.faircode.email.FragmentMessages$124;java.security.cert.X509Certificate onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for java.security.cert.PKIXBuilderParameters ;First parameter was not properly generated as generated Key Store;specialinvoke $r84.<java.security.cert.PKIXBuilderParameters: void <init>(java.security.KeyStore,java.security.cert.CertSelector)>($r69, $r71)
ConstraintError;eu.faircode.email.FragmentMessages$124;java.security.cert.X509Certificate onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for java.security.KeyStore (on Object #644397e910d3c4499e3569e13b6f7c9348bf7747460069a69391cafd48ab0fc2);First parameter (with value "AndroidCAStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r69 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer37022)
ConstraintError;eu.faircode.email.FragmentOptionsEncryption$19$1;java.util.List onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for java.security.KeyStore (on Object #f3c131985768c227dccffcedd9b1113fd54244f0445a96f23f7e7b595c95243b);First parameter (with value "AndroidCAStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r3 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer37501)
RequiredPredicateError;eu.faircode.email.Log;android.text.SpannableStringBuilder getCiphers();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r6.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer38200)
RequiredPredicateError;eu.faircode.email.Log;android.text.SpannableStringBuilder getCiphers();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r11.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer38207, $r8, varReplacer38207)
TypestateError;eu.faircode.email.Log;android.text.SpannableStringBuilder getCiphers();violating CrySL rule for javax.net.ssl.TrustManagerFactory (on Object #c493e23f8baacbab0bc4f3e0796870f845dee48108aa3210f6a7b216d69e251e);Unexpected call to method getTrustManagers on object of type javax.net.ssl.TrustManagerFactory.;$r8 = virtualinvoke $r6.<javax.net.ssl.TrustManagerFactory: javax.net.ssl.TrustManager[] getTrustManagers()>()
RequiredPredicateError;eu.faircode.email.Log;android.text.SpannableStringBuilder getCiphers();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r11.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer38207, $r8, varReplacer38207)
RequiredPredicateError;eu.faircode.email.Log;android.text.SpannableStringBuilder getCiphers();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r11.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer38207, $r8, varReplacer38207)
IncompleteOperationError;eu.faircode.email.ActivitySetup$19;java.lang.Void onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for javax.crypto.CipherOutputStream (on Object #8a68caf13c53cd094d362e642d47f0260082f9974abee174cc17e29bb2b076ee);Operation on object of type javax.crypto.CipherOutputStream object not completed. Expected call to close;virtualinvoke $r60.<java.io.OutputStream: void flush()>()
RequiredPredicateError;eu.faircode.email.ActivitySetup$19;java.lang.Void onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r58 = virtualinvoke $r55.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r56)
NeverTypeOfError;eu.faircode.email.ActivitySetup$19;java.lang.Void onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #3ba5da1012354e1e3020ef2f9d016f5efbbd2aa002db5f8929d0f1c4519f0d03);First parameter should never be of type java.lang.String.;specialinvoke $r56.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r57, $r53, varReplacer38276, varReplacer38277)
HardCodedError;eu.faircode.email.ActivitySetup$19;java.lang.Void onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #3ba5da1012354e1e3020ef2f9d016f5efbbd2aa002db5f8929d0f1c4519f0d03);First parameter should never be hardcoded.;specialinvoke $r56.<javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>($r57, $r53, varReplacer38276, varReplacer38277)
IncompleteOperationError;eu.faircode.email.ActivitySetup$19;java.lang.Void onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for javax.crypto.spec.PBEKeySpec (on Object #3ba5da1012354e1e3020ef2f9d016f5efbbd2aa002db5f8929d0f1c4519f0d03);Operation on object of type javax.crypto.spec.PBEKeySpec object not completed. Expected call to clearPassword;$r58 = virtualinvoke $r55.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r56)
TypestateError;eu.faircode.email.ActivitySetup$19;java.lang.Void onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for javax.crypto.Cipher (on Object #2ef0554b8efa195bcfaa5b59e31607bdce75c2d2223603c2fe964f816377a74e);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r53 = virtualinvoke $r59.<javax.crypto.Cipher: byte[] doFinal()>()
RequiredPredicateError;eu.faircode.email.ActivitySetup$19;java.lang.Void onExecute(android.content.Context,android.os.Bundle);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r59.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer38269, $r58)
