ErrorType;Class;Method;ViolatedRule;Object;Statement
TypestateError;org.spongycastle.x509.AttributeCertificateHolder;boolean match(java.security.cert.Certificate);violating CrySL rule for java.security.MessageDigest (on Object #3053d24ecf1e7b7271592f1ce79d6a744b59856e6472f045ed32f7bb4d668ce2);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r16 = virtualinvoke $r15.<java.security.MessageDigest: byte[] digest()>()
HardCodedError;org.monora.uprotocol.core.persistence.PersistenceProvider$-CC;javax.net.ssl.SSLContext $default$getSSLContextFor(org.monora.uprotocol.core.persistence.PersistenceProvider,org.monora.uprotocol.core.protocol.Client);violating CrySL rule for javax.net.ssl.KeyManagerFactory (on Object #f02a7fc9a2486f8b56add41bc51d9a8ad0bf2992d98ea5f42691c2b1c520fc80);Second parameter should never be hardcoded.;virtualinvoke $r8.<javax.net.ssl.KeyManagerFactory: void init(java.security.KeyStore,char[])>($r6, $r4)
RequiredPredicateError;org.monora.uprotocol.core.persistence.PersistenceProvider$-CC;javax.net.ssl.SSLContext $default$getSSLContextFor(org.monora.uprotocol.core.persistence.PersistenceProvider,org.monora.uprotocol.core.protocol.Client);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r12.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>($r13, $r11, $r14)
IncompleteOperationError;org.spongycastle.cert.jcajce.JcaX509CertificateConverter;java.security.cert.X509Certificate getCertificate(org.spongycastle.cert.X509CertificateHolder);violating CrySL rule for java.security.cert.CertificateFactory (on Object #f8fbf85b40c81fe63a566f3acad5c05c9b245103f283f549e11ae2fb09219e7b);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r6 = virtualinvoke $r3.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r4)
IncompleteOperationError;org.spongycastle.cert.jcajce.JcaX509CertificateConverter;java.security.cert.X509Certificate getCertificate(org.spongycastle.cert.X509CertificateHolder);violating CrySL rule for java.security.cert.CertificateFactory (on Object #7af7af102744f29108e79384d9ad966c7cdb212255b7ad669bab054a7fd5a599);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r6 = virtualinvoke $r3.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r4)
IncompleteOperationError;org.spongycastle.cert.jcajce.JcaX509CertificateConverter;java.security.cert.X509Certificate getCertificate(org.spongycastle.cert.X509CertificateHolder);violating CrySL rule for java.security.cert.CertificateFactory (on Object #6d3ec0a71779c0e723ed502888987ff1a41ed16ed17219921981d9d289d341c2);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r6 = virtualinvoke $r3.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r4)
TypestateError;org.spongycastle.operator.jcajce.JcaContentSignerBuilder$SignatureOutputStream;byte[] getSignature();violating CrySL rule for java.security.Signature (on Object #cb6dbedb66709ff933343a7a19443259032632b9744c262530a2bb4dc73beae9);Unexpected call to method sign on object of type java.security.Signature. Expect a call to one of the following methods initSign,update;$r1 = virtualinvoke $r2.<java.security.Signature: byte[] sign()>()
TypestateError;org.spongycastle.operator.jcajce.JcaContentSignerBuilder$SignatureOutputStream;byte[] getSignature();violating CrySL rule for java.security.Signature (on Object #66f26381b2b186fbed59de5f1091ee81e1ff14794fdb45154aac9feab8965356);Unexpected call to method sign on object of type java.security.Signature. Expect a call to one of the following methods initSign,update;$r1 = virtualinvoke $r2.<java.security.Signature: byte[] sign()>()
TypestateError;org.spongycastle.operator.jcajce.JcaContentSignerBuilder$SignatureOutputStream;byte[] getSignature();violating CrySL rule for java.security.Signature (on Object #14ead5b41e52dcc0971ab3bbf6947b9738bc0cfa14d4e782ddd7a129f6301c26);Unexpected call to method sign on object of type java.security.Signature. Expect a call to one of the following methods initSign,update;$r1 = virtualinvoke $r2.<java.security.Signature: byte[] sign()>()
IncompleteOperationError;org.apache.commons.io.output.WriterOutputStream;void processInput(boolean);violating CrySL rule for java.security.Signature (on Object #cb6dbedb66709ff933343a7a19443259032632b9744c262530a2bb4dc73beae9);Operation on object of type java.security.Signature object not completed. Expected call to update;specialinvoke r0.<org.apache.commons.io.output.WriterOutputStream: void flushOutput()>()
