ErrorType;Class;Method;ViolatedRule;Object;Statement
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #1f1855c29b7980c2714e06a8345afb41011d0a413996654b98be5f9996cbc659);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r4.<java.security.DigestInputStream: void <init>(java.io.InputStream,java.security.MessageDigest)>($r1, $r3)
ForbiddenMethodError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream ;Detected call to forbidden method void on(boolean) of class java.security.DigestInputStream;virtualinvoke $r4.<java.security.DigestInputStream: void on(boolean)>(varReplacer15913)
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream (on Object #28802cc4f7ab2dacc6d53af54dfbb63b1acb9faa97d8a5c58b7af74a1387b37b);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r4.<java.security.DigestInputStream: void on(boolean)>(varReplacer15914)
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.DigestInputStream (on Object #28802cc4f7ab2dacc6d53af54dfbb63b1acb9faa97d8a5c58b7af74a1387b37b);Operation on object of type java.security.DigestInputStream object not completed. Expected call to read;virtualinvoke $r4.<java.security.DigestInputStream: void on(boolean)>(varReplacer15913)
TypestateError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #1f1855c29b7980c2714e06a8345afb41011d0a413996654b98be5f9996cbc659);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r6 = virtualinvoke $r3.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;org.bitcoinj.core.CheckpointManager;org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream);violating CrySL rule for java.security.MessageDigest (on Object #f4e887286d0504cb5722b1da9a4eac06d6ea434977af7216dbf1f6217c285838);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r4 = interfaceinvoke $r3.<com.google.common.hash.HashFunction: com.google.common.hash.Hasher newHasher()>()
TypestateError;org.bitcoinj.crypto.MnemonicCode;void <init>(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #1f1855c29b7980c2714e06a8345afb41011d0a413996654b98be5f9996cbc659);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r11 = virtualinvoke $r9.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;org.bitcoinj.crypto.MnemonicCode;void <init>(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #1f1855c29b7980c2714e06a8345afb41011d0a413996654b98be5f9996cbc659);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, java.security.MessageDigest: void update(byte[],int,int), java.security.MessageDigest: void update(java.nio.ByteBuffer), java.security.MessageDigest: void update(byte[]), java.security.MessageDigest: void update(byte);virtualinvoke $r9.<java.security.MessageDigest: void update(byte[])>($r11)
IncompleteOperationError;org.bitcoinj.crypto.MnemonicCode;void <init>(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #1f1855c29b7980c2714e06a8345afb41011d0a413996654b98be5f9996cbc659);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r9 = staticinvoke <org.bitcoinj.core.Sha256Hash: java.security.MessageDigest newDigest()>()
IncompleteOperationError;org.bitcoinj.crypto.MnemonicCode;void <init>(java.io.InputStream,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #1f1855c29b7980c2714e06a8345afb41011d0a413996654b98be5f9996cbc659);Operation on object of type java.security.MessageDigest object not completed. Expected call to java.security.MessageDigest: int digest(byte[],int,int), update, java.security.MessageDigest: byte[] digest(), java.security.MessageDigest: byte[] digest(byte[]);$r11 = virtualinvoke $r9.<java.security.MessageDigest: byte[] digest()>()
