ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;qd.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer18852, $r6, varReplacer18852)
RequiredPredicateError;qd.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer18852, $r6, varReplacer18852)
ConstraintError;qd.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext (on Object #cd6b9888935fd71884a9fb40244e3194d493080ae814596e1145c41dd243e2f3);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer18851, $r2)
RequiredPredicateError;qd.d;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r3.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer18852, $r6, varReplacer18852)
ConstraintError;qd.d;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #47713d7f90dfc606039580811001d3b80285f4f2da000d81b0a3718bc2fc1644);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer26575, $r2)
RequiredPredicateError;qd.d;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer18842)
ConstraintError;com.google.android.exoplayer2.source.rtsp.c;java.lang.String a(com.google.android.exoplayer2.source.rtsp.h$a,android.net.Uri,int);violating CrySL rule for java.security.MessageDigest (on Object #b22a429e518a72687494b9d150bb927e2071b91dba089a1e330bb01b8c09112f);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r3 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer20810)
RequiredPredicateError;b6.a;long a(s6.m);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r1.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer25879, $r3, $r5)
RequiredPredicateError;b6.a;long a(s6.m);violating CrySL rule for javax.crypto.spec.IvParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r5.<javax.crypto.spec.IvParameterSpec: void <init>(byte[])>($r4)
ConstraintError;b6.a;long a(s6.m);violating CrySL rule for javax.crypto.Cipher (on Object #d8e01f24850b1e117575a1eded197601969e76cc095ed5b49c6177052b533ece);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer25877)
RequiredPredicateError;b6.a;long a(s6.m);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>($r4, varReplacer25876)
IncompleteOperationError;s6.g0;long a(s6.m);violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;$l0 = interfaceinvoke $r4.<s6.j: long a(s6.m)>($r1)
IncompleteOperationError;s6.d0;void a();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;interfaceinvoke $r4.<s6.j: long a(s6.m)>($r3)
IncompleteOperationError;b6.j;z4.e h(s6.j,s6.m,boolean);violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;specialinvoke $r50.<z4.e: void <init>(s6.h,long,long)>($r5, $l3, $l0)
IncompleteOperationError;b6.j;z4.e h(s6.j,s6.m,boolean);violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;specialinvoke $r50.<z4.e: void <init>(s6.h,long,long)>($r5, $l3, $l0)
IncompleteOperationError;b6.j;void a();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<b6.j: void e(s6.j,s6.m,boolean,boolean)>($r7, $r6, $z0, varReplacer23582)
IncompleteOperationError;b6.j;void a();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<b6.j: void e(s6.j,s6.m,boolean,boolean)>($r5, $r6, $z0, varReplacer23579)
IncompleteOperationError;s6.u;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
IncompleteOperationError;s6.r;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
IncompleteOperationError;s6.r;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.r: void x()>()
IncompleteOperationError;s6.c;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
IncompleteOperationError;s6.g;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
IncompleteOperationError;s6.g;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
IncompleteOperationError;s6.g;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
IncompleteOperationError;s6.q;long a(s6.m);violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;$l1 = interfaceinvoke $r3.<s6.j: long a(s6.m)>($r2)
IncompleteOperationError;s6.e0;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
IncompleteOperationError;s6.e0;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
IncompleteOperationError;s6.e0;void close();violating CrySL rule for javax.crypto.CipherInputStream (on Object #1a0c0307366e5cbeda862b08cc66609f8f60ddf51d5e492b2b092af48135b523);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read;virtualinvoke r0.<s6.f: void u()>()
ConstraintError;qd.h;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #7db4d46f9516fd080c34ccfaa527ac3c2b13bba5cbd7ae59d4bbd5a370c5d9b7);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer26570)
RequiredPredicateError;qd.h;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r2.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer18828)
RequiredPredicateError;qd.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer18846, $r8, varReplacer18846)
RequiredPredicateError;qd.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer18846, $r8, varReplacer18846)
RequiredPredicateError;qd.h;javax.net.ssl.SSLSocketFactory m(javax.net.ssl.X509TrustManager);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r2.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer18846, $r8, varReplacer18846)
ConstraintError;qd.c;javax.net.ssl.SSLContext l();violating CrySL rule for javax.net.ssl.SSLContext (on Object #a67d87dc770c043d91e294b372763167c12d47cd67dc3d7bc6f4c17b58c92e7b);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer26573, $r2)
RequiredPredicateError;qd.c;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r1.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer18835)
TypestateError;vd.w;vd.i b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #4684d722c445c526b89de03be28f87b20622ff783b74ce7d5359616fafcc667b);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r5 = virtualinvoke $r2.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;vd.w;vd.i b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #4684d722c445c526b89de03be28f87b20622ff783b74ce7d5359616fafcc667b);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;vd.w;vd.i b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #4684d722c445c526b89de03be28f87b20622ff783b74ce7d5359616fafcc667b);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;vd.i;vd.i b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #db8111cfe1cb19a58bc8d319a7cd4a9344a301370e9f2bb2b54e7c7a953b1deb);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;vd.i;vd.i b(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #db8111cfe1cb19a58bc8d319a7cd4a9344a301370e9f2bb2b54e7c7a953b1deb);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
IncompleteOperationError;d3.k;d3.v b(com.bumptech.glide.load.data.e,int,int,b3.i,java.util.List);violating CrySL rule for java.security.MessageDigest (on Object #b696f76d1899556e26f8d5002ad028d13ad2e8fec20176cc7dde36eb1cb4fd1b);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;specialinvoke $r12.<java.util.ArrayList: void <init>(java.util.Collection)>($r2)
IncompleteOperationError;d3.k;d3.v a(com.bumptech.glide.load.data.e,int,int,b3.i,d3.k$a);violating CrySL rule for java.security.MessageDigest (on Object #b696f76d1899556e26f8d5002ad028d13ad2e8fec20176cc7dde36eb1cb4fd1b);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;interfaceinvoke $r5.<o0.e: boolean a(java.lang.Object)>($r7)
IncompleteOperationError;gd.c$c;java.util.List a(vd.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #3901a4bce0fb9a7ad477feae9841f0f418de3984b88704dbc41a147beb913339);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCRL, java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream);$r11 = virtualinvoke $r6.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r10)
TypestateError;gd.c$c;java.util.List a(vd.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #3901a4bce0fb9a7ad477feae9841f0f418de3984b88704dbc41a147beb913339);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r11 = virtualinvoke $r6.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r10)
IncompleteOperationError;gd.c$c;java.util.List a(vd.h);violating CrySL rule for java.security.cert.CertificateFactory (on Object #3901a4bce0fb9a7ad477feae9841f0f418de3984b88704dbc41a147beb913339);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r6 = staticinvoke <java.security.cert.CertificateFactory: java.security.cert.CertificateFactory getInstance(java.lang.String)>(varReplacer50344)
TypestateError;org.conscrypt.SSLUtils;java.security.cert.X509Certificate decodeX509Certificate(java.security.cert.CertificateFactory,byte[]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #1eae7352f3a271f5281fe5e9c18a90c5a0dc23d09cdd47332976f97a0f1b88e0);Unexpected call to method generateCertificate on object of type java.security.cert.CertificateFactory. Expect a call to one of the following methods generateCRL;$r3 = virtualinvoke $r2.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r1)
IncompleteOperationError;org.conscrypt.SSLUtils;java.security.cert.X509Certificate[] decodeX509CertificateChain(byte[][]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #1eae7352f3a271f5281fe5e9c18a90c5a0dc23d09cdd47332976f97a0f1b88e0);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r4 = staticinvoke <org.conscrypt.SSLUtils: java.security.cert.X509Certificate decodeX509Certificate(java.security.cert.CertificateFactory,byte[])>($r2, $r3)
IncompleteOperationError;org.conscrypt.SSLUtils;java.security.cert.X509Certificate[] decodeX509CertificateChain(byte[][]);violating CrySL rule for java.security.cert.CertificateFactory (on Object #1eae7352f3a271f5281fe5e9c18a90c5a0dc23d09cdd47332976f97a0f1b88e0);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCertPath, generateCertificate, generateCRL;$r2 = staticinvoke <org.conscrypt.SSLUtils: java.security.cert.CertificateFactory getCertificateFactory()>()
RequiredPredicateError;org.conscrypt.OpenSSLX509Certificate;java.security.PublicKey getPublicKey();violating CrySL rule for java.security.KeyFactory ;First parameter was not properly generated as specced Key;$r7 = virtualinvoke $r10.<java.security.KeyFactory: java.security.PublicKey generatePublic(java.security.spec.KeySpec)>($r1)
RequiredPredicateError;org.conscrypt.OpenSSLX509Certificate;java.security.PublicKey getPublicKey();violating CrySL rule for java.security.spec.X509EncodedKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r1.<java.security.spec.X509EncodedKeySpec: void <init>(byte[])>($r9)
RequiredPredicateError;org.conscrypt.OpenSSLX509Certificate;void verifyInternal(java.security.PublicKey,java.lang.String);violating CrySL rule for java.security.Signature ;First parameter was not properly generated as generated Pubkey;virtualinvoke $r3.<java.security.Signature: void initVerify(java.security.PublicKey)>($r1)
RequiredPredicateError;qd.g;javax.net.ssl.X509TrustManager n();violating CrySL rule for javax.net.ssl.TrustManagerFactory ;First parameter was not properly generated as generated Key Store;virtualinvoke $r3.<javax.net.ssl.TrustManagerFactory: void init(java.security.KeyStore)>(varReplacer18840)
