ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;kellinwood.security.zipsigner.ZipSigner;java.security.spec.KeySpec decryptPrivateKey(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Third parameter was not properly generated as prepared Alg;virtualinvoke $r9.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.AlgorithmParameters)>(varReplacer51097, $r8, $r10)
ForbiddenMethodError;kellinwood.security.zipsigner.ZipSigner;java.security.spec.KeySpec decryptPrivateKey(byte[],java.lang.String);violating CrySL rule for javax.crypto.spec.PBEKeySpec ;Detected call to forbidden method void <init>(char[]) of class javax.crypto.spec.PBEKeySpec. Instead, call method <javax.crypto.spec.PBEKeySpec: void <init>(char[],byte[],int,int)>.;specialinvoke $r7.<javax.crypto.spec.PBEKeySpec: void <init>(char[])>($r5)
RequiredPredicateError;kellinwood.security.zipsigner.ZipSigner;java.security.spec.KeySpec decryptPrivateKey(byte[],java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r9.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.AlgorithmParameters)>(varReplacer51097, $r8, $r10)
RequiredPredicateError;kellinwood.security.zipsigner.ZipSigner;java.security.spec.KeySpec decryptPrivateKey(byte[],java.lang.String);violating CrySL rule for javax.crypto.SecretKeyFactory ;First parameter was not properly generated as specced Key;$r8 = virtualinvoke $r6.<javax.crypto.SecretKeyFactory: javax.crypto.SecretKey generateSecret(java.security.spec.KeySpec)>($r7)
IncompleteOperationError;kellinwood.security.zipsigner.ZipSigner;java.lang.String autoDetectKey(java.lang.String,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #d0b96b9b8396ea1c4efcf46e93a8022de7efe043119a25179ce03cfe54ed9fa7);Operation on object of type java.security.MessageDigest object not completed. Expected call to digest, update;$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer45932)
IncompleteOperationError;kellinwood.security.zipsigner.ZipSigner;java.lang.String autoDetectKey(java.lang.String,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #d0b96b9b8396ea1c4efcf46e93a8022de7efe043119a25179ce03cfe54ed9fa7);Operation on object of type java.security.MessageDigest object not completed. Expected call to update, java.security.MessageDigest: byte[] digest(byte[]);$r12 = virtualinvoke $r10.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;kellinwood.security.zipsigner.ZipSigner;java.lang.String autoDetectKey(java.lang.String,java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #d0b96b9b8396ea1c4efcf46e93a8022de7efe043119a25179ce03cfe54ed9fa7);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r10 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer45932)
TypestateError;kellinwood.security.zipsigner.ZipSigner;java.util.jar.Manifest addDigestsToManifest(java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #404e534d099779f72c6a2d610372aa0fc4b111717996f0b21a90cda32a2bd3ae);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte),java.security.MessageDigest: void update(byte[]);$r23 = virtualinvoke $r11.<java.security.MessageDigest: byte[] digest()>()
IncompleteOperationError;kellinwood.security.zipsigner.ZipSigner;java.util.jar.Manifest addDigestsToManifest(java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #404e534d099779f72c6a2d610372aa0fc4b111717996f0b21a90cda32a2bd3ae);Operation on object of type java.security.MessageDigest object not completed. Expected call to update, java.security.MessageDigest: byte[] digest(byte[]);$r23 = virtualinvoke $r11.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;kellinwood.security.zipsigner.ZipSigner;java.util.jar.Manifest addDigestsToManifest(java.util.Map);violating CrySL rule for java.security.MessageDigest (on Object #404e534d099779f72c6a2d610372aa0fc4b111717996f0b21a90cda32a2bd3ae);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};$r11 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer45961)
