ErrorType;Class;Method;ViolatedRule;Object;Statement
RequiredPredicateError;com.asterinet.react.tcpsocket.SSLCertificateHelper;javax.net.ssl.SSLSocketFactory createBlindSocketFactory();violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer8789, $r4, varReplacer8789)
ConstraintError;com.asterinet.react.tcpsocket.SSLCertificateHelper;javax.net.ssl.SSLSocketFactory createBlindSocketFactory();violating CrySL rule for javax.net.ssl.SSLContext (on Object #2238886eb5241a385ecd75699547664f35cf10a82ce5d63305f2d5e5bc8c25ff);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r0 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer8788)
RequiredPredicateError;com.asterinet.react.tcpsocket.SSLCertificateHelper;javax.net.ssl.SSLSocketFactory createBlindSocketFactory();violating CrySL rule for javax.net.ssl.SSLContext ;Second parameter was not properly generated as generated Trust Managers;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer8789, $r4, varReplacer8789)
RequiredPredicateError;com.asterinet.react.tcpsocket.SSLCertificateHelper;javax.net.ssl.SSLSocketFactory createBlindSocketFactory();violating CrySL rule for javax.net.ssl.SSLContext ;Third parameter was not properly generated as randomized;virtualinvoke $r0.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer8789, $r4, varReplacer8789)
ConstraintError;com.asterinet.react.tcpsocket.SSLCertificateHelper;javax.net.ssl.SSLSocketFactory createCustomTrustedSocketFactory(android.content.Context,java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext (on Object #f27d8f5c229976ebabdddf3086ea31f82e1dde4b48af82f7a03f89fb91b1d444);First parameter (with value "TLS") should be any of {TLSv1.2, TLSv1.3};$r7 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer8792)
IncompleteOperationError;com.asterinet.react.tcpsocket.SSLCertificateHelper;javax.net.ssl.SSLSocketFactory createCustomTrustedSocketFactory(android.content.Context,java.lang.String);violating CrySL rule for java.security.cert.CertificateFactory (on Object #3c57a64ee8bf53ff9a5e5d45a62d0316c9d07019a55db4f5a7a448ac503e9f0b);Operation on object of type java.security.cert.CertificateFactory object not completed. Expected call to generateCRL;$r4 = virtualinvoke $r3.<java.security.cert.CertificateFactory: java.security.cert.Certificate generateCertificate(java.io.InputStream)>($r2)
RequiredPredicateError;com.asterinet.react.tcpsocket.SSLCertificateHelper;javax.net.ssl.SSLSocketFactory createCustomTrustedSocketFactory(android.content.Context,java.lang.String);violating CrySL rule for javax.net.ssl.SSLContext ;First parameter was not properly generated as generated Key Managers;virtualinvoke $r7.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer8796, $r8, $r9)
ConstraintError;com.oblador.keychain.cipherStorage.CipherStorageBase;java.security.KeyStore getKeyStoreAndLoad();violating CrySL rule for java.security.KeyStore (on Object #8b25d8c42a00647495558aa1b750ff59eede0f799bcdd8a465f5d8cce84dca12);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r1 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer10543)
ConstraintError;com.oblador.keychain.cipherStorage.CipherStorageBase;javax.crypto.Cipher getCachedInstance();violating CrySL rule for javax.crypto.Cipher (on Object #3b5ac3e4c020788faf19212b324f1a0bf67488c428ba427b97ec0a173cbc7585);First parameter (with value "RSA/ECB/PKCS1Padding") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};$r1 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r2)
IncompleteOperationError;com.oblador.keychain.cipherStorage.CipherStorageBase;void generateKeyAndStoreUnderAlias(java.lang.String,com.oblador.keychain.SecurityLevel);violating CrySL rule for javax.crypto.Cipher (on Object #3b5ac3e4c020788faf19212b324f1a0bf67488c428ba427b97ec0a173cbc7585);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$z0 = virtualinvoke r0.<com.oblador.keychain.cipherStorage.CipherStorageBase: boolean validateKeySecurityLevel(com.oblador.keychain.SecurityLevel,java.security.Key)>($r2, $r5)
TypestateError;com.oblador.keychain.cipherStorage.CipherStorageBase;java.lang.String decryptBytes(java.security.Key,byte[],com.oblador.keychain.cipherStorage.CipherStorageBase$DecryptBytesHandler);violating CrySL rule for javax.crypto.CipherInputStream (on Object #45e5c60a25699ecfdcb093c5eba588dfa2b20cc18c73826ac692fd006b138306);Unexpected call to method close on object of type javax.crypto.CipherInputStream. Expect a call to one of the following methods read;virtualinvoke $r7.<javax.crypto.CipherInputStream: void close()>()
RequiredPredicateError;com.oblador.keychain.cipherStorage.CipherStorageBase;java.lang.String decryptBytes(java.security.Key,byte[],com.oblador.keychain.cipherStorage.CipherStorageBase$DecryptBytesHandler);violating CrySL rule for javax.crypto.CipherInputStream ;Second parameter was not properly generated as generated Cipher;specialinvoke $r7.<javax.crypto.CipherInputStream: void <init>(java.io.InputStream,javax.crypto.Cipher)>($r1, $r5)
TypestateError;com.oblador.keychain.cipherStorage.CipherStorageKeystoreAesCbc;java.lang.String decryptBytes(java.security.Key,byte[],com.oblador.keychain.cipherStorage.CipherStorageBase$DecryptBytesHandler);violating CrySL rule for javax.crypto.Cipher (on Object #3b5ac3e4c020788faf19212b324f1a0bf67488c428ba427b97ec0a173cbc7585);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r2 = virtualinvoke $r4.<javax.crypto.Cipher: byte[] doFinal(byte[],int,int)>($r2, varReplacer21332, $i0)
RequiredPredicateError;com.oblador.keychain.cipherStorage.CipherStorageKeystoreAesCbc;java.lang.String decryptBytes(java.security.Key,byte[],com.oblador.keychain.cipherStorage.CipherStorageBase$DecryptBytesHandler);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r4.<javax.crypto.Cipher: void init(int,java.security.Key,java.security.spec.AlgorithmParameterSpec)>(varReplacer21333, $r1, $r5)
IncompleteOperationError;com.oblador.keychain.cipherStorage.CipherStorageKeystoreAesCbc;android.security.keystore.KeyInfo getKeyInfo(java.security.Key);violating CrySL rule for javax.crypto.SecretKeyFactory (on Object #7f988835ff6f767a5a40eeb92d55aaa2e6192e02534563da2350467458f7ed69);Operation on object of type javax.crypto.SecretKeyFactory object not completed. Expected call to translateKey, generateSecret;$r5 = virtualinvoke $r3.<javax.crypto.SecretKeyFactory: java.security.spec.KeySpec getKeySpec(javax.crypto.SecretKey,java.lang.Class)>($r4, class "Landroid/security/keystore/KeyInfo;")
IncompleteOperationError;com.oblador.keychain.KeychainModule;void internalWarmingBestCipher();violating CrySL rule for javax.crypto.Cipher (on Object #3b5ac3e4c020788faf19212b324f1a0bf67488c428ba427b97ec0a173cbc7585);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;virtualinvoke $r4.<com.oblador.keychain.cipherStorage.CipherStorageBase: java.security.KeyStore getKeyStoreAndLoad()>()
IncompleteOperationError;com.oblador.keychain.decryptionHandler.DecryptionResultHandlerInteractiveBiometric;void onAuthenticationSucceeded(androidx.biometric.BiometricPrompt$AuthenticationResult);violating CrySL rule for javax.crypto.Cipher (on Object #3b5ac3e4c020788faf19212b324f1a0bf67488c428ba427b97ec0a173cbc7585);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;$r9 = virtualinvoke $r4.<com.oblador.keychain.cipherStorage.CipherStorageBase: java.lang.String decryptBytes(java.security.Key,byte[])>($r5, $r7)
ConstraintError;com.facebook.common.util.SecureHashUtil;java.lang.String makeSHA1HashBase64(byte[]);violating CrySL rule for java.security.MessageDigest (on Object #a1154cf1e26fc2714389187432dd29eae547c772bdb1850fc8adeb946314bedc);First parameter (with value "SHA-1") should be any of {SHA-256, SHA-384, SHA-512};$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer13616)
TypestateError;com.facebook.soloader.SoLoader$1;java.lang.String getLibHash(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ac3cb011dc1782b52add54cac3a2464a4b0211e2df294d072d2a18314c919f05);Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte);$r7 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>()
ConstraintError;com.facebook.soloader.SoLoader$1;java.lang.String getLibHash(java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ac3cb011dc1782b52add54cac3a2464a4b0211e2df294d072d2a18314c919f05);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer19779)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for java.security.KeyStore (on Object #6f7c8f13e57ae5d1edc3daff2dc37dc06b5de5008d1a2bb4553cd2897e96c6f1);First parameter (with value "AndroidKeyStore") should be any of {JCEKS, JKS, DKS, PKCS11, PKCS12};$r0 = staticinvoke <java.security.KeyStore: java.security.KeyStore getInstance(java.lang.String)>(varReplacer20998)
RequiredPredicateError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke $r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer20995, $r5)
ConstraintError;androidx.biometric.CryptoObjectUtils;androidx.biometric.BiometricPrompt$CryptoObject createFakeCryptoObject();violating CrySL rule for javax.crypto.Cipher (on Object #4f1a7b12b36bf81c7cc7a74695feef8e62d0513eb0c19ebaa166771261087e1b);First parameter (with value "AES/CBC/PKCS7Padding") should be any of AES/CBC/{PKCS5Padding, ISO10126Padding};$r6 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer20997)
ConstraintError;com.drew.lang.RandomAccessStreamReader;boolean isValidIndex(int,int);violating CrySL rule for javax.crypto.CipherInputStream (on Object #45e5c60a25699ecfdcb093c5eba588dfa2b20cc18c73826ac692fd006b138306);Second parameter (with value -1)Variable offsetmust be  at least 0;$i6 = virtualinvoke $r3.<java.io.InputStream: int read(byte[],int,int)>($r2, $i5, $i6)
IncompleteOperationError;com.facebook.crypto.streams.NativeMacLayeredInputStream;void ensureMacValid();violating CrySL rule for javax.crypto.CipherInputStream (on Object #45e5c60a25699ecfdcb093c5eba588dfa2b20cc18c73826ac692fd006b138306);Operation on object of type javax.crypto.CipherInputStream object not completed. Expected call to read, close;$z0 = specialinvoke r0.<com.facebook.crypto.streams.NativeMacLayeredInputStream: boolean constantTimeEquals(byte[],byte[])>($r4, $r2)
